"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11570400","2017-10-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570399","2017-11-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570398","2017-11-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570397","2017-11-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570396","2017-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570395","2017-11-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570394","2017-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570393","2017-11-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570392","2017-11-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570391","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570390","2017-11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570389","2017-11-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570388","2017-11-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11570387","2017-11-24",NA,0.744094488188977,NA,NA,NA,NA,NA,NA,NA,NA,17.7921428571429,NA,NA
"11570386","2017-11-27",NA,0.405797101449275,NA,NA,NA,NA,NA,NA,79.4520547945205,NA,17.7945238095238,NA,NA
"11570385","2017-11-28",NA,0.0892857142857126,0.413059101307988,NA,NA,NA,NA,NA,73.9941118743866,NA,17.7699206349206,NA,NA
"11570384","2017-11-29",NA,0,0.165027605244996,NA,NA,NA,NA,NA,65.5126320010694,NA,17.7019312169312,NA,NA
"11570383","2017-11-30",NA,0.233576642335764,0.107620785540492,0.228569164031159,NA,NA,NA,NA,69.010154394848,NA,17.6856737213404,NA,NA
"11570382","2017-12-01",NA,0.0622807017543843,0.0986191146967163,0.123755835160735,NA,NA,NA,NA,63.6047974421747,NA,17.6383838918283,NA,NA
"11570381","2017-12-04",NA,0.657894736842107,0.317917360310752,0.17471908684932,18.8056611176708,16.9612388823292,17.88345,0.61198628819488,70.4108969013937,NA,17.6879327062512,NA,NA
"11570380","2017-12-05",NA,0.210526315789473,0.310233918128655,0.242256797712041,18.3993122823543,17.5262543843124,17.9627833333333,0.172282139239135,61.1595768150434,NA,17.6628750120844,NA,NA
"11570379","2017-12-06",NA,0.184210526315788,0.350877192982456,0.326342823807288,18.3981728494596,17.528593817207,17.9633833333333,0.143448164571266,60.6547246437835,NA,17.6371583438065,NA,NA
"11570378","2017-12-07",NA,0.368421052631578,0.25438596491228,0.305165692007797,18.4030000435811,17.5106666230855,17.9568333333333,0.215913363572987,62.9596534788174,NA,17.6428705646323,NA,NA
"11570377","2017-12-08",NA,0.561403508771929,0.371345029239765,0.325536062378167,18.4051827176645,17.5136506156688,17.9594166666667,0.508132068361614,65.2559771537242,NA,17.677154489348,NA,NA
"11570376","2017-12-11",NA,0.474747474747474,0.468190678716994,0.364640557623013,18.4887866708017,17.470379995865,17.9795833333333,1.05683387323497,68.1551892742662,17.73764,17.7468672241016,NA,NA
"11570375","2017-12-12",NA,0.316301703163016,0.450817562227473,0.430117756728077,18.8669086169464,17.2119247163869,18.0394166666667,1.3805221606732,71.254954613691,17.83644,17.8552849275547,0.637916328062871,NA
"11570374","2017-12-13",NA,0.620437956204379,0.470495711371623,0.463167984105363,19.3982910404439,16.8848756262228,18.1415833333333,1.32162436087918,78.9256732218314,17.93884,18.1159136038807,1.443645097401,NA
"11570373","2017-12-14",40.1292828525523,0.498783454987834,0.478507704785076,0.466606992794724,19.6507008559984,16.7914658106682,18.2210833333333,1.01957370058108,70.7883844499347,18.01084,18.2751251233633,1.8295964785219,NA
"11570372","2017-12-15",40.9169349625755,0.527980535279805,0.549067315490673,0.499356910549124,19.8929762464834,16.7111904201833,18.3020833333333,0.978112004719361,71.5465980283375,18.08204,18.4291084402482,2.15822487910429,NA
"11570371","2017-12-18",41.1616695294825,0.472019464720194,0.499594484995944,0.509056501757231,20.0411930909736,16.694973575693,18.3680833333333,0.839263456810251,67.9083648659346,18.13404,18.5318939815484,2.2881005860794,NA
"11570370","2017-12-19",41.7615110414101,0.53701411240406,0.51233803746802,0.520333279318212,20.246036217836,16.666463782164,18.45625,0.894018194075718,70.0478425086644,18.18404,18.6609747840087,2.48950344312326,NA
"11570369","2017-12-20",42.3185067310572,0.598910621440951,0.535981399521735,0.515971307328566,20.443490550791,16.6546761158757,18.5490833333333,0.869750667585282,71.7387164327465,18.24924,18.8061781461408,2.72133081734993,NA
"11570368","2017-12-21",42.9367028544745,0.673076923076923,0.603000552307311,0.550439996432355,20.6709241178929,16.6432425487737,18.6570833333333,0.888871357658628,73.9262298179315,18.33304,18.9780210599887,3.01237543913977,NA
"11570367","2017-12-22",42.4598769858765,0.553846153846154,0.608611232788009,0.582531061539018,20.805099450857,16.6870672158097,18.7460833333333,0.76806897169759,66.4594380132895,18.39304,19.0649515853236,3.00713675053625,2.17642553547985
"11570366","2017-12-26",41.0657981775305,0.43076923076923,0.552564102564102,0.588058629219807,20.8468819575951,16.7844180424049,18.81565,0.612415357494186,59.750552546501,18.43304,19.0762913739471,2.7674795490962,2.29463633820312
"11570365","2017-12-27",39.7712964269236,0.440921409214092,0.475178931276492,0.545451422209534,20.8783527126352,16.9154139540314,18.8968833333333,0.617198379357149,61.1325979914276,18.48212,19.1070525240875,2.61354511511085,2.35841809358467
