"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11572708","2012-04-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572707","2012-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572706","2012-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572705","2012-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572704","2012-04-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572703","2012-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572702","2012-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572701","2012-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572700","2012-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572699","2012-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572698","2012-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572697","2012-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572696","2012-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11572695","2012-05-01",NA,0.0614525139664802,NA,NA,NA,NA,NA,NA,NA,NA,20.1985714285714,NA,NA
"11572694","2012-05-02",NA,0.381249999999999,NA,NA,NA,NA,NA,NA,56.1224489795918,NA,20.1867619047619,NA,NA
"11572693","2012-05-03",NA,0.578947368421052,0.340549960795844,NA,NA,NA,NA,NA,60.0714285714286,NA,20.212526984127,NA,NA
"11572692","2012-05-04",NA,0.522012578616351,0.494069982345801,NA,NA,NA,NA,NA,59.0122346167686,NA,20.2281900529101,NA,NA
"11572691","2012-05-07",NA,0.657142857142856,0.586034268060087,0.47355140373391,NA,NA,NA,NA,63.4536026497258,NA,20.2844313791887,NA,NA
"11572690","2012-05-08",NA,0.714285714285714,0.631147050014974,0.570417100140287,NA,NA,NA,NA,64.7394411267878,NA,20.3465071952969,NA,NA
"11572689","2012-05-09",NA,0.394285714285715,0.588571428571429,0.601917582215497,21.0852406406027,19.7667593593973,20.426,0.546012535431075,53.4072310246929,NA,20.3256395692573,NA,NA
"11572688","2012-05-10",NA,0.571428571428571,0.56,0.593239492862134,21.101148026052,19.783851973948,20.4425,0.614502228327804,57.8098866306331,NA,20.3488876266897,NA,NA
"11572687","2012-05-11",NA,0.685714285714285,0.550476190476191,0.566349206349207,21.1005872525941,19.7840794140725,20.4423333333333,0.794465900865426,60.4091147195876,NA,20.3957026097977,NA,NA
"11572686","2012-05-14",NA,0.508571428571429,0.588571428571429,0.566349206349207,21.0875200235507,19.7834799764493,20.4355,0.564798623468519,54.7760964432335,NA,20.3949422618247,NA,NA
"11572685","2012-05-15",NA,0.531428571428571,0.575238095238095,0.571428571428572,21.0865605199144,19.7834394800856,20.435,0.611271321364781,55.3545899465608,NA,20.3996166269147,NA,NA
"11572684","2012-05-16",NA,0.468571428571429,0.502857142857143,0.555555555555556,21.0770150109772,19.7816516556895,20.4293333333333,0.544260425539518,53.3341175087715,20.3012,20.3890010766594,NA,NA
"11572683","2012-05-17",NA,0.33142857142857,0.443809523809523,0.507301587301587,21.0611572310172,19.7658427689828,20.4135,0.384069335232452,49.1213023445947,20.3144,20.3478009331048,0.216958451429394,NA
"11572682","2012-05-18",NA,0.0548780487804877,0.284959349593496,0.410542005420054,21.0548861289852,19.7084472043481,20.3816666666667,0.176925561167015,43.290634744121,20.2744,20.2614274753575,-0.04951865087226,NA
"11572681","2012-05-21",15.0669093786963,0.161290322580645,0.182532314263234,0.303767062555418,21.0401568446567,19.6798431553433,20.36,0.30886761484313,47.6898524190762,20.252,20.2199038119765,-0.159785956757774,NA
"11572680","2012-05-22",15.9153079047243,0.141935483870969,0.119367951744034,0.195619871866922,21.0229850404867,19.6563482928467,20.3396666666667,0.339264773872058,47.216504548539,20.2324,20.1799166370463,-0.256434055967725,NA
"11572679","2012-05-23",16.6218664340953,0.200000000000001,0.167741935483872,0.156547400497047,21.0221928496944,19.6514738169723,20.3368333333333,0.390446792463038,48.8565299643977,20.2128,20.1572610854401,-0.293766226712677,NA
"11572678","2012-05-24",17.2779564970827,0.374193548387098,0.238709677419356,0.175273188215754,21.0264580959347,19.6735419040653,20.35,0.50739144084467,53.5221015015844,20.204,20.1736262740481,-0.212772664102756,NA
"11572677","2012-05-25",17.8407367286082,0.453237410071942,0.342476986153014,0.249642866352081,21.015272787666,19.7380605456674,20.3766666666667,0.515659104526511,54.3525676585181,20.1972,20.194476104175,-0.127156167951592,NA
"11572676","2012-05-29",16.6232544098053,0.60431654676259,0.47724916840721,0.352811943993193,20.9829554198909,19.8763779134424,20.4296666666667,0.738272208797093,57.7658570792184,20.1988,20.2405459569517,0.0241660701733704,NA
"11572675","2012-05-30",16.5288324577737,0.316546762589929,0.458033573141487,0.425919909233904,20.9497473550471,19.9599193116196,20.4548333333333,0.434500407657848,50.083771107589,20.1844,20.2271398293581,-0.0154021038915486,-0.0970790338503965
"11572674","2012-05-31",16.0692218837864,0.302158273381296,0.407673860911272,0.44765220081999,20.9504477257702,19.9722189408965,20.4613333333333,0.450931724007491,49.7276802450181,20.1872,20.2128545187771,-0.0541430352315908,-0.0884918341266353
"11572673","2012-06-01",17.1931012541403,0,0.206235011990408,0.357314148681056,20.9965624305681,19.8401042360986,20.4183333333333,-0.0923257782044218,38.9823647289424,20.1632,20.1044739162734,-0.369082795757936,-0.144610026452895
"11572672","2012-06-04",18.2367035266118,0.0625000000000008,0.121552757793766,0.245153876898482,21.0370819526058,19.7042513807275,20.3706666666667,-0.0557095420034533,40.8927199675491,20.1532,20.0238773941037,-0.573301824525485,-0.230348386067413
"11572671","2012-06-05",17.5466916629249,0.13125,0.0645833333333337,0.130790367705836,20.9825972150625,19.6624027849374,20.3225,0.169871858729147,43.0065078211587,20.1576,19.9686937415565,-0.683682752624415,-0.321015259378814
"11572670","2012-06-06",16.9059663609299,0.3125,0.16875,0.118295363709034,20.9094042725561,19.6582623941106,20.2838333333333,0.321096761934426,48.2598765000233,20.1692,19.9595345760156,-0.646691822601964,-0.386150572023444
"11572669","2012-06-07",16.5758424358294,0.679012345679013,0.374254115226338,0.202529149519891,20.9358985962713,19.650434737062,20.2931666666667,0.795742788833051,57.0755464616172,20.1848,20.0315966325469,-0.370772625746041,-0.383074982767963
"11572668","2012-06-08",16.2692987910933,0.796296296296298,0.59593621399177,0.379646776406036,20.9700382185165,19.6362951148168,20.3031666666667,0.867512053338426,59.4327160416081,20.1972,20.1193837482073,-0.0755886050084031,-0.321577707216051
"11572667","2012-06-11",15.4382045353755,0.666666666666667,0.713991769547326,0.561394032921812,20.937849827077,19.651150172923,20.2945,0.781469467639508,55.7863175785639,20.2032,20.167465915113,0.0726108206942966,-0.242740001633982
"11572666","2012-06-12",14.4001740287994,0.567901234567902,0.676954732510289,0.662294238683129,20.9343766444142,19.6516233555858,20.293,0.653575907164447,53.1125651316978,20.19,20.1878037930979,0.124436800710548,-0.169304641165076
"11572665","2012-06-13",13.4106952891603,0.709876543209877,0.648148148148149,0.679698216735255,20.9443007536392,19.6483659130275,20.2963333333333,0.770332521632018,56.3511747174339,20.182,20.2360966206849,0.254257695405569,-0.0845921738509469
"11572664","2012-06-14",12.572464385035,0.691358024691358,0.656378600823046,0.660493827160495,20.9608379770184,19.6448286896483,20.3028333333333,0.738473494332615,55.809685515649,20.1952,20.2739504045936,0.340959958718945,0.000518252663031488
"11572663","2012-06-15",12.527837539474,0.793296089385475,0.73151021909557,0.678678989355589,21.0510336631506,19.6226330035161,20.3368333333333,0.924600756033788,59.953809315635,20.208,20.3467570173144,0.522428829069677,0.104900367944361
"11572662","2012-06-18",12.4561498409631,0.787709497206703,0.757454537094512,0.715114452337709,21.1146029943338,19.6540636723328,20.3843333333333,0.850783663004302,59.7526564264588,20.2124,20.4085227483392,0.654002683041122,0.214720830963713
