"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11614484","2016-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614483","2016-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614482","2016-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614481","2016-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614480","2016-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614479","2016-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614478","2016-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614477","2016-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614476","2016-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614475","2016-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614474","2016-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614473","2016-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614472","2016-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11614471","2016-06-08",NA,0.386398763523957,NA,NA,NA,NA,NA,NA,NA,NA,8.93357142857143,NA,NA
"11614470","2016-06-09",NA,0.440273037542662,NA,NA,NA,NA,NA,NA,43.0678466076696,NA,8.91442857142857,NA,NA
"11614469","2016-06-10",NA,0.426621160409556,0.417764320492058,NA,NA,NA,NA,NA,42.7959413754228,NA,8.89250476190476,NA,NA
"11614468","2016-06-13",NA,0.546075085324232,0.47098976109215,NA,NA,NA,NA,NA,46.008021609233,NA,8.9201707936508,NA,NA
"11614467","2016-06-14",NA,0.177474402730375,0.383390216154721,0.42404809924631,NA,NA,NA,NA,38.7731472883354,NA,8.80014802116402,NA,NA
"11614466","2016-06-15",NA,0.0341296928327644,0.252559726962457,0.36897990140311,NA,NA,NA,NA,36.3774087919715,NA,8.64012828500882,NA,NA
"11614465","2016-06-16",NA,0.104166666666667,0.105256920743269,0.247068954620149,10.5259277777364,7.54090555559691,9.03341666666666,0.197350103471209,37.854291986849,NA,8.52144451367431,NA,NA
"11614464","2016-06-17",NA,0.232067510548523,0.123454623349318,0.160423757018348,10.3860542185297,7.52361244813698,8.95483333333333,0.338774012881777,41.0939704650031,NA,8.4625852451844,NA,NA
"11614463","2016-06-20",NA,0.18695652173913,0.17439689965144,0.134369481248009,10.2454137921482,7.47925287451846,8.86233333333333,0.248508243959009,40.7473684487672,NA,8.40490721249315,NA,NA
"11614462","2016-06-21",NA,0.039130434782609,0.152718155690088,0.150189892896949,10.1174834420014,7.39768322466521,8.75758333333333,0.162015616389535,38.3769910517387,NA,8.3095862508274,NA,NA
"11614461","2016-06-22",NA,0.0847826086956523,0.103623188405797,0.143579414582442,9.89689913784668,7.38993419548665,8.64341666666666,0.188833569168714,39.5465816259695,NA,8.24097475071708,NA,NA
"11614460","2016-06-23",NA,0,0.0413043478260872,0.0992152306406573,9.62503804013767,7.38412862652899,8.50458333333333,0.0383198771666216,35.7849166509022,8.5572,8.10951145062147,NA,NA
"11614459","2016-06-24",NA,0.223062381852552,0.102614996849401,0.082514177693762,9.57116230666214,7.33333769333785,8.45225,0.281521454471636,42.2485537338088,8.4818,8.07424325720527,-6.08838251528252,NA
"11614458","2016-06-27",NA,0.206286836935167,0.143116406262573,0.0956785836460206,9.57524667503573,7.31958665829759,8.44741666666666,0.249925374769449,41.7499654577334,8.3966,8.03501082291124,-5.89130086181624,NA
"11614457","2016-06-28",48.621346458832,0.290187891440501,0.239845703409407,0.161859035507127,9.57098556952851,7.33951443047149,8.45525,0.339306309162099,43.6238627324605,8.3206,8.02367604652307,-5.50368382522957,NA
"11614456","2016-06-29",47.6872027114018,0.297644539614561,0.26470642266341,0.215889510778463,9.56490276138635,7.29359723861365,8.42925,0.296335927203387,43.6238627324605,8.2378,8.01385257365333,-5.13792733357366,NA
"11614455","2016-06-30",46.8197835173595,0.304535637149028,0.297456022734697,0.267336049602504,9.53420601227335,7.24762732105997,8.39091666666666,0.315918573769573,43.7473190342284,8.1482,8.00667223049955,-4.78339615040426,NA
"11614454","2016-07-01",45.9295272733721,0.328671328671329,0.310283835144973,0.290815426847693,9.52140824439453,7.20942508893879,8.36541666666666,0.33329607494883,43.7473190342284,8.1346,8.00044926643294,-4.45149263843684,NA
"11614453","2016-07-05",44.7539505609892,0.414043583535109,0.349083516451822,0.318941124777164,9.46055201553854,7.19261465112812,8.32658333333333,0.408911358587263,45.8116736869624,8.159,8.01505603090855,-3.9916877403098,NA
"11614452","2016-07-06",43.4270919049095,0.457627118644067,0.400114010283502,0.353160453960099,9.21800027049247,7.29249972950752,8.25524999999999,0.47476846549808,47.0668500650194,8.1858,8.03971522678741,-3.4963534123838,NA
"11614451","2016-07-07",41.3300761979183,0.573849878934624,0.4818401937046,0.410345906813308,9.11224427872853,7.33525572127146,8.22375,0.638577144442841,50.3683489744283,8.1938,8.09308652988243,-2.8314707229821,-4.68618835560209
"11614450","2016-07-08",38.5642843201554,0.872670807453416,0.634715935010703,0.505556712999601,9.03918159215496,7.3734850745117,8.20633333333333,0.813382416587245,53.2470000388594,8.1958,8.16867499256477,-2.0642714173665,-4.16180496795497
"11614449","2016-07-11",36.9297215525233,0.548961424332344,0.665160703573461,0.593905610762921,8.92796294356778,7.42503705643221,8.1765,0.67088888782323,46.8607906441726,8.1926,8.17018499355613,-1.90795605748935,-3.71103518586185
"11614448","2016-07-12",35.4119132682935,0.560830860534124,0.660821030773295,0.65356588978582,8.68960796711712,7.5577253662162,8.12366666666666,0.567439267352092,47.1452403922507,8.1738,8.17416032774865,-1.74428537895094,-3.31768522447966
"11614447","2016-07-13",33.4992486933418,0.531157270029674,0.546983184965381,0.624321639770713,8.65602753908347,7.56663912758319,8.11133333333333,0.611989441701502,46.4754502324135,8.1198,8.1709389507155,-1.64486001296313,-2.98312018217636
"11614446","2016-07-14",31.723203016601,0.31896551724138,0.470317882601726,0.559374032780134,8.66183289863949,7.57550043469384,8.11866666666666,0.538048511579236,46.4754502324135,8.0958,8.1681470906201,-1.54832151810181,-2.69616044936145
"11614445","2016-07-15",29.5145516046416,0.362068965517241,0.404063917596098,0.473788328387735,8.67248984349701,7.57851015650298,8.1255,0.629039568416995,47.3430628697659,8.0722,8.17239414520408,-1.40637078406332,-2.43820251630182
"11614444","2016-07-18",27.5865302258112,0.202020202020202,0.294351561592941,0.389577787263588,8.63571476608773,7.58925190057893,8.11248333333333,0.615165736538653,46.5307973383984,8.0482,8.16940825917687,-1.32784103437581,-2.21613021991662
"11614443","2016-07-19",26.2416141313203,0.303030303030303,0.289039823522582,0.32915176757054,8.6634403931751,7.5858596068249,8.12465,0.764806132045555,48.4362613493766,8.0142,8.18015382461996,-1.15377724769842,-2.00365962547298
"11614442","2016-07-20",24.3797702242472,0.0408163265306123,0.181955610527039,0.255115665214187,8.66193657394589,7.6168634260541,8.1394,0.494194983691905,44.1958924305071,8.0134,8.15613331467063,-1.24797200066452,-1.85252210051129
