"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11682251","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682250","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682249","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682248","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682247","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682246","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682245","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682244","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682243","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682242","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682241","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682240","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682239","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11682238","2001-08-20",NA,0.485207100591717,NA,NA,NA,NA,NA,NA,NA,NA,18.01,NA,NA
"11682237","2001-08-21",NA,0.407142857142858,NA,NA,NA,NA,NA,NA,71.7171717171717,NA,18.03,NA,NA
"11682236","2001-08-22",NA,0.357723577235771,0.416691178323449,NA,NA,NA,NA,NA,72.3193916349809,NA,18.0526666666667,NA,NA
"11682235","2001-08-23",NA,0,0.25495547812621,NA,NA,NA,NA,NA,64.8806087641039,NA,18.0456444444444,NA,NA
"11682234","2001-08-24",NA,0.656565656565656,0.338096411267143,0.336581022572267,NA,NA,NA,NA,74.1771174995176,NA,18.1262251851852,NA,NA
