"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11748091","2001-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748090","2001-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748089","2001-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748088","2001-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748087","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748086","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748085","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748084","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748083","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748082","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748081","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748080","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748079","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11748078","2001-08-08",NA,0.374999999999999,NA,NA,NA,NA,NA,NA,NA,NA,10.05,NA,NA
"11748077","2001-08-09",NA,0.125,NA,NA,NA,NA,NA,NA,46.1538461538462,NA,10.0433333333333,NA,NA
"11748076","2001-08-10",NA,0,0.166666666666666,NA,NA,NA,NA,NA,42.6229508196721,NA,10.0242222222222,NA,NA
"11748075","2001-08-13",NA,0,0.0416666666666666,NA,NA,NA,NA,NA,42.6229508196721,NA,10.0076592592593,NA,NA
"11748074","2001-08-14",NA,0,0,0.0694444444444443,NA,NA,NA,NA,42.6229508196722,NA,9.99330469135803,NA,NA
"11748073","2001-08-15",NA,0.0833333333333331,0.0277777777777777,0.0231481481481481,NA,NA,NA,NA,47.6271775184066,NA,9.99419739917696,NA,NA
"11748072","2001-08-16",NA,0,0.0277777777777777,0.0185185185185185,10.3889133767542,9.94775328991246,10.1683333333333,0.0428719127553214,43.5378626238148,NA,9.98163774595336,NA,NA
"11748071","2001-08-17",NA,0,0.0277777777777777,0.0277777777777777,10.3900177298276,9.91998227017237,10.155,0.0993210097990004,43.5378626238148,NA,9.97075271315958,NA,NA
"11748070","2001-08-20",NA,0.0833333333333331,0.0277777777777777,0.0277777777777777,10.3854221586944,9.91124450797222,10.1483333333333,0.327772003715738,48.6511028450873,NA,9.97465235140497,NA,NA
"11748069","2001-08-21",NA,0,0.0277777777777777,0.0277777777777777,10.4032499869751,9.87008334635824,10.1366666666667,-0.00640827732136241,37.6387520799408,NA,9.93803203788431,NA,NA
"11748068","2001-08-22",NA,0,0.0277777777777777,0.0277777777777777,10.4917207754185,9.72161255791484,10.1066666666667,-0.287768073210805,26.7648468751024,NA,9.8396277661664,NA,NA
"11748067","2001-08-23",NA,0,0,0.0185185185185185,10.5505698336382,9.5994301663618,10.075,-0.139583600876727,26.7648468751024,9.932,9.75434406401088,NA,NA
"11748066","2001-08-24",NA,0.105263157894737,0.0350877192982458,0.0209551656920078,10.568330653798,9.531669346202,10.05,0.0659141546977004,35.4200521912996,9.904,9.70709818880943,-2.36879964022332,NA
"11748065","2001-08-27",NA,0.105263157894737,0.0701754385964916,0.0350877192982458,10.5783232930816,9.4716767069184,10.025,0.115956886946628,35.4200521912996,9.876,9.66615176363484,-2.42534790547458,NA
"11748064","2001-08-28",25.1213126800113,0.157894736842106,0.12280701754386,0.0760233918128658,10.5747489390277,9.46858439430568,10.0216666666667,0.480412799551342,39.5620233296366,9.86,9.6439981951502,-2.36071506669464,NA
"11748063","2001-08-29",25.7710840278203,0.210526315789474,0.157894736842106,0.116959064327486,10.5684709539084,9.45819571275824,10.0133333333333,0.397923209369302,43.4668120354191,9.844,9.63813176913017,-2.20088519559977,NA
"11748062","2001-08-30",25.58667987117,0.105263157894737,0.157894736842106,0.146198830409357,10.5523480763566,9.41431859031012,9.98333333333334,0.192450850974065,38.1570281699252,9.82,9.60638086657948,-2.21663912875426,NA
"11748061","2001-08-31",26.2404413423702,0.166666666666667,0.160818713450293,0.158869395711501,10.5285108201663,9.40148917983375,9.965,0.383172902848766,41.973813807507,9.8,9.59219675103555,-2.12146034868802,NA
"11748060","2001-09-04",26.8475055656276,0.166666666666667,0.146198830409357,0.154970760233919,10.4919072420579,9.39475942460878,9.94333333333334,0.399740036619901,41.973813807507,9.784,9.57990385089748,-2.02302012790453,NA
"11748059","2001-09-05",27.0091393660238,0.111111111111112,0.148148148148149,0.151721897335933,10.4232377832093,9.37676221679071,9.9,0.181470505351481,39.1701133459618,9.76,9.55591667077781,-2.00655715534755,NA
"11748058","2001-09-06",27.1592278949631,0.111111111111112,0.12962962962963,0.141325536062379,10.3642267791574,9.35910655417597,9.86166666666667,0.206502771839598,39.1701133459618,9.736,9.53512778134077,-1.9714398379278,-2.18831826740161
"11748057","2001-09-07",27.2985958146925,0.111111111111112,0.111111111111112,0.12962962962963,10.3294283231516,9.33390501018169,9.83166666666667,0.233808343262775,39.1701133459618,9.712,9.51711074382867,-1.92197872736597,-2.13505035939448
"11748056","2001-09-10",27.4280088830126,0.0555555555555563,0.0925925925925932,0.111111111111112,10.2953939868209,9.30793934651245,9.80166666666667,0.228257560013572,36.1538979054652,9.684,9.48816264465152,-1.94581155572333,-2.09720259866025
