"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11764892","2010-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764891","2010-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764890","2010-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764889","2010-05-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764888","2010-05-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764887","2010-05-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764886","2010-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764885","2010-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764884","2010-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764883","2010-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764882","2010-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764881","2010-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764880","2010-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11764879","2010-05-25",NA,0.38872970391595,NA,NA,NA,NA,NA,NA,NA,NA,6.81757142857143,NA,NA
"11764878","2010-05-26",NA,0.498567335243553,NA,NA,NA,NA,NA,NA,56.4677474991376,NA,6.84189523809524,NA,NA
"11764877","2010-05-27",NA,0.575699132111861,0.487665390423788,NA,NA,NA,NA,NA,57.6477269793737,NA,6.88297587301587,NA,NA
"11764876","2010-05-31",NA,0.532304725168756,0.53552373084139,NA,NA,NA,NA,NA,56.6554319761281,NA,6.90657908994709,NA,NA
"11764875","2010-06-01",NA,0.684035476718404,0.59734644466634,0.540178521977173,NA,NA,NA,NA,57.7857565084838,NA,6.94436854462081,NA,NA
"11764874","2010-06-02",NA,0.791921664626683,0.669420622171281,0.600763599226337,NA,NA,NA,NA,58.3259222705373,NA,6.98511940533804,NA,NA
"11764873","2010-06-03",NA,0.657282741738066,0.711079961027718,0.65928234262178,7.90797131206072,6.20209535460595,7.05503333333333,0.557624353969245,55.5206273763324,NA,6.9911034846263,NA,NA
"11764872","2010-06-06",NA,0.645042839657283,0.698082415340677,0.692860999513225,7.91557282617993,6.24516050715341,7.08036666666667,0.555654921606926,55.2604179232877,NA,6.99362302000946,NA,NA
