"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11876746","2013-08-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876745","2013-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876744","2013-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876743","2013-08-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876742","2013-08-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876741","2013-08-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876740","2013-08-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876739","2013-08-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876738","2013-08-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876737","2013-08-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876736","2013-09-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876735","2013-09-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876734","2013-09-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11876733","2013-09-06",NA,0.44672131147541,NA,NA,NA,NA,NA,NA,NA,NA,37.0314285714286,NA,NA
"11876732","2013-09-09",NA,0.686534216335541,NA,NA,NA,NA,NA,NA,59.304084720121,NA,37.3245714285714,NA,NA
"11876731","2013-09-10",NA,0.728476821192054,0.620577449667668,NA,NA,NA,NA,NA,60.5260187380065,NA,37.6039619047619,NA,NA
"11876730","2013-09-11",NA,0.593818984547462,0.669610007358352,NA,NA,NA,NA,NA,54.833507705136,NA,37.764766984127,NA,NA
"11876729","2013-09-12",NA,0.554083885209714,0.625459896983077,0.638549118003032,NA,NA,NA,NA,53.2422321857166,NA,37.8801313862434,NA,NA
"11876728","2013-09-13",NA,0.737642585551331,0.628515151769502,0.641195018703644,NA,NA,NA,NA,62.2271122855539,NA,38.1627805347443,NA,NA
"11876727","2013-09-16",NA,0.775665399239544,0.68913062333353,0.64770189069537,40.7663569428176,35.5859763905158,38.1761666666667,0.94794006474465,63.3347736266594,NA,38.4344097967784,NA,NA
"11876726","2013-09-17",NA,0.815589353612166,0.776299112801014,0.697981629301349,41.0461549028152,35.4711784305181,38.2586666666667,0.928940524720814,64.5115339610903,NA,38.6978218238746,NA,NA
"11876725","2013-09-18",NA,0.76425855513308,0.785171102661597,0.750200279598713,41.3210191808386,35.4079808191614,38.3645,0.863969677689728,61.7666932007891,NA,38.890112247358,NA,NA
"11876724","2013-09-19",NA,0.741444866920152,0.773764258555133,0.778411491339248,41.5729998687521,35.4353334645812,38.5041666666667,0.81485908042945,60.533926775073,NA,39.0407639477102,NA,NA
"11876723","2013-09-20",NA,0.775665399239544,0.760456273764259,0.773130544993663,41.765826198699,35.5948404679677,38.6803333333333,0.78299098548173,61.7665927048394,NA,39.1953287546822,NA,NA
"11876722","2013-09-23",NA,0.654545454545453,0.72388524023505,0.752701924184814,41.8984117970074,35.8162548696593,38.8573333333333,0.744869271070039,60.0824739236602,38.222,39.3092849207246,NA,NA
"11876721","2013-09-24",NA,0.616901408450705,0.682370754078567,0.722237422692625,42.0291347503251,36.0195319163416,39.0243333333333,0.736676760948365,59.7316909037379,38.3028,39.4040469312946,3.35343633813556,NA
"11876720","2013-09-25",NA,0.564935064935065,0.612127309310408,0.672794434541342,42.0890037859084,36.3146628807583,39.2018333333333,0.707498429058464,59.8997766828482,38.3804,39.4888406737887,3.19106491312133,NA
"11876719","2013-09-26",43.3078089834277,0.676363636363636,0.619400036583135,0.637966033324037,42.0993936172249,36.7266063827751,39.413,0.750087451453727,63.5830839080732,38.5104,39.6223285839502,3.11733982031397,NA
"11876718","2013-09-27",43.5655323342169,0.722033898305084,0.654444199867928,0.62865718192049,42.0738669546357,37.1967997120309,39.6353333333333,0.786647677888758,65.6233669763354,38.6768,39.7740181060902,3.07690789649457,NA
"11876717","2013-09-30",42.6603098205765,0.535593220338983,0.644663585002568,0.639502607151211,41.8296397686309,37.8310268980358,39.8303333333333,0.650802295574628,58.4406919422056,38.8352,39.8321490252782,2.89893791320872,NA
"11876716","2013-10-01",42.3721071943609,0.616949152542374,0.624858757062147,0.641322180644215,41.6984189868175,38.3012476798492,39.9998333333333,0.732595472900015,60.4737356491519,38.9764,39.9145291552411,2.77403934403315,NA
"11876715","2013-10-02",42.0043913106074,0.253164556962025,0.468568976614461,0.579363772893059,41.5808087281383,38.6625246051951,40.1216666666667,0.63078461540672,59.8172155203809,39.1264,39.9792586012089,2.63407340111403,NA
"11876714","2013-10-03",41.45407004389,0.179487179487176,0.349866962997192,0.4810982322246,41.3849390227708,39.0890609772292,40.237,0.594226840033348,58.450481450425,39.2848,40.0220241210477,2.47412726005682,NA
"11876713","2013-10-04",40.7278517016546,0.115384615384616,0.182678783944606,0.333704907852086,41.3148417806361,39.2924915526972,40.3036666666667,0.539393110830192,57.0467834754849,39.4424,40.0457542382414,2.30052882905913,2.86893952394859
"11876712","2013-10-07",39.4197573869301,0,0.0982905982905974,0.210278781744132,41.3023483961804,39.3346516038197,40.3185,0.338135630836755,52.9393536416369,39.5864,40.0263203398092,2.07851577709022,2.71085477457692
"11876711","2013-10-08",37.0458819675511,0,0.0384615384615387,0.106476973565581,41.3139167464015,39.3107499202652,40.3123333333333,0.114443828014571,45.5261798912137,39.7124,39.9254776278346,1.75527310620849,2.51973844090323
"11876710","2013-10-09",34.8868196692939,0.0865800865800849,0.0288600288600284,0.0552040552040549,41.193742013201,39.5025913201323,40.3481666666667,0.1068751672703,48.0149136780888,39.79,39.8647472774567,1.5220468945319,2.32020013162896
"11876709","2013-10-10",34.2730413965728,0.324675324675325,0.137085137085137,0.0681355681355681,41.0723389195514,39.7446610804486,40.4085,0.503640441371383,54.2103929119366,39.8776,39.8854476404625,1.43214804721117,2.14258971474541
"11876708","2013-10-11",34.2834768314754,0.656126482213439,0.355793964489617,0.173913043478261,41.1988842842,39.6941157158,40.4465,1.01403253380184,62.2308136526853,39.9828,40.0247212884008,1.52694300300402,2.01946037239713
"11876707","2013-10-14",33.7046727760174,0.525691699604744,0.502164502164503,0.331681201246419,41.250609611528,39.686390388472,40.4685,0.799297348968795,58.2464675435644,40.0376,40.101425116614,1.51721837397041,1.91901197271178
"11876706","2013-10-15",32.1161343747705,0.26482213438735,0.482213438735178,0.446723968463099,41.2363338334046,39.6809994999287,40.4586666666667,0.496570940910554,51.1876572498658,40.0584,40.0799017677322,1.36074690099255,1.80735895836794
"11876705","2013-10-16",30.7241914896111,0.592885375494072,0.461133069828722,0.481837003576134,41.3008764532399,39.6677902134268,40.4843333333333,0.834132180753136,58.0695824204723,40.1368,40.1719148653679,1.38769737112769,1.72342664091989
"11876704","2013-10-17",28.9570744870166,0.470355731225297,0.442687747035573,0.462011418533158,41.3131918884778,39.6754747781888,40.4943333333333,0.586909596559215,54.9532623374132,40.21,40.2103262166521,1.33106238835539,1.64495379040699
"11876703","2013-10-18",27.9290044407765,0.521739130434784,0.528326745718051,0.477382520860782,41.3529664266624,39.6817002400043,40.5173333333333,0.720990130885059,56.0191784686419,40.2336,40.2609493877652,1.29714238451306,1.5753915092282
"11876702","2013-10-21",27.2657469239218,0.727272727272728,0.573122529644269,0.514712340799298,41.4662971027322,39.6653695639345,40.5658333333333,0.916914793714903,60.0874832312704,40.27,40.3741561360632,1.35836967756917,1.5319871428964
"11876701","2013-10-22",26.1728381211597,0.574074074074074,0.607695310593862,0.569714861985394,41.5436404251656,39.6636929081677,40.6036666666667,0.818980536022772,56.9249704239718,40.2864,40.4336019845881,1.33305013875509,1.49219974206814
"11876700","2013-10-23",25.1413117222162,0.570370370370371,0.623905723905724,0.601574521381285,41.5861121408781,39.6828878591219,40.6345,0.700799595891042,56.8139277837251,40.3132,40.483788386643,1.29581539659425,1.45292287297336
"11876699","2013-10-24",23.775197894858,0.481481481481481,0.541975308641976,0.591192114380521,41.5866210664382,39.6830456002285,40.6348333333333,0.56750454724859,54.0869871632977,40.3352,40.4952832684239,1.20446228773754,1.40323075592619
"11876698","2013-10-25",22.5066636265969,0.433333333333332,0.495061728395062,0.553647586980921,41.5543716352876,39.6839616980457,40.6191666666667,0.55390975065179,52.6138679603285,40.3448,40.4879121659674,1.09354344645034,1.34129329403102
"11876697","2013-10-28",21.1460582326283,0.348000000000002,0.420938271604938,0.485991769547325,41.5579219406774,39.6947447259892,40.6263333333333,0.473343025947761,51.4529625973895,40.3564,40.4681905438384,0.974490111213844,1.26793265746759
"11876696","2013-10-29",19.7878763541168,0.172413793103449,0.317915708812261,0.411305236270754,41.5428954986678,39.6844378346655,40.6136666666667,0.458567794418209,50.8488300420474,40.3672,40.44443180466,0.860272181813415,1.18640056233675
"11876695","2013-10-30",18.7869517521503,0.241379310344828,0.25393103448276,0.330928338299987,41.5505169837436,39.6941496829231,40.6223333333333,0.529268633049787,52.529522191031,40.3828,40.4425075640386,0.788623836673952,1.10684521720419
"11876694","2013-10-31",18.0448914872022,0.241379310344828,0.218390804597702,0.263412515964241,41.5607427035215,39.7095906298118,40.6351666666667,0.540425275911216,52.5295221910311,40.3804,40.4408398888335,0.723504248748363,1.03017702351303
"11876693","2013-11-01",17.6553331632526,0.369458128078818,0.284072249589492,0.252131362889985,41.5897236540653,39.7359430126013,40.6628333333333,0.647716146780499,55.7858650334332,40.3776,40.474061236989,0.715510188200974,0.967243656450616
"11876692","2013-11-04",17.7566389813432,0.13095238095238,0.247263273125342,0.249908775770845,41.5881499872181,39.8278500127819,40.708,0.610965935448532,53.0715982786458,40.3896,40.4788530720572,0.665551824223409,0.906905290005175
"11876691","2013-11-05",16.9519666881812,0,0.166803503010399,0.232713008575078,41.484298764215,39.9953679024517,40.7398333333333,0.121764394083597,42.1511599442875,40.3564,40.3643393291162,0.443148378404179,0.814153907684976
"11876690","2013-11-06",16.6132827913956,0.538152610441768,0.223034997131383,0.212367257755708,41.4362473678791,40.2094192987875,40.8228333333333,0.924264828229266,56.6233282621495,40.3788,40.4437607519007,0.528530589206744,0.757029243989329
"11876689","2013-11-07",19.0503213295605,0.380952380952381,0.306368330464716,0.2320689435355,42.0893820873699,39.8222845792968,40.9558333333333,1.43401364187453,63.2697154413443,40.4412,40.6325926516473,0.766030664436523,0.758829528078768
"11876688","2013-11-08",20.2088722184834,0.241496598639456,0.386867196677868,0.305423508091323,42.1150454888394,39.8189545111606,40.967,0.707454032947288,55.0007024578365,40.4748,40.6869136314277,0.781559327405934,0.763375487944201
"11876687","2013-11-11",21.5654916248589,0.370748299319728,0.331065759637188,0.341433762259925,42.2768049927966,39.7745283405368,41.0256666666667,0.933338708713156,60.1934452015982,40.5508,40.8353251472373,0.933217024700039,0.797343795295369
"11876686","2013-11-12",22.9627395411204,0.440476190476191,0.350907029478458,0.356279995264505,42.4946731924498,39.7576601408835,41.1261666666667,0.988549612834854,62.6944766788766,40.6684,41.0186151276057,1.12021303667906,0.861917643572108
"11876685","2013-11-13",24.0911687868671,0.420068027210885,0.410430839002268,0.364134542705972,42.6553741125036,39.7269592208297,41.1911666666667,0.888890705538775,61.477003699648,40.7732,41.1614664439249,1.22940848291282,0.93541581144025
"11876684","2013-11-14",25.351888020278,0.459183673469388,0.439909297052155,0.400415721844294,42.8509219113976,39.7274114219358,41.2891666666667,0.918599522688105,62.9616169809238,40.8652,41.3159375847349,1.34444793386352,1.01722223592491
"11876683","2013-11-15",26.8909252218328,0.54421768707483,0.474489795918368,0.441609977324264,43.1456853594207,39.657981307246,41.4018333333333,0.998369884790792,66.0268011588339,40.9408,41.5164792401036,1.51424180987294,1.11662615071451
"11876682","2013-11-18",28.6016397838926,0.659863945578231,0.554421768707483,0.489606953892669,43.5495983789546,39.4994016210454,41.5245,1.05441750962223,69.6994443779829,41.0568,41.7809486747565,1.75810329557013,1.24492157968564
"11876681","2013-11-19",30.3177786784573,0.698979591836734,0.634353741496599,0.554421768707484,43.9524685228888,39.3768648104446,41.6646666666667,1.01184502574611,70.847395169988,41.2084,42.0408221847889,1.96999605567318,1.38993647488315
"11876680","2013-11-20",32.1247648545254,0.744897959183674,0.70124716553288,0.630007558578988,44.3721978283667,39.2884688383,41.8303333333333,0.991699433929477,72.1798507703997,41.3376,42.3020458934837,2.16172866758488,1.54429491342349
"11876679","2013-11-21",34.0304477337419,0.751700680272109,0.731859410430839,0.68915343915344,44.7639112327584,39.2724221005749,42.0181666666667,0.955583772108566,72.3812511534152,41.4808,42.5337731076859,2.29212152776797,1.69386023629239
"11876678","2013-11-22",36.3420352489173,0.769547325102881,0.755381988186221,0.72949618804998,45.4006221189258,39.1427112144075,42.2716666666667,1.06222170417816,77.581061811963,41.6664,42.8932700266611,2.5869650534327,1.87248119972045
"11876677","2013-11-25",37.6317734901694,0.623529411764706,0.714925805713232,0.734055734776764,45.7909499505717,39.2213833827616,42.5061666666667,0.920195148569774,70.8235477784859,41.8088,43.1301673564396,2.68060595024773,2.03410614982591
"11876676","2013-11-26",38.4031684672981,0.568994889267462,0.65402387537835,0.708110556425935,46.0063137947047,39.425352871962,42.7158333333333,0.806059660634976,67.5425686755092,41.9512,43.2968117089144,2.66790925779647,2.16086677142002
"11876675","2013-11-27",39.5736540350511,0.763202725724021,0.65190900891873,0.673619563336771,46.3866961015184,39.5589705651483,42.9728333333333,0.916512544065332,72.8643553971945,42.1396,43.5932368143924,2.8345447607822,2.29560236929246
"11876674","2013-11-29",40.1055842445072,0.651663405088064,0.661287006693183,0.655739963663421,46.6432986447055,39.7887013552945,43.216,0.843905445324259,68.7135700863859,42.322,43.7981385724735,2.85866656978901,2.40821520939177
"11876673","2013-12-02",40.5995194390021,0.634854771784232,0.683240300865439,0.665478772159118,46.8359046325188,40.0490953674812,43.4425,0.798250118372149,68.8116899777139,42.5104,43.9783867628103,2.84680341420858,2.49593285035513
