"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11888977","2001-02-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888976","2001-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888975","2001-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888974","2001-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888973","2001-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888972","2001-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888971","2001-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888970","2001-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888969","2001-02-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888968","2001-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888967","2001-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888966","2001-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888965","2001-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11888964","2001-03-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,11.43,NA,NA
"11888963","2001-03-02",NA,0,NA,NA,NA,NA,NA,NA,26.6666666666667,NA,11.374,NA,NA
"11888962","2001-03-05",NA,0.0106382978723402,0.00354609929078007,NA,NA,NA,NA,NA,27.4111675126904,NA,11.3268,NA,NA
"11888961","2001-03-06",NA,0.0638297872340431,0.0248226950354611,NA,NA,NA,NA,NA,31.1736393928175,NA,11.29256,NA,NA
"11888960","2001-03-07",NA,0.255319148936171,0.109929078014185,0.0460992907801419,NA,NA,NA,NA,42.690127819014,NA,11.2868853333333,NA,NA
"11888959","2001-03-08",NA,0.292134831460674,0.203761255876962,0.112837676308869,NA,NA,NA,NA,43.8150626013774,NA,11.2846339555556,NA,NA
"11888958","2001-03-09",NA,0.168539325842697,0.23866443541318,0.184118256434776,11.8704271592228,10.9339061741106,11.4021666666667,0.326841395713909,39.2515233102234,NA,11.2680160948148,NA,NA
"11888957","2001-03-12",NA,0,0.153558052434457,0.1986612479082,11.8624051769565,10.8899281563768,11.3761666666667,0.16117451309689,34.0443018612441,NA,11.2336139488395,NA,NA
"11888956","2001-03-13",NA,0,0.056179775280899,0.149467421042845,11.8559707536749,10.8340292463251,11.345,0.113480813569908,30.81574585409,NA,11.1891320889942,NA,NA
"11888955","2001-03-14",NA,0,1.85037170770859e-17,0.069912609238452,11.8580961377568,10.7522371955765,11.3051666666667,0.0311336914473412,26.6149592761376,NA,11.1279144771283,NA,NA
"11888954","2001-03-15",NA,0.0833333333333317,0.0277777777777772,0.0279858510195587,11.8269842900048,10.7006823766619,11.2638333333333,0.120735202873977,30.2300037611623,NA,11.0828592135112,NA,NA
"11888953","2001-03-16",NA,0,0.0277777777777772,0.0185185185185182,11.7539418478261,10.6687248188406,11.2113333333333,0.0902509315741415,28.2329670539723,11.2376,11.0331446517097,NA,NA
"11888952","2001-03-19",NA,0,0.0277777777777772,0.0277777777777772,11.7135470577013,10.613786275632,11.1636666666667,0.0693002747602986,25.3072588934984,11.2008,10.9727253648151,-2.54603372278318,NA
"11888951","2001-03-20",NA,0,1.85037170770859e-17,0.0185185185185182,11.6480054219072,10.5669945780928,11.1075,0.0274484652431379,24.0676063855777,11.1612,10.9123619828398,-2.65905339256162,NA
"11888950","2001-03-21",29.2539191705669,0,1.85037170770859e-17,0.00925925925925909,11.6194198320513,10.4632468346154,11.0413333333333,-0.112365105888254,19.450388813144,11.11,10.8240470517945,-2.91876063026761,NA
"11888949","2001-03-22",31.9541145843969,0,1.85037170770859e-17,8.0953762212251e-18,11.6441246900528,10.2942086432805,10.9691666666667,-0.163621515927089,15.8190279615368,11.0432,10.7075074448885,-3.31735575416746,NA
"11888948","2001-03-23",32.0776017358717,0.172413793103448,0.0574712643678161,0.0191570881226054,11.6170738579199,10.2209261420801,10.919,0.102000088985957,27.8994744917173,10.9812,10.6398397855701,-3.41165797740907,NA
