"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12132963","2013-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132962","2013-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132961","2013-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132960","2013-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132959","2013-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132958","2013-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132957","2013-05-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132956","2013-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132955","2013-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132954","2013-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132953","2013-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132952","2013-06-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132951","2013-06-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12132950","2013-06-06",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15.9835714285714,NA,NA
"12132949","2013-06-07",NA,1,NA,NA,NA,NA,NA,NA,77.1739130434783,NA,16.0524285714286,NA,NA
"12132948","2013-06-10",NA,1,1,NA,NA,NA,NA,NA,77.1739130434783,NA,16.1121047619048,NA,NA
"12132947","2013-06-11",NA,1,1,NA,NA,NA,NA,NA,77.1739130434783,NA,16.1638241269841,NA,NA
"12132946","2013-06-12",NA,0.285714285714285,0.761904761904762,0.920634920634921,NA,NA,NA,NA,45.969928445969,NA,16.1419809100529,NA,NA
"12132945","2013-06-13",NA,0.285714285714285,0.523809523809523,0.761904761904762,NA,NA,NA,NA,45.969928445969,NA,16.1230501220459,NA,NA
"12132944","2013-06-14",NA,0.285714285714285,0.285714285714285,0.523809523809523,16.4406162645306,15.6883837354694,16.0645,0.414255236900613,45.969928445969,NA,16.1066434391064,NA,NA
"12132943","2013-06-17",NA,0.285714285714285,0.285714285714285,0.365079365079365,16.4406162645306,15.6883837354694,16.0645,0.414255236900613,45.969928445969,NA,16.0924243138922,NA,NA
"12132942","2013-06-18",NA,0.285714285714285,0.285714285714285,0.285714285714285,16.4502471939985,15.6954194726681,16.0728333333333,0.624310926429604,45.969928445969,NA,16.0801010720399,NA,NA
"12132941","2013-06-19",NA,0.285714285714285,0.285714285714285,0.285714285714285,16.4503331859711,15.6963334806956,16.0733333333333,0.402740899206933,45.969928445969,NA,16.0694209291013,NA,NA
"12132940","2013-06-20",NA,0.117647058823529,0.2296918767507,0.26704014939309,16.5166226209998,15.6810440456668,16.0988333333333,0.980106453790754,45.969928445969,NA,16.0601648052211,NA,NA
"12132939","2013-06-21",NA,0.337748344370861,0.247036562969558,0.254147575144848,16.5735901812214,15.6740764854453,16.1238333333333,0.91818892634212,67.8249592424615,16.0708,16.1188094978583,NA,NA
"12132938","2013-06-24",NA,0.333333333333333,0.262909578842575,0.246546006187611,16.6231903250132,15.6744763416535,16.1488333333333,0.870150195766138,67.8249592424616,16.0908,16.1696348981438,0.60096158350702,NA
"12132937","2013-06-25",NA,0.333333333333333,0.334805003679176,0.28158371516377,16.6665278521672,15.6811388144995,16.1738333333333,0.831002938127549,67.8249592424616,16.1108,16.2136835783913,0.711794970523116,NA
"12132936","2013-06-26",43.3499590918105,0.333333333333333,0.333333333333333,0.310349305285028,16.704284836667,15.6933818299997,16.1988333333333,0.797918459714108,67.8249592424615,16.1312,16.2518591012725,0.790024234022635,NA
"12132935","2013-06-27",45.1778791823264,0.333333333333333,0.333333333333333,0.333823890115281,16.7368777325383,15.7107889341284,16.2238333333333,0.769144997094443,67.8249592424616,16.1516,16.2849445544362,0.841922864271827,NA
"12132934","2013-06-28",46.8752335520912,0.333333333333333,0.333333333333333,0.333333333333333,16.7645346896326,15.7331319770341,16.2488333333333,0.743519493984924,67.8249592424615,16.1716,16.3136186138447,0.872683210036707,NA
"12132933","2013-07-01",48.4513483240156,0.333333333333333,0.333333333333333,0.333333333333333,16.7669218920424,15.8007447746243,16.2838333333333,0.723733995319967,67.8249592424616,16.1916,16.3384694653321,0.886596419379559,NA
