"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12135080","2013-01-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135079","2013-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135078","2013-01-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135077","2013-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135076","2013-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135075","2013-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135074","2013-01-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135073","2013-01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135072","2013-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135071","2013-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135070","2013-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135069","2013-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135068","2013-02-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12135067","2013-02-07",NA,0.664634146341464,NA,NA,NA,NA,NA,NA,NA,NA,26.5185714285714,NA,NA
"12135066","2013-02-08",NA,0.583924349881797,NA,NA,NA,NA,NA,NA,70.5729166666667,NA,26.6254285714286,NA,NA
"12135065","2013-02-11",NA,0.504504504504505,0.584354333575922,NA,NA,NA,NA,NA,71.0199250345236,NA,26.7327047619048,NA,NA
"12135064","2013-02-12",NA,0.664,0.5841429514621,NA,NA,NA,NA,NA,74.1355725604388,NA,26.9336774603175,NA,NA
"12135063","2013-02-13",NA,0.670184696569921,0.612896400358142,0.593797895132055,NA,NA,NA,NA,74.3191116306254,NA,27.1145204656085,NA,NA
