"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12154892","2019-11-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154891","2020-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154890","2020-03-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154889","2020-03-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154888","2020-03-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154887","2020-03-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154886","2020-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154885","2020-03-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154884","2020-03-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154883","2020-03-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154882","2020-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154881","2020-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154880","2020-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12154879","2020-05-28",NA,0.911434692617742,NA,NA,NA,NA,NA,NA,NA,NA,23.2584714285714,NA,NA
"12154878","2020-05-29",NA,0.980386794295761,NA,NA,NA,NA,NA,NA,48.2105167256328,NA,23.5691552380952,NA,NA
"12154877","2020-06-01",NA,0.949579831932773,0.947133772948759,NA,NA,NA,NA,NA,48.4901642562812,NA,23.8472678730159,NA,NA
"12154876","2020-06-02",NA,1,0.976655542076178,NA,NA,NA,NA,NA,49.8597458802554,NA,24.1298854899471,NA,NA
"12154875","2020-06-03",NA,0.988474865200393,0.979351565711055,0.967713626911997,NA,NA,NA,NA,49.576649302256,NA,24.3665274246208,NA,NA
"12154874","2020-06-04",NA,0.952282157676348,0.980252340958914,0.978753149582049,NA,NA,NA,NA,49.0715746959094,NA,24.557657101338,NA,NA
"12154873","2020-06-05",NA,0.96058091286307,0.967112645246604,0.975572183972191,27.555954561846,20.9613121048207,24.2586333333333,0.74813576737939,49.2841535366261,NA,24.728636154493,NA,NA
"12154872","2020-06-08",NA,0.944272445820434,0.952378505453284,0.966581163886267,27.5292123136211,20.9707943530456,24.2500033333333,0.750568050081362,49.341083430691,NA,24.8781513338939,NA,NA
"12154871","2020-06-09",NA,0.891304347826087,0.93205256883653,0.950514573178806,27.6917264003285,21.0523802663381,24.3720533333333,0.715826474135854,48.6355518235725,NA,24.9917311560414,NA,NA
"12154870","2020-06-10",NA,0.847826086956521,0.89446762686768,0.926299567052498,27.8153243945907,21.1827822720759,24.4990533333333,0.678555971168256,47.8979710398937,NA,25.0741670019025,NA,NA
"12154869","2020-06-11",NA,0.757246376811594,0.832125603864734,0.886215266522981,27.7653559052832,21.6102307613835,24.6877933333333,0.627082171097999,46.3218657199778,NA,25.1122780683155,NA,NA
"12154868","2020-06-12",NA,0.382205882352939,0.662426115373684,0.796339782035366,27.5265456111225,22.3037010555442,24.9151233333333,0.634309313478888,48.1582301352957,24.341348,25.1786276592068,NA,NA
"12154867","2020-06-16",NA,0.04411764705882,0.394523302074451,0.629691673770956,27.4089416072069,22.7316417261264,25.0702916666667,0.582606420332994,46.5794796845665,24.314148,25.2054773046459,3.98211975145775,NA
"12154866","2020-06-17",NA,0.208955223880597,0.211759584430785,0.422903000626307,27.0254932455843,23.497090087749,25.2612916666667,0.577100505383734,47.546082065112,24.425204,25.2447469973598,3.72285647086854,NA
"12154865","2020-06-18",19.9412243708843,0.390447761194031,0.214506877377816,0.273596587961017,26.8135451867239,23.9757248132761,25.394635,0.583314528600487,48.5617756907338,24.550068,25.2949940643785,3.51520397156369,NA
"12154864","2020-06-19",20.5240307820562,0.104477611940299,0.234626865671642,0.220297775826748,26.6544877435113,24.3257822564887,25.490135,0.519981773962392,47.0169280368454,24.723468,25.3129948557947,3.25174695723029,NA
"12154863","2020-06-22",20.7815086681811,0.791044776119403,0.428656716417911,0.292596819822456,26.5682285468969,24.5893747864364,25.5788016666667,0.657261915736971,51.0436114207799,24.936268,25.3899288750221,3.1525527904092,NA
"12154862","2020-06-23",21.3140081622877,0.43283582089552,0.44278606965174,0.368689883913764,26.0360158281574,25.3371408385093,25.6865783333333,0.543052525528904,48.9532103509942,25.081868,25.4246050250191,2.96281238092573,NA
"12154861","2020-06-24",22.0346418266094,0.149253731343285,0.457711442786069,0.443051409618573,26.0315458078052,25.3486108588614,25.6900783333333,0.260721475860356,47.3016606202273,25.251868,25.4293243550166,2.72063116890575,NA
"12154860","2020-06-25",22.7038016577652,0.263565891472871,0.281885147903892,0.394127553447234,26.020279149363,25.3755441839703,25.6979116666667,0.301605817068194,47.997744823141,25.361068,25.4427477743477,2.52181864904357,NA
"12154859","2020-06-26",23.2004511388849,0.258064516129032,0.223628046315063,0.321074879001675,26.020593268933,25.3733833977337,25.6969883333333,0.319242044135462,47.9004049723052,25.450268,25.4530480711013,2.33411672385839,3.12931765158477
"12154858","2020-06-29",23.7740868701657,0.134453781512608,0.218694729704837,0.241402641307931,26.0276241758049,25.3498424908617,25.6887333333333,0.158051151550244,47.0778570678749,25.515868,25.4513083282878,2.13536215877199,2.93052655302221
"12154857","2020-06-30",23.6768343482691,0.414716981132073,0.269078426257904,0.237133734092601,26.0217602489135,25.3441930844198,25.6829766666667,0.421616626685733,48.7345745269361,25.60826,25.4684405511828,1.99911324827353,2.74424389207248
"12154856","2020-07-01",23.6850545091927,0.30188679245283,0.28368585169917,0.257153002553971,25.978704849876,25.3492251501239,25.663965,0.377202817876776,48.0417731349192,25.61506,25.4753151443584,1.85076527212364,2.56554816808271
"12154855","2020-07-02",23.0373947794016,0.847457627118644,0.521353800234516,0.358039359397197,25.975568796961,25.350881203039,25.663225,0.895037459365389,52.4263163343352,25.63626,25.5292731251106,1.82595999433059,2.41763053333229
"12154854","2020-07-06",22.8020170308244,0.508474576271188,0.552606331947554,0.452548661293747,25.9553676304724,25.3573323695276,25.65635,0.638481243624052,49.9066632817017,25.63986,25.5493700417625,1.72284277141237,2.2786729809483
"12154853","2020-07-07",22.7279245979651,0.314814814814818,0.556915672734883,0.543625268305651,25.9220135075192,25.3655198258141,25.6437666666667,0.499221314908742,48.8943960894943,25.640316,25.5561207028609,1.59734315056108,2.14240701487086
"12154852","2020-07-08",22.7523339787953,0.222222222222224,0.348503871102743,0.486008625261727,25.8828436261496,25.3745230405171,25.6286833333333,0.427178501691804,48.2358723059784,25.636116,25.5553046091461,1.46518403791764,2.00696241948022
"12154851","2020-07-09",22.7749998324234,0.314444444444442,0.283827160493828,0.396415568110485,25.8597665878307,25.3777534121693,25.61876,0.474634165031087,48.9730229355864,25.621432,25.5612373279266,1.36049160373317,1.87766825633081
"12154850","2020-07-10",22.4060325186981,0.372075471698112,0.302914046121593,0.311748359239388,25.8585921700282,25.3777411633051,25.6181666666667,0.610845145907509,49.5540291377499,25.610732,25.5713656842031,1.27460646714552,1.75705589849375
"12154849","2020-07-13",22.063420013096,0.422641509433965,0.369720475192173,0.318820560602531,25.8610603173051,25.3968730160283,25.6289666666667,0.622867069341304,49.9934249502578,25.605292,25.5837169263093,1.20110399052551,1.6458655169001
"12154848","2020-07-14",21.9024670698098,0.301886792452832,0.36553459119497,0.346056370836245,25.8622050769828,25.3980682563505,25.6301366666667,0.521250917606353,48.8980795345578,25.595692,25.5858880028014,1.10982418843826,1.53865725120773
"12154847","2020-07-15",21.7530107653297,0.32075471698113,0.348427672955975,0.361227579781039,25.8574694606517,25.4214705393483,25.63947,0.508860878191591,49.0857871737282,25.586092,25.5891029357612,1.02877114362405,1.436680029691
"12154846","2020-07-16",21.4917448443203,0.390943396226417,0.337861635220126,0.350607966457024,25.8596890288059,25.4337309711941,25.64671,0.573770956486914,49.8241454157728,25.58278,25.5968492109931,0.965128004675653,1.34236962468793
"12154845","2020-07-17",21.0378697240812,0.490566037735848,0.400754716981132,0.362348008385745,25.8675285979387,25.4357847353946,25.6516566666667,0.681457896984793,50.912265308911,25.58638,25.6106026495273,0.920687978094392,1.25803329536922
"12154844","2020-07-20",20.4004160764465,0.444444444444444,0.441984626135569,0.393533659445609,25.876844426894,25.4488022397727,25.6628233333333,0.727025909105386,51.3427034076731,25.60078,25.6251889629237,0.881551669123359,1.18273697012005
"12154843","2020-07-22",19.7634488399244,0.444444444444444,0.459818308874912,0.434185883997204,25.8497338575709,25.4632461424291,25.65649,0.776446906712471,51.3427034076731,25.605184,25.6378304345339,0.840788330624642,1.11434724222097
"12154842","2020-07-23",19.171979263154,0.476190476190477,0.455026455026455,0.452276463345645,25.8560041235854,25.4616425430812,25.6588233333333,0.765010602367443,52.073794322144,25.619984,25.652786376596,0.808555378843123,1.0531888695454
"12154841","2020-07-24",17.9014090953862,0.636363636363634,0.518999518999518,0.477948094300295,25.8868851710243,25.466428162309,25.6766566666667,0.991552435522925,54.056249038426,25.633184,25.6764148597165,0.798892679700325,1.00232963157638
"12154840","2020-07-27",16.7215939396019,0.772727272727276,0.628427128427129,0.534151034151034,25.9174047899946,25.4684085433387,25.6929066666667,0.950100273306293,55.5416030535007,25.64392,25.704892878421,0.800741080960909,0.962011921453289
"12154839","2020-07-28",15.919710262005,0.727272727272732,0.712121212121214,0.619849286515954,25.9449975929309,25.4731490737357,25.7090733333333,0.911699925076283,54.904405430805,25.66152,25.7269071612982,0.786737949497596,0.92695712706215
"12154838","2020-07-29",15.1751039899507,0.846232701178886,0.782077567059631,0.707541969202658,25.9604571333644,25.5063261999689,25.7333916666667,0.962293253394897,56.516126553786,25.66312,25.7539862064584,0.785300144443846,0.89862573053849
"12154837","2020-07-30",14.6310311430552,0.787499999999997,0.787001809483872,0.760400196221572,25.9883299748942,25.5098000251058,25.749065,0.905969017026525,55.9774923700435,25.67372,25.775454712264,0.77047032342612,0.872994649116016
"12154836","2020-07-31",14.326488385041,0.704545454545455,0.779426051908113,0.782835142817205,26.0102434494739,25.5245532171928,25.7673983333333,0.882826311179262,55.7866322922665,25.69172,25.7933940839621,0.748446910825318,0.848085101457876
"12154835","2020-08-03",14.24659451804,0.833333333333336,0.775126262626263,0.780518041339416,26.0344109269246,25.5120524064087,25.7732316666667,0.985174434887558,58.5276834451321,25.71052,25.8209415394338,0.750406949886107,0.828549471143522
"12154834","2020-08-04",14.2248545254749,0.916666666666669,0.81818181818182,0.790911377572065,26.0788592050757,25.5000207949243,25.78944,0.973177537167344,60.010942113319,25.73172,25.8514826675093,0.758704920113207,0.814580560937459
"12154833","2020-08-05",13.7828266429362,0.725042301184427,0.825014100394811,0.806107393734298,26.1087229819497,25.5091570180503,25.80894,0.874259625869892,57.3598049624072,25.75372,25.8699516451748,0.737938397400995,0.799252128230166
"12154832","2020-08-06",14.2234514415252,0.844827586206897,0.828845518019331,0.824013812198654,26.1724324606254,25.5082808727079,25.8403566666667,1.0716215096673,63.1963526712278,25.778128,25.9126247591515,0.77477654017355,0.794357010618843
"12154831","2020-08-10",13.5320650486458,0.537500000000001,0.702456629130442,0.785438749181528,26.1863253974571,25.5374779358762,25.8619016666667,0.77052840160456,56.1965198036858,25.798168,25.9270747912646,0.742637088605735,0.784013026216221
"12154830","2020-08-11",13.8889210760266,0.535714285714285,0.639347290640395,0.723549812596723,26.2124254875168,25.5548978458165,25.8836616666667,0.839156844301349,56.1568831820531,25.803768,25.939464819096,0.708645895552129,0.768939600083403
"12154829","2020-08-12",14.220287387166,0.60377358490566,0.558995956873316,0.633599958881384,26.2306636395258,25.5767263604742,25.903695,0.779800024448888,57.7610695106413,25.819368,25.9568695098832,0.689270225721161,0.753005725210955
"12154828","2020-08-13",14.4599409464813,0.511111111111109,0.550199660577018,0.582847636030243,26.2347332738201,25.6146567261799,25.924695,0.718206930281318,57.3094276990705,25.837768,25.9706202418988,0.663112818227085,0.735027143814181
"12154827","2020-08-14",15.2845045198496,0.784146341463415,0.633010345826728,0.580735321092354,26.2546379082376,25.6495720917625,25.952105,0.895706263375046,61.5653375674449,25.863428,26.0000708763123,0.675372497874482,0.723096214626241
"12154826","2020-08-17",15.2195602482173,0.487804878048779,0.594354110207768,0.592521372203838,26.2505501167237,25.692846549943,25.9716983333333,0.676261498978896,56.0094091140448,25.882236,26.0093947594706,0.639927102111026,0.706462392123198
"12154825","2020-08-18",15.8446882165478,0.648648648648643,0.640199956053613,0.622521470696036,26.2629048357045,25.7249684976289,25.9939366666667,0.836155019099243,58.655109254889,25.902748,26.0281421248745,0.629360319073502,0.691041977513259
"12154824","2020-08-20",16.5415529851578,0.621621621621621,0.586025049439681,0.606859705233687,26.2724714905971,25.7571451760696,26.0148083333333,0.815576743153741,58.1840457733493,25.921788,26.0430565082246,0.610792308961927,0.674992043802993
"12154823","2020-08-21",17.1890797179825,0.702702702702705,0.657657657657657,0.627960887716983,26.2784456994208,25.7945843005792,26.036515,0.83264002264288,59.2415857812527,25.944588,26.059982307128,0.598426980434597,0.659679031129313
"12154822","2020-08-25",18.0273879965474,0.666666666666667,0.663663663663664,0.635782123587001,26.2820428834404,25.8381537832263,26.0600983333333,0.894021089011423,60.3222396870383,25.968188,26.0786513328443,0.591048082852574,0.645952841473966
