"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12159761","2019-11-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159760","2020-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159759","2020-03-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159758","2020-03-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159757","2020-03-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159756","2020-03-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159755","2020-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159754","2020-03-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159753","2020-03-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159752","2020-03-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159751","2020-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159750","2020-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159749","2020-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12159748","2020-05-28",NA,0.905279039983158,NA,NA,NA,NA,NA,NA,NA,NA,23.0505642857143,NA,NA
"12159747","2020-05-29",NA,0.979494382022472,NA,NA,NA,NA,NA,NA,48.8245909455781,NA,23.3412223809524,NA,NA
"12159746","2020-06-01",NA,0.938488576449912,0.941087332818514,NA,NA,NA,NA,NA,49.1862436101511,NA,23.6077260634921,NA,NA
"12159745","2020-06-02",NA,0.972366148531952,0.963449702334778,NA,NA,NA,NA,NA,50.1901974128703,NA,23.8773625883598,NA,NA
"12159744","2020-06-03",NA,0.979274611398964,0.963376445460276,0.955971160204523,NA,NA,NA,NA,50.3359516613834,NA,24.1163809099118,NA,NA
"12159743","2020-06-04",NA,0.969230769230769,0.973623843053895,0.966816663616317,NA,NA,NA,NA,50.2567643470281,NA,24.3208634552569,NA,NA
"12159742","2020-06-05",NA,0.963123644251627,0.970543008293787,0.969181098935986,27.2820828737107,20.7827604596227,24.0324216666667,0.762218873202208,50.3828556226248,NA,24.5020816612227,NA,NA
"12159741","2020-06-08",NA,0.966565434231423,0.966306615904606,0.970157822417429,27.2967830643099,20.7777302690234,24.0372566666667,0.761706220250312,50.6075771973772,NA,24.665804106393,NA,NA
"12159740","2020-06-09",NA,0.924528301886791,0.951405793456614,0.962751805885002,27.462049984722,20.902130015278,24.18209,0.727326452194464,50.2156935556155,NA,24.7970302255406,NA,NA
"12159739","2020-06-10",NA,0.841509433962264,0.910867723360159,0.94286004424046,27.5962588703086,20.9623144630247,24.2792866666667,0.686522515721023,49.0899193723391,NA,24.8814261954685,NA,NA
"12159738","2020-06-11",NA,0.796226415094339,0.854088050314465,0.905453855710412,27.5235706874595,21.4468526458738,24.4852116666667,0.645054451098078,48.4518535766241,NA,24.938569369406,NA,NA
"12159737","2020-06-12",NA,0.295306475202766,0.644347441419789,0.803101071698138,27.2203245296837,22.2150354703163,24.71768,0.622334593014975,48.5119133012476,24.133936,24.9894267868186,NA,NA
"12159736","2020-06-15",NA,0.0289855072463761,0.373506132514493,0.623980541416249,27.1457779982345,22.5619153350988,24.8538466666667,0.579878774789223,47.6744444874986,24.116336,25.0148365485761,4.0846829722891,NA
"12159735","2020-06-16",NA,0.144927536231886,0.156406506227009,0.391420026720431,26.8082878664659,23.260332133534,25.03431,0.572066851800521,48.2244807692564,24.246736,25.0475250087659,3.80193260002539,NA
"12159734","2020-06-17",29.9059607734339,0.21716417910448,0.130359074194247,0.220090570978583,26.5431228579192,23.8038038087474,25.1734633333333,0.565783988684278,48.6999596079374,24.319392,25.0845883409305,3.55759747885158,NA
"12159733","2020-06-18",29.8688470381058,0.313432835820896,0.225174850385754,0.170646810269003,26.4160731541293,24.1175135125373,25.2667933333333,0.562273781114885,49.1947467993934,24.521392,25.1253098954731,3.3457235682991,NA
"12159732","2020-06-19",29.8666249523982,0.269701492537315,0.26676616915423,0.207433364578077,26.288200791129,24.4006725422043,25.3444366666667,0.523891916156679,48.9637171542373,24.73582,25.1566952427433,3.13194062049742,NA
"12159731","2020-06-22",29.9350268557502,0.179104477611941,0.254079601990051,0.248673540510012,25.8291416055769,25.0477317277564,25.4384366666667,0.386824227365398,48.45602260724,24.86062,25.1758025437109,2.90930331217845,NA
"12159730","2020-06-23",29.9985429088628,0.343283582089552,0.264029850746269,0.26162520729685,25.8194701368963,25.0838765297704,25.4516733333333,0.447878829249495,49.4783599766999,25.02742,25.2070288712161,2.73636568380766,NA
"12159729","2020-06-24",30.1359034717573,0.253731343283584,0.258706467661692,0.258938640132671,25.8127867232861,25.1057266100472,25.4592566666667,0.361977789196801,48.9085314601015,25.150984,25.2260916883873,2.55048481703257,NA
"12159728","2020-06-25",30.092231309689,0.355932203389832,0.317649042920989,0.280128453776317,25.8058901628765,25.1316231704568,25.4687566666667,0.412858456179498,49.3275126546355,25.233384,25.2479461299357,2.38828711938011,3.16736868581793
"12159727","2020-06-26",30.1844740921313,0.222222222222224,0.277295256298547,0.284550255627076,25.8016957722777,25.1444508943889,25.4730733333333,0.3127435641208,48.3664372917679,25.302184,25.2548866459442,2.20544369219489,2.97498368709332
"12159726","2020-06-29",30.3312400167476,0.156862745098042,0.245005723570033,0.279983340929856,25.802917856953,25.126562143047,25.46474,0.241644823267853,47.9195651705391,25.384584,25.255568426485,2.02440598536726,2.78486814674811
"12159725","2020-06-30",30.1607312811926,0.563999999999999,0.314361655773422,0.278887545214,25.7741317109468,25.1252949557199,25.4497133333333,0.39687185136432,49.0500696929264,25.394636,25.268052636287,1.88766068724076,2.60542665484664
"12159724","2020-07-01",30.0024017410343,0.83333333333334,0.518065359477127,0.359144246273527,25.7369301383012,25.1334965283655,25.4352133333333,0.474788720610126,49.7843982233848,25.403236,25.2863122847821,1.77654124637703,2.43964957315272
"12159723","2020-07-02",29.3666242643668,1,0.799111111111113,0.543846042120554,25.7179542442493,25.1428057557507,25.43038,0.794915145205015,52.3680290398015,25.420836,25.3281373134778,1.73054678869053,2.29782901626028
"12159722","2020-07-06",29.1024426594579,0.529411764705882,0.787581699346407,0.701586056644882,25.6697470593049,25.1650129406951,25.41738,0.617461182988702,50.0907343286068,25.429216,25.3430523383474,1.62413062053923,2.16308933711607
"12159721","2020-07-07",28.7880782835661,0.676470588235285,0.735294117647056,0.773995642701525,25.6155595184839,25.1965304815161,25.406045,0.763915680243951,50.8106127022483,25.435216,25.3626453599011,1.53789024029716,2.03804951775229
"12159720","2020-07-08",28.5721064256425,0.575294117647056,0.593725490196074,0.705533769063179,25.5701796691595,25.2223369975072,25.3962583333333,0.733846141648712,50.2733473046995,25.42824,25.3750393119143,1.44187500311319,1.91881461482447
"12159719","2020-07-09",28.3383315009439,0.560588235294117,0.604117647058819,0.644379084967317,25.5635098713384,25.2250467953283,25.3942783333333,0.744600782777479,50.1902761457956,25.419464,25.3851140703257,1.34858707821246,1.80476910750207
"12159718","2020-07-10",28.1212547851523,0.588235294117645,0.574705882352939,0.590849673202611,25.5717249824082,25.2274983509251,25.3996116666667,0.7141660752657,50.3563566468338,25.411864,25.395098860949,1.26303739090572,1.6964227641828
"12159717","2020-07-13",27.829188983718,0.647058823529409,0.59862745098039,0.592483660130717,25.5813980586272,25.2341586080395,25.4077783333333,0.746386174886543,50.7327566347464,25.403864,25.4064190128224,1.18785415796263,1.59470904293876
"12159716","2020-07-14",27.5579850252434,0.647058823529409,0.627450980392154,0.600261437908495,25.5748166803563,25.267406652977,25.4211116666667,0.713249387337427,50.7327566347464,25.393864,25.4162298111128,1.11536486447881,1.49884020724677
"12159715","2020-07-15",26.9092076731091,0.661764705882347,0.651960784313721,0.626013071895422,25.5790722526965,25.2858177473035,25.432445,0.78719649696018,50.8408253310198,25.387264,25.4253991696311,1.04739027381116,1.40855022055965
"12159714","2020-07-16",26.306771560413,0.705882352941172,0.671568627450976,0.650326797385617,25.5869210533876,25.2942689466124,25.440595,0.759938899825156,51.1867529875774,25.390064,25.4353459470136,0.986867680576475,1.32421371256301
"12159713","2020-07-17",25.6388424119343,0.764705882352936,0.710784313725485,0.678104575163394,25.5982876245569,25.2955757087764,25.4469316666667,0.79643695976954,51.675040503227,25.398464,25.4466331540784,0.934436691482476,1.24625830834691
"12159712","2020-07-20",25.0186224883469,0.681020733652307,0.717202989648805,0.699851976941755,25.6070316899665,25.3008783100335,25.453955,0.748388569208803,51.675040503227,25.406464,25.4564154002013,0.882668411063681,1.17354032889026
"12159711","2020-07-21",24.0858801573832,0.823902439024383,0.756543018343209,0.728176773905833,25.6213092293958,25.3101941039375,25.4657516666666,0.886293229844344,53.1401397608547,25.42222,25.4720800135078,0.84889933281691,1.10861212967559
"12159710","2020-07-22",23.2860687393266,0.705882352941169,0.736935175205953,0.736893727732656,25.6346736401059,25.3131630265607,25.4739183333333,0.819579911220874,52.6964416715798,25.43422,25.4838026783734,0.808359132610525,1.04856153026258
"12159709","2020-07-23",22.7402741152206,0.470588235294113,0.666791009086555,0.720089734211906,25.6386577957441,25.3280122042558,25.483335,0.714601468125233,51.3672695554345,25.442,25.4886289879236,0.754829475283025,0.989815119266668
"12159708","2020-07-24",21.7685899395998,0.621621621621618,0.5993640699523,0.667696751414936,25.6565840854537,25.3312992478796,25.4939416666666,0.894090507331188,53.6702773350975,25.450128,25.5025717895338,0.727176652433159,0.937287425899966
"12159707","2020-07-27",20.8663117765234,0.819093286835224,0.637101047916985,0.63441870898528,25.6712009424041,25.3467490575959,25.508975,0.936710875483035,55.0877141720718,25.46124,25.5206955509293,0.711340143405148,0.892097969401002
"12159706","2020-07-28",19.9209567275999,0.832915622389295,0.757876843615379,0.664780653828222,25.6694117886952,25.3858715446381,25.5276416666666,0.978562283523067,55.4602568607395,25.47524,25.5379361441387,0.694355448573947,0.852549465235591
"12159705","2020-07-29",18.7473823297066,0.813239644970415,0.821749518064978,0.738909136532448,25.6869900050566,25.3996866616101,25.5433383333333,1.03391303477318,56.4712429567727,25.486036,25.5568646582536,0.682410870032335,0.81852174619494
"12159704","2020-07-30",17.7809708616363,0.82352941176471,0.823228226374807,0.800951529351722,25.7271668073325,25.3955098593342,25.5613383333333,1.15930072620641,59.1465418522817,25.502436,25.5839493704864,0.690188185821428,0.792855034120238
"12159703","2020-07-31",16.8083382247545,0.794117647058823,0.810295567931316,0.818424437457034,25.7576990716137,25.3816442617196,25.5696716666666,1.02384651071349,58.6618076623629,25.516836,25.6060894544216,0.685193553142094,0.771322737924609
"12159702","2020-08-03",16.2553653675018,0.616438356164384,0.744695138329305,0.792739644211809,25.7832555964083,25.384087736925,25.5836716666666,0.933389101577398,56.6614544480786,25.533236,25.619944193832,0.660943439961548,0.749246878331997
"12159701","2020-08-04",16.0160715241723,0.69230769230769,0.700954565176966,0.751981757145862,25.8181562420447,25.3785237579552,25.59834,0.981447590112459,58.9240888942759,25.553636,25.6399516346544,0.653039506169084,0.730005403899414
"12159700","2020-08-05",16.0643803616653,0.902439024390246,0.737061690954107,0.727570464820126,25.8690164192851,25.3702369140482,25.6196266666666,1.06880177250246,63.0761326652354,25.575268,25.6732914167005,0.676626790279711,0.719329681175474
"12159699","2020-08-06",16.311136230567,0.863636363636359,0.819461026778098,0.75249242763639,25.914194893583,25.3693517730836,25.6417733333333,1.0106546383694,63.4080755817268,25.595068,25.7035192278071,0.690354042559926,0.713534553452364
"12159698","2020-08-07",16.1512416669018,0.740869565217393,0.835648317747999,0.797390345160068,25.9461623934824,25.3801042731842,25.6631333333333,0.919391563316786,61.0896425389358,25.6055,25.7244899974328,0.680969072177118,0.707021457197315
"12159697","2020-08-10",15.4264456626563,0.608695652173914,0.737733860342556,0.797614401622885,25.9656248855049,25.3973084478284,25.6814666666666,0.814144236375196,57.5734363616331,25.6199,25.7345579977751,0.646950487596043,0.695007263277061
"12159696","2020-08-11",14.7534208015712,0.630434782608693,0.66,0.744460726030185,25.9796642578797,25.4206024087869,25.7001333333333,0.785955242565918,58.0016105558921,25.6327,25.7446169314051,0.616000394101057,0.67920588944186
"12159695","2020-08-12",14.1284691448493,0.793174767321609,0.677435067368072,0.691722975903543,26.0002767845413,25.4393232154586,25.7198,0.839065495761155,61.7436892099493,25.650476,25.7653346738844,0.612572939316025,0.665879299416693
"12159694","2020-08-13",14.0028891169667,0.824304538799418,0.74930469624324,0.695579921203771,26.0208239398137,25.4611093935195,25.7409666666666,0.855597928714078,62.5424051157344,25.669252,25.7859567173665,0.609027862780764,0.654509012089507
"12159693","2020-08-14",13.8862790910756,0.920606060606063,0.846028455575697,0.75758940639567,26.0415038516979,25.483016148302,25.76226,0.858599360586782,63.9136152349533,25.689004,25.8083358217176,0.609691206563778,0.645545450984362
"12159692","2020-08-17",13.7779983527482,1,0.914970199801827,0.836767783873588,26.057972973175,25.511547026825,25.78476,0.857303677294604,64.9836652587071,25.709004,25.831224378822,0.61127994646919,0.638692350081327
"12159691","2020-08-18",13.3094758095911,0.89481481481481,0.938473625140291,0.899824093505938,26.0710021391694,25.5360311941639,25.8035166666666,0.79450197523984,62.8095231189599,25.727868,25.8472744616457,0.596723491190732,0.630298578303208
"12159690","2020-08-19",13.6835748368398,0.828571428571431,0.90779541446208,0.9204130798014,26.0877212232992,25.5636454433674,25.8256833333333,0.870779711842404,64.9610487977376,25.748468,25.8676378667596,0.593399053609822,0.622918673364531
"12159689","2020-08-20",14.472771829304,0.761500000000004,0.828295414462082,0.891521484688151,26.0969635441405,25.6040431225261,25.8505033333333,0.897420472102022,65.607404984157,25.769052,25.8872328178583,0.588469196443198,0.616028777980264
"12159688","2020-08-21",14.4751752700134,0.558823529411769,0.716298319327735,0.817463049417299,26.1014859117309,25.6379740882691,25.86973,0.795432952807892,61.0703339695578,25.786652,25.8969351088105,0.561033358878404,0.605029694159892
"12159687","2020-08-24",14.4774070363864,0.54838709677419,0.622903542061988,0.722499091950601,26.1039248625434,25.6714651374565,25.887695,0.782735384531193,61.5941896891688,25.804652,25.9066770943025,0.536203726491613,0.591264500626236
"12159686","2020-08-25",14.4794793908757,0.580645161290324,0.562618595825428,0.63394015240505,26.1006671713844,25.7090561619489,25.9048616666666,0.759964601472185,62.1428002729129,25.820896,25.9164534817288,0.513697993381257,0.575751199177241
"12159685","2020-08-26",15.099039905242,0.755624999999992,0.628219086021502,0.604580407969639,26.1067569314092,25.7400797352574,25.9234183333333,0.893938687350329,65.4294035236644,25.840168,25.9331663508316,0.509200587329706,0.562441076807734
"12159684","2020-08-27",15.4898632588932,0.718750000000001,0.685006720430106,0.625281467425679,26.1154232347854,25.7582367652146,25.93683,0.81189124679674,64.2818696620746,25.860568,25.9460775040541,0.49620531618999,0.549193924684185
"12159683","2020-08-28",16.6490488623971,0.666944444444444,0.713773148148146,0.675666318199918,26.1254959452019,25.780504054798,25.953,0.897304025048908,65.3952088961494,25.878844,25.9599471701802,0.486516436453077,0.536658427037964
"12159682","2020-08-31",17.7254354942222,0.815555555555553,0.733749999999999,0.710843289526084,26.1365802704596,25.8070997295403,25.97184,0.990549961511386,69.0218226319665,25.898112,25.9813142141562,0.494871661665863,0.528301073963543
"12159681","2020-09-01",18.8162640570291,0.799999999999997,0.760833333333331,0.736118827160492,26.1502454607609,25.8261012059058,25.9881733333333,0.958108792950048,68.9996044595614,25.916912,25.9998056522687,0.495656511898845,0.521772161550604
"12159680","2020-09-02",18.9590706809154,0.542124542124541,0.719226699226697,0.737936677520009,26.1615720746423,25.8341079253577,25.99784,0.80179385096842,63.4966325624929,25.932516,26.0091648986329,0.475246217211378,0.512466972682759
"12159679","2020-09-03",18.1783311896351,0.235104669887288,0.525743070670609,0.668601034410213,26.1682983025424,25.8427150307909,26.0055066666667,0.708323561286773,57.5637506226238,25.942516,26.0092762454818,0.435427341898231,0.497059046525853
