"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12192481","2015-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192480","2015-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192479","2015-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192478","2015-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192477","2015-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192476","2015-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192475","2015-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192474","2015-03-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192473","2015-03-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192472","2015-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192471","2015-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192470","2015-03-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192469","2015-03-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12192468","2015-03-19",NA,0.65472080009525,NA,NA,NA,NA,NA,NA,NA,NA,23.8843857142857,NA,NA
"12192467","2015-03-22",NA,0.845219669008216,NA,NA,NA,NA,NA,NA,63.456937799043,NA,23.947800952381,NA,NA
"12192466","2015-03-23",NA,0.776444287563242,0.758794918888903,NA,NA,NA,NA,NA,61.001282561585,NA,23.9960941587302,NA,NA
"12192465","2015-03-24",NA,0.741146017178493,0.787603324583317,NA,NA,NA,NA,NA,59.5131649258364,NA,24.0339482708995,NA,NA
"12192464","2015-03-25",NA,0.739969408165667,0.752519904302467,0.766306049258229,NA,NA,NA,NA,59.4610940812537,NA,24.0666218347795,NA,NA
"12192463","2015-03-26",NA,0.707317073170734,0.729477499504965,0.75653357613025,NA,NA,NA,NA,58.4152993108287,NA,24.0924055901423,NA,NA
"12192462","2015-03-29",NA,0.743902439024389,0.73039630678693,0.737464570198121,24.5190659527171,23.6483040472829,24.083685,0.81732554935575,59.6228397358633,NA,24.1187515114566,NA,NA
"12192461","2015-03-30",NA,0.808485562757809,0.75323502498431,0.737702943758735,24.5539157756559,23.6414542243441,24.097685,0.827664947894907,62.7307744184511,NA,24.1522513099291,NA,NA
"12192460","2015-03-31",NA,0.572649572649572,0.708345858143923,0.730659063305055,24.5800417849823,23.6399948816844,24.1100183333333,0.762378752026123,55.7934035953561,NA,24.1652844686052,NA,NA
"12192459","2015-04-01",NA,0.545940170940171,0.642358435449184,0.701313106192472,24.6020922729917,23.6436077270083,24.12285,0.716122420406352,54.7074919303029,NA,24.1739132061245,NA,NA
"12192458","2015-04-05",NA,0.399038461538462,0.505876068376068,0.618860120656392,24.5998510416352,23.6818489583648,24.14085,0.542610651304097,49.0526380863254,NA,24.1667247786412,NA,NA
"12192457","2015-04-06",NA,0.465811965811967,0.470263532763533,0.539499345529595,24.5866741769336,23.7436891563997,24.1651816666667,0.572937239099532,51.5063386219026,24.052016,24.1671614748224,NA,NA
"12192456","2015-04-07",NA,0.518035714285713,0.460962047212047,0.479033882783883,24.5812778379205,23.8100921620795,24.195685,0.721799157701957,57.2726464932017,24.06402,24.1848866115128,0.593778207199014,NA
"12192455","2015-04-08",NA,0.874999999999995,0.619615893365892,0.516947157780491,24.6065603973464,23.860142935987,24.2333516666667,0.937621505716688,65.4345689233703,24.08362,24.2322350633111,0.660075056040044,NA
"12192454","2015-04-09",16.6283902575102,0.437499999999994,0.610178571428567,0.563585504002169,24.6097660290306,23.9022706376361,24.2560183333333,0.69408606991679,55.4493681642565,24.09562,24.2452703882029,0.635204443573101,NA
