"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12220087","2014-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220086","2014-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220085","2014-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220084","2014-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220083","2015-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220082","2015-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220081","2015-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220080","2015-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220079","2015-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220078","2015-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220077","2015-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220076","2015-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220075","2015-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12220074","2015-08-05",NA,0.83626723223754,NA,NA,NA,NA,NA,NA,NA,NA,13.805,NA,NA
"12220073","2015-08-06",NA,0.92152704135737,NA,NA,NA,NA,NA,NA,95.8236658932715,NA,14.9163333333333,NA,NA
"12220072","2015-08-07",NA,0.899045599151644,0.885613290915518,NA,NA,NA,NA,NA,93.57067034238,NA,15.8088222222222,NA,NA
"12220071","2015-08-10",NA,0.902863202545069,0.907811947684694,NA,NA,NA,NA,NA,93.5981962237683,NA,16.5943125925926,NA,NA
"12220070","2015-08-11",NA,0.351233671988389,0.717714157895034,0.837046465498416,NA,NA,NA,NA,84.1952919555688,NA,16.9844042469136,NA,NA
"12220069","2015-08-12",NA,0.095419847328245,0.449838907287235,0.691788337622321,NA,NA,NA,NA,83.0820395595467,NA,17.2864836806584,NA,NA
"12220068","2015-08-13",NA,0.286259541984734,0.244304353767123,0.470619139649797,32.6274244922095,0.286742174457174,16.4570833333333,0.6378423813965,83.9295680394282,NA,17.681619189904,NA,NA
"12220067","2015-08-14",NA,0.162213740458016,0.181297709923665,0.291813656992674,31.9012434226189,2.99325657738108,17.44725,0.595858744788028,81.086084835673,NA,17.9374032979168,NA,NA
"12220066","2015-08-17",NA,0.245815899581591,0.231429727341447,0.219010597010745,30.7130082564131,6.26399174358694,18.4885,0.612540314190411,81.8843207881707,NA,18.2637495248612,NA,NA
"12220065","2015-08-18",NA,0.43723849372385,0.281756044587819,0.231494493950977,28.6064955386884,10.5173377946449,19.5619166666667,0.62833193781126,82.795747547288,NA,18.6685829215464,NA,NA
"12220064","2015-08-19",NA,0.58227848101266,0.4217776247727,0.311654465567322,22.9389072611671,18.3753927388329,20.65715,0.864306207097659,83.4898753554862,NA,19.1141051986735,NA,NA
"12220063","2015-08-20",NA,0.478411053540588,0.499309342759033,0.400947670706518,23.0811723376107,18.729794329056,20.9054833333333,0.987473928756167,83.499972873338,16.9222,19.5015578388504,NA,NA
"12220062","2015-08-21",NA,0.293609671848014,0.451433068800421,0.457506678777385,23.2347891001145,18.8075108998855,21.02115,0.788856932445285,78.0027581837977,17.7436,19.694683460337,18.1189990212248,NA
"12220061","2015-08-24",NA,0.33644214162349,0.369487622337364,0.440076677965606,23.3658699553337,18.9389633779996,21.1524166666667,0.781517122222734,78.3583883155616,18.57492,19.8951256656254,16.9534041308715,NA
"12220060","2015-08-25",72.8065790473615,0.564766839378239,0.398272884283248,0.406397858473678,23.5814276082386,19.0914057250947,21.3364166666667,0.910595623209405,80.1963638178058,19.45912,20.2451089102087,16.345122113542,NA
"12220059","2015-08-26",72.304234666327,0.632592592592593,0.511267191198107,0.426342565939573,24.0590579906327,19.0561086760339,21.5575833333333,1.05748782527032,81.4777970566331,20.38332,20.6817610555142,16.0310755905421,NA
"12220058","2015-08-27",72.2573897314011,0.683778234086243,0.627045888685692,0.512195321389016,25.1949454416649,18.6608878916684,21.9279166666667,1.26656043533052,84.1221808194174,20.73572,21.3788595814456,16.4340345602117,NA
"12220057","2015-08-28",72.2138908632557,0.734086242299795,0.683485689659544,0.607266256514448,26.0852396247922,18.4832603752078,22.28425,1.11945490493029,84.6073877929585,21.02972,22.0483449705862,16.6514697125887,NA
"12220056","2015-08-31",72.1734990571207,0.754620123203286,0.724161533196441,0.678231037180559,26.7884884784647,18.4330115215353,22.61075,1.00895758019015,84.8114075890275,21.32692,22.6552323078414,16.6280708143834,NA
"12220055","2015-09-01",70.6050944478483,0.533546325878595,0.674084230460559,0.693910484438848,27.0668317224917,18.6576682775083,22.86225,0.797423560583235,74.2639924815524,21.56132,22.9158680001292,15.6972628212303,NA
"12220054","2015-09-02",69.2683047308156,0.567625133120341,0.618597194067407,0.672280985908136,27.4076700438904,18.7499966227762,23.0788333333333,0.80833918885063,74.8065686021949,21.77332,23.1844189334453,14.8848076670494,16.4160273812938
"12220053","2015-09-03",67.5667330727112,0.454968041836142,0.518713166945026,0.603798197157664,27.6281522986538,18.7921810346796,23.2101666666667,0.72519689956963,71.6058798668285,21.97692,23.3331630756526,13.8566934118295,15.9041605874009
"12220052","2015-09-04",64.5684913327122,0.145522388059702,0.389371854338729,0.508894071783721,27.636822019007,18.8515113143263,23.2441666666667,0.443371382444683,61.7588836312671,22.08572,23.1714079988989,12.1584881521303,15.1550261003468
"12220051","2015-09-08",62.0980671284899,0.252487562189055,0.284325997361633,0.397470339548463,27.6841127027954,18.9322206305379,23.3081666666667,0.536773000703871,63.8697130490762,22.21852,23.1458869323791,10.9867478810531,14.321370456488
"12220050","2015-09-09",58.4401047222006,4.16496328112603e-16,0.132669983416253,0.268789278372205,27.6177458222457,19.110720844421,23.3642333333333,0.285718273456143,54.3949579304578,22.25652,22.7877686747285,9.07867151269386,13.2728306677292
"12220049","2015-09-10",55.0434253449319,0.0386869871043379,0.097058183097798,0.171351387958561,27.5561261584374,19.2610071748959,23.4085666666667,0.248217394975211,55.3294853907149,22.28292,22.5213995180981,7.59307167487147,12.1368788691577
"12220048","2015-09-11",52.2924788365366,0.137162954279015,0.0586166471277847,0.0961149378806119,27.5018247591975,19.4451419074692,23.4734833333333,0.343589474329418,57.7053136553828,22.26252,22.4025462490183,6.64082910704098,11.0376689167343
"12220047","2015-09-14",49.8575711584595,0.139507620164127,0.105119187182493,0.0869313391360255,27.3639919853787,19.7938080146213,23.5789,0.334583500457776,57.7629137812258,22.26412,22.3022067491492,5.82743359692013,9.99562185277149
"12220046","2015-09-15",47.9109253078432,0.220398593200469,0.165689722547871,0.109808518952716,27.310281313333,20.0285186866669,23.6694,0.414938177505028,59.7971360057326,22.28972,22.3072458492626,5.37193337095307,9.07088415640781
"12220045","2015-09-16",45.4112360061901,0.0832356389214542,0.147713950762017,0.139507620164127,27.3155166152007,20.0129500514659,23.6642333333333,0.241976561680301,54.9632305687475,22.35572,22.155613069361,4.53375284866757,8.16345789485976
