"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12382173","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382172","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382171","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382170","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382169","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382168","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382167","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382166","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382165","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382164","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382163","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382162","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382161","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12382160","2021-01-29",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20.75705,NA,NA
"12382159","2021-02-01",NA,0.0139166666666668,NA,NA,NA,NA,NA,NA,30.7594915621304,NA,20.5654566666667,NA,NA
"12382158","2021-02-02",NA,0.383333333333333,0.132416666666667,NA,NA,NA,NA,NA,44.0974323797226,NA,20.5767291111111,NA,NA
"12382157","2021-02-03",NA,0.241666666666667,0.212972222222222,NA,NA,NA,NA,NA,40.8478079787352,NA,20.518498562963,NA,NA
"12382156","2021-02-04",NA,0.269444444444444,0.298148148148148,0.214512345679012,NA,NA,NA,NA,41.7541648841421,NA,20.4813654212346,NA,NA
"12382155","2021-02-05",NA,0.291666666666667,0.267592592592593,0.259570987654321,NA,NA,NA,NA,42.5130436322768,NA,20.4598500317366,NA,NA
