"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12547516","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547515","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547514","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547513","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547512","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547511","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547510","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547509","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547508","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547507","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547506","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547505","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547504","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12547503","2001-08-20",NA,0.313559322033898,NA,NA,NA,NA,NA,NA,NA,NA,24.5678571428571,NA,NA
"12547502","2001-08-21",NA,0.176470588235294,NA,NA,NA,NA,NA,NA,62.1951219512195,NA,24.4921428571429,NA,NA
"12547501","2001-08-22",NA,0.146341463414634,0.212123791227942,NA,NA,NA,NA,NA,60.9935602575897,NA,24.4145238095238,NA,NA
"12547500","2001-08-23",NA,0.109756097560975,0.144189383070301,NA,NA,NA,NA,NA,59.7504332755633,NA,24.335253968254,NA,NA
"12547499","2001-08-24",NA,0.609756097560975,0.288617886178861,0.214977020159035,NA,NA,NA,NA,69.0380962929235,NA,24.4305534391534,NA,NA
"12547498","2001-08-27",NA,0.47560975609756,0.398373983739837,0.277060417663,NA,NA,NA,NA,64.722935733136,NA,24.469146313933,NA,NA
"12547497","2001-08-28",NA,0.524390243902438,0.536585365853658,0.407859078590785,25.9047329713807,23.7282670286193,24.8165,0.584310990764777,65.5657857867841,NA,24.5185934720753,NA,NA
"12547496","2001-08-29",NA,0.710843373493976,0.570281124497992,0.501746824697162,25.958467073808,23.832532926192,24.8955,0.812568477600845,68.7790649849088,NA,24.6254476757986,NA,NA
"12547495","2001-08-30",NA,0.493975903614458,0.576403173670291,0.561089888007314,25.9300661638638,23.8329338361362,24.8815,0.566042565921475,61.7929689176729,NA,24.6460546523587,NA,NA
"12547494","2001-08-31",NA,0.469879518072289,0.558232931726908,0.568305743298397,25.8963579612681,23.8266420387319,24.8615,0.494443681920413,61.0509535306781,NA,24.6559140320443,NA,NA
"12547493","2001-09-04",NA,0.421686746987952,0.461847389558233,0.532161164985144,25.8545324478599,23.82046755214,24.8375,0.481564010037781,59.5117665872249,NA,24.6484588277717,NA,NA
"12547492","2001-09-05",NA,0.313253012048192,0.401606425702811,0.473895582329317,25.7816553521588,23.8053446478412,24.7935,0.371730695256476,56.085532969452,24.5616,24.6059976507355,NA,NA
"12547491","2001-09-06",NA,0.189189189189188,0.308042982741777,0.390498932667607,25.7156679844153,23.7763320155847,24.746,0.316432012956133,54.949883418073,24.6192,24.5571979639707,-0.0337224413302528,NA
"12547490","2001-09-07",NA,0,0.167480733745793,0.292376714063461,25.684979879072,23.697020120928,24.691,0.182589148288843,49.8745567989911,24.576,24.458904902108,-0.266081468576762,NA
"12547489","2001-09-10",14.1746564772551,0,0.0630630630630625,0.179528926516878,25.6706197450673,23.5743802549327,24.6225,0.0933193683202518,46.5661123270002,24.522,24.3337175818269,-0.544343097821731,NA
"12547488","2001-09-17",17.1989326893061,0,-3.23815048849004e-16,0.0768479322696186,26.1542247666122,22.7237752333878,24.439,-0.374229447468674,29.1023746985727,24.36,23.88922190425,-1.59519588561502,NA
"12547487","2001-09-18",20.0071891719249,0.00595238095238118,0.00198412698412674,0.0216823966823964,26.3976186183167,22.0663813816833,24.232,-0.197722113773876,29.4416257322175,24.1932,23.5079923170167,-2.40913894831236,NA
"12547486","2001-09-19",23.6920007643469,0,0.00198412698412674,0.0013227513227512,26.9745468462614,20.9174531537386,23.946,-0.27198739814315,20.113354112812,23.9232,22.8175933414144,-3.97603720872588,NA
"12547485","2001-09-20",27.1136115287387,0.0544747081712064,0.0201423630411956,0.00803687233648316,27.3971276552071,20.0118723447929,23.7045,-0.123472013690181,24.1398151595404,23.6712,22.2752475625592,-5.0585977203143,NA
"12547484","2001-09-21",30.3523646209154,0.0272373540856032,0.0272373540856029,0.0164546147036419,27.6945234200318,19.1654765799682,23.43,-0.0487131314623033,23.5019800008277,23.4108,21.777214554218,-5.96211535110436,NA
"12547483","2001-09-24",31.4221227751947,0.0194552529182882,0.033722438391699,0.0270340518394993,27.8320722885945,18.5359277114055,23.184,0.0617538038299401,23.3124495209715,23.1516,21.3375859469889,-6.65737787451837,-2.94473444403545
"12547482","2001-09-25",31.5676717362714,0.225941422594142,0.090878009866011,0.0506126007811044,27.7890382848461,18.2029617151539,22.996,0.218758766383754,36.7669992821597,22.9476,21.1525744873904,-6.59374026876993,-3.67453560898234
"12547481","2001-09-26",31.7028243429854,0.253275109170306,0.166223928227579,0.0969414588284296,27.6990215248225,17.9079784751775,22.8035,0.24737114447784,37.7274814988572,22.7712,21.008231222405,-6.42952912084591,-4.22553431135506
"12547480","2001-09-27",31.9535590138344,0.227074235807861,0.235430255857436,0.164177397983675,27.5805643669397,17.6064356330603,22.5935,0.245992851346066,36.8239326303682,22.6248,20.8591337260843,-6.30124529857744,-4.64067650879953
"12547479","2001-09-28",32.1863840653369,0.262443438914027,0.247597594630731,0.216417259571915,27.2695782463629,17.4064217536371,22.338,0.281205945420055,38.4123768144925,22.4676,20.7539158959398,-6.0643214220199,-4.92540549144361
"12547478","2001-10-01",32.8108863892622,0.183962264150944,0.22449331295761,0.235840387815259,26.9672775881996,17.1827224118004,22.075,0.263402632182617,35.3788353420087,22.2912,20.5867271098145,-6.03366866592255,-5.1470581263394
"12547477","2001-10-02",32.6449808539112,0.193236714975846,0.213214139346939,0.228435015645093,26.6051855494011,17.0388144505988,21.822,0.303269183208289,35.6668038305568,22.1124,20.4458301618392,-5.93519133855873,-5.30468476878326
"12547476","2001-10-03",31.1738564936295,0.272727272727273,0.216642083951354,0.218116512085301,26.0611470908079,17.0818529091921,21.5715,0.386238274485826,39.7170148855331,21.954,20.379719473594,-5.6300510319174,-5.36975802141009
"12547475","2001-10-04",29.8078124447965,0.631578947368422,0.365847645023846,0.265234622774046,25.5808875787963,17.1751124212037,21.378,0.47287579125953,47.3642008247284,21.8352,20.4424235437814,-4.97547245439996,-5.29090090800807
"12547474","2001-10-05",31.1049154891582,0,0.301435406698564,0.294641711891255,25.1571417138245,16.9238582861755,21.0405,0.142852086188943,29.004890583377,21.5004,19.9407670712773,-6.05366647359878,-5.44345402112621
"12547473","2001-10-08",30.26052647528,0.44954128440367,0.360373410590697,0.342552154104369,24.5793190164854,17.1036809835146,20.8415,0.497123991302793,45.1482120219143,21.2964,19.8979981284403,-5.6764527946959,-5.49005377584015
"12547472","2001-10-09",29.4764509623931,0.568807339449541,0.339449541284403,0.333752786191222,23.9950142513947,17.3289857486053,20.662,0.543204135697814,48.4944038581591,21.1188,19.9649317113149,-5.00419160046927,-5.39288134076597
"12547471","2001-10-10",28.7483808432838,0.729357798165138,0.582568807339449,0.427463919738183,23.4169779157199,17.6210220842801,20.519,0.674431971085065,52.6793522551168,20.964,20.1629408164729,-4.00279920614408,-5.11486491384159
"12547470","2001-10-11",27.9125101990465,0.752293577981652,0.68348623853211,0.535168195718654,22.8720620566759,17.9289379433241,20.4005,0.760867413083349,53.2635741503024,20.8368,20.3545487076099,-3.11587587217087,-4.71506710550745
