"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12710758","2003-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710757","2003-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710756","2003-11-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710755","2003-11-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710754","2003-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710753","2003-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710752","2003-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710751","2003-12-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710750","2003-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710749","2003-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710748","2003-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710747","2003-12-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710746","2003-12-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710745","2003-12-12",NA,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,0.126428571428571,NA,NA
"12710744","2003-12-15",NA,0.857142857142857,NA,NA,NA,NA,NA,NA,69.2307692307692,NA,0.132238095238095,NA,NA
"12710743","2003-12-16",NA,0.75,0.821428571428572,NA,NA,NA,NA,NA,69.2307692307692,NA,0.137273015873016,NA,NA
"12710742","2003-12-17",NA,0.625,0.744047619047619,NA,NA,NA,NA,NA,66.2745098039216,NA,0.14030328042328,NA,NA
"12710741","2003-12-18",NA,0.75,0.708333333333333,0.757936507936508,NA,NA,NA,NA,67.7572339539206,NA,0.14426284303351,NA,NA
"12710740","2003-12-19",NA,0.636363636363636,0.670454545454545,0.707611832611833,NA,NA,NA,NA,69.2148016352121,NA,0.149027797295708,NA,NA
"12710739","2003-12-22",NA,0.533333333333333,0.63989898989899,0.672895622895623,0.217684444863257,0.0879822218034091,0.152833333333333,1.04355274980498,71.9463018379411,NA,0.155824090989614,NA,NA
"12710738","2003-12-23",NA,0.533333333333333,0.567676767676768,0.626010101010101,0.227131711334262,0.0928682886657381,0.16,1.04618995908053,73.2254930032747,NA,0.163047545524332,NA,NA
"12710737","2003-12-24",NA,0.4,0.488888888888889,0.565488215488215,0.224332380944606,0.107667619055394,0.166,0.79143332956259,66.6770728521903,NA,0.166641206121088,NA,NA
"12710736","2003-12-26",NA,0.333333333333333,0.422222222222222,0.492929292929293,0.224701233081062,0.112965433585605,0.168833333333333,0.629770405415944,63.6138364951894,NA,0.168422378638276,NA,NA
"12710735","2003-12-29",NA,0.333333333333333,0.355555555555556,0.422222222222222,0.225338204909138,0.116995128424195,0.171166666666667,0.612297592623351,63.6138364951894,NA,0.169966061486506,NA,NA
"12710734","2003-12-30",NA,0.230769230769231,0.299145299145299,0.358974358974359,0.226810508011325,0.118522825322008,0.172666666666667,0.629285248814186,63.6138364951894,0.1504,0.171303919954972,NA,NA
"12710733","2003-12-31",NA,0.166666666666667,0.243589743589744,0.299430199430199,0.227363627424689,0.124636372575311,0.176,0.701179976014827,63.6138364951894,0.1548,0.172463397294309,16.1106463187484,NA
"12710732","2004-01-02",NA,0.166666666666667,0.188034188034188,0.243589743589744,0.225894120127361,0.134439213205972,0.180166666666667,0.753312451420236,63.6138364951894,0.16,0.173468277655068,14.9227318242116,NA
"12710731","2004-01-05",44.7857192712729,0.25,0.194444444444445,0.208689458689459,0.227695273754353,0.139304726245647,0.1835,0.799805813482373,65.8841390336891,0.1632,0.175672507301059,14.2643590246543,NA
"12710730","2004-01-06",46.0349886101521,0.230769230769231,0.215811965811966,0.1994301994302,0.232710124399552,0.140623208933781,0.186666666666667,0.898174555866148,65.8841390336891,0.1664,0.177582839660918,13.5709277774486,NA
"12710729","2004-01-07",47.1950244248257,0.307692307692308,0.262820512820513,0.224358974358975,0.238697269355192,0.140636063978142,0.189666666666667,0.911307745792536,68.1862769157347,0.1688,0.180571794372795,13.2954067369766,NA
"12710728","2004-01-08",47.7306899853672,0.166666666666667,0.235042735042735,0.237891737891738,0.239897969193562,0.147435364139771,0.193666666666667,0.820850430824525,63.5668274985213,0.172,0.181828888456423,12.4750318554806,NA
"12710727","2004-01-09",48.2280937201556,0.545454545454546,0.33993783993784,0.27926702926703,0.248320789948686,0.148679210051314,0.1985,1.05030573973044,73.3050063685538,0.1768,0.189585036662233,13.7816339165355,NA
"12710726","2004-01-12",48.8562947121067,0.545454545454546,0.419191919191919,0.331390831390832,0.256620062580261,0.149379937419739,0.203,1.00043457694903,73.3050063685538,0.1812,0.196307031773935,14.5261824462328,NA
