"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12727244","2017-01-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727243","2017-01-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727242","2017-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727241","2017-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727240","2017-01-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727239","2017-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727238","2017-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727237","2017-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727236","2017-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727235","2017-01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727234","2017-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727233","2017-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727232","2017-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727231","2017-02-03",NA,0.888748419721871,NA,NA,NA,NA,NA,NA,NA,NA,9.00357142857143,NA,NA
"12727230","2017-02-06",NA,0.74937343358396,NA,NA,NA,NA,NA,NA,80.3790412486065,NA,9.46976190476191,NA,NA
"12727229","2017-02-07",NA,0.570322580645161,0.736148144650331,NA,NA,NA,NA,NA,69.3115432966058,NA,9.69646031746032,NA,NA
"12727228","2017-02-08",NA,0.513698630136986,0.611131548122036,NA,NA,NA,NA,NA,67.652170050691,NA,9.86359894179894,NA,NA
"12727227","2017-02-09",NA,0.503597122302158,0.529206111028102,0.625495267933489,NA,NA,NA,NA,69.7772978788013,NA,10.0884524162257,NA,NA
"12727226","2017-02-10",NA,0.748201438848921,0.588499063762688,0.576278907637609,NA,NA,NA,NA,74.8240127749059,NA,10.5099920940623,NA,NA
"12727225","2017-02-13",NA,0.672413793103448,0.641404118084843,0.586369764291878,15.3460523671028,5.40891429956382,10.3774833333333,0.950080962573795,76.443701809609,NA,10.9619931481873,NA,NA
