"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"12955415","2004-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955414","2004-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955413","2004-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955412","2004-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955411","2004-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955410","2004-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955409","2004-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955408","2004-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955407","2004-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955406","2004-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955405","2004-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955404","2004-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955403","2004-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12955402","2004-08-12",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,87.6285714285714,NA,NA
"12955401","2004-08-13",NA,0,NA,NA,NA,NA,NA,NA,34.5679012345679,NA,87.4780952380952,NA,NA
"12955400","2004-08-16",NA,0,0,NA,NA,NA,NA,NA,34.5679012345679,NA,87.3476825396825,NA,NA
"12955399","2004-08-17",NA,0,0,NA,NA,NA,NA,NA,32.2585043288568,NA,87.1679915343915,NA,NA
"12955398","2004-08-18",NA,0,0,0,NA,NA,NA,NA,30.0933875362617,NA,86.9455926631393,NA,NA
"12955397","2004-08-19",NA,0,0,0,NA,NA,NA,NA,30.0933875362616,NA,86.7528469747208,NA,NA
"12955396","2004-08-20",NA,0.116279069767442,0.0387596899224806,0.0129198966408269,89.614319606578,85.3323470600886,87.4733333333333,0.233767559781618,35.1419782679438,NA,86.6524673780913,NA,NA
"12955395","2004-08-23",NA,0.232558139534884,0.116279069767442,0.0516795865633075,89.3270135058467,85.3863198274866,87.3566666666667,0.40949140030212,39.8222646856281,NA,86.6321383943458,NA,NA
"12955394","2004-08-24",NA,0.627906976744187,0.325581395348838,0.160206718346253,89.3084752929764,85.394858040357,87.3516666666667,0.82748901692133,52.3994693480784,NA,86.841186608433,NA,NA
"12955393","2004-08-25",NA,0.875,0.578488372093024,0.340116279069768,89.449538482431,85.3271281842357,87.3883333333333,0.931381935493386,56.9583948588874,NA,87.1290283939753,NA,NA
"12955392","2004-08-26",NA,0.875,0.792635658914729,0.565568475452197,89.5899453861001,85.2667212805665,87.4283333333333,0.894381590771032,56.9583948588874,NA,87.3784912747786,NA,NA
"12955391","2004-08-27",NA,0.7,0.816666666666667,0.729263565891473,89.8816233067968,85.2050433598698,87.5433333333333,0.918396924434575,56.9583948588874,87.38,87.5946924381415,NA,NA
"12955390","2004-08-30",NA,0.759999999999999,0.778333333333333,0.795878552971577,90.1463356712515,85.2036643287485,87.675,0.875977524006743,58.8062476634391,87.392,87.8220667797226,0.506573557472412,NA
"12955389","2004-08-31",NA,0.727272727272727,0.729090909090909,0.77469696969697,90.4651872593509,85.1248127406491,87.795,0.912892390276779,60.0379894330463,87.432,88.0457912090929,0.614217048719112,NA
"12955388","2004-09-01",26.327516611557,0.808823529411765,0.765365418894831,0.757596553773024,91.0443386391293,84.8456613608707,87.945,1.06275446788759,67.811756744195,87.54,88.4396857145472,0.826455591748276,NA
"12955387","2004-09-02",28.0162950578296,0.8,0.778698752228164,0.757718360071301,91.6280932121952,84.5485734544715,88.0883333333333,1.0525327706585,69.9127747425741,87.68,88.8477276192743,1.02694286348064,NA
"12955386","2004-09-03",29.8025847979081,0.8125,0.807107843137255,0.783724004753417,92.2800152143557,84.246651452311,88.2633333333333,1.02738389448809,71.8888173235088,87.88,89.268030603371,1.21560183599079,NA
"12955385","2004-09-07",32.4103941165237,0.772727272727273,0.795075757575758,0.793627450980392,93.5401868513755,83.7431464819578,88.6416666666667,1.13199358512337,78.0880714420648,88.18,89.8989598562549,1.52548173121443,NA
"12955384","2004-09-08",34.9481957230717,0.91304347826087,0.832756916996047,0.811646839236353,94.9734553584114,83.2498779749219,89.1116666666667,1.11599513786953,82.2932454579149,88.524,90.7124318754209,1.92342429958501,NA
"12955383","2004-09-09",35.6850284527931,0.772727272727273,0.819499341238472,0.815777338603425,95.8657063972529,83.124293602747,89.495,0.9451364034852,71.2491752854822,88.784,91.2174409586981,2.07762735728079,NA
"12955382","2004-09-10",36.3692302732487,0.80952380952381,0.831764853503984,0.828007037246168,96.6833240809214,83.1733425857453,89.9283333333333,0.912411124963874,72.5706066141561,89.032,91.721782164205,2.21598456246141,1.32581209421699
"12955381","2004-09-13",37.0045605351004,0.772727272727273,0.784992784992785,0.812085659911747,97.3287136668905,83.3712863331095,90.35,0.852261670370077,72.5706066141561,89.28,92.1588778756444,2.29697309715371,1.52004429480433
"12955380","2004-09-14",37.0422809433395,0.6875,0.756583694083694,0.791113777526821,97.8107500783754,83.7225832549579,90.7666666666667,0.80048858637141,68.8980332224134,89.6,92.4710274922251,2.28957829880374,1.67395109560421
"12955379","2004-09-15",37.3191841666724,0.7875,0.749242424242424,0.763606301106301,98.2832929375369,84.186707062463,91.235,0.816743361801895,71.3925875865168,89.952,92.8482238265951,2.32531219071492,1.80422331462635
"12955378","2004-09-16",38.5298027852337,0.75,0.741666666666667,0.749164261664262,98.8781162035345,84.7418837964655,91.81,0.890721740721477,74.6739120276697,90.332,93.3351273163824,2.42782889745978,1.92894443119304
"12955377","2004-09-17",39.6539486453264,0.793814432989691,0.777104810996563,0.756004633968551,99.2837752536229,85.4862247463771,92.385,0.858638537379131,75.913609623451,90.752,93.8237770075314,2.52081237740902,2.04731802043624
"12955376","2004-09-20",40.1490663150882,0.736842105263158,0.760218846084283,0.759663441249171,99.4656164470981,86.3477168862352,92.9066666666667,0.79425442557254,72.1122298778769,91.152,94.1806067398606,2.52065483083366,2.14198538251572
"12955375","2004-09-21",39.5038540301369,0.550000000000001,0.693552179417616,0.743625278832821,99.4117343946432,87.2715989386901,93.3416666666667,0.694259227328217,64.4642314864785,91.508,94.3431925078792,2.39791664125732,2.19317163426404
"12955374","2004-09-22",37.3679302987272,0.266666666666667,0.517836257309942,0.657202427603947,99.2919896169634,87.9380103830365,93.615,0.542716301484045,53.8422066515672,91.808,94.230766840162,2.11382634175261,2.17730257576176
"12955373","2004-09-23",35.3845725481325,0.285714285714286,0.367460317460318,0.526282918062625,99.174930576932,88.5717360897346,93.8733333333333,0.543383152176963,55.9014782112458,92.148,94.1999979281404,1.90957096549256,2.12375625370792
"12955372","2004-09-24",33.2413117076627,0.0181818181818171,0.19018759018759,0.358494721652616,98.9449471625875,89.2717195040791,94.1083333333333,0.471571019549189,53.8323537147994,92.472,94.1199982043883,1.69399181890093,2.03780336674652
"12955371","2004-09-27",31.3205166823168,0.0727272727272738,0.125541125541125,0.227729677729678,98.6883662069484,89.9849671263848,94.3366666666666,0.468977637644709,55.1725047620338,92.788,94.0906651104699,1.53128040058943,1.9364987735151
"12955370","2004-09-28",29.4538658298965,0.054545454545454,0.0484848484848483,0.121404521404521,98.3218247602697,90.8015085730635,94.5616666666666,0.429745861718936,54.6035207140244,93.08,94.0519097624072,1.37791345204337,1.82478170922075
