"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13002881","2017-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002880","2017-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002879","2017-01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002878","2017-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002877","2017-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002876","2017-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002875","2017-02-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002874","2017-02-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002873","2017-02-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002872","2017-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002871","2017-02-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002870","2017-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002869","2017-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13002868","2017-02-14",NA,0.494539249146758,NA,NA,NA,NA,NA,NA,NA,NA,11.3049285714286,NA,NA
"13002867","2017-02-15",NA,0.88235294117647,NA,NA,NA,NA,NA,NA,78.1902552204176,NA,11.5309380952381,NA,NA
"13002866","2017-02-16",NA,0.96078431372549,0.779225501349572,NA,NA,NA,NA,NA,79.2282848886622,NA,11.7534796825397,NA,NA
"13002865","2017-02-17",NA,0.886756238003839,0.909964497635266,NA,NA,NA,NA,NA,76.4841018391124,NA,11.9276823915344,NA,NA
"13002864","2017-02-21",NA,0.863970588235294,0.903837046654874,0.864342348546571,NA,NA,NA,NA,76.7320763780473,NA,12.0839914059965,NA,NA
"13002863","2017-02-22",NA,0.902912621359223,0.884546482532786,0.899449342274309,NA,NA,NA,NA,77.4986605196962,NA,12.2354592185303,NA,NA
"13002862","2017-02-23",NA,0.616600790513834,0.794494666702784,0.860959398630148,13.7056932608853,10.4537067391147,12.0797,0.728670484442367,63.8963112547374,NA,12.2707313227262,NA,NA
"13002861","2017-02-24",NA,0.342210386151798,0.620574599341618,0.766538582859063,13.8137375993294,10.4958290673372,12.1547833333333,0.769311221627764,59.5939508788891,NA,12.2646338130294,NA,NA
"13002860","2017-02-27",NA,0.700973574408901,0.553261583691511,0.656110283245304,14.045176650604,10.500723349396,12.27295,0.932708950106338,70.4599272411532,NA,12.4453493046255,NA,NA
"13002859","2017-02-28",NA,0.277695716395864,0.440293225652187,0.538043136228439,14.0724669227976,10.5987664105357,12.3356166666667,0.600099782764591,54.8575767187324,NA,12.4193027306754,NA,NA
"13002858","2017-03-01",NA,0.141093474426808,0.373254255077191,0.45560302147363,14.0821142977687,10.698452368898,12.3902833333333,0.549172564171878,54.9360174306498,NA,12.3980623665854,NA,NA
"13002857","2017-03-02",NA,0.437389770723104,0.285392987181925,0.366313489303768,14.0954757718887,10.8884242281113,12.49195,0.689597825822229,61.0573518713039,11.99216,12.4916540510406,NA,NA
"13002856","2017-03-03",NA,0.190476190476191,0.256319811875368,0.304989018044828,14.0309350479233,11.11429828541,12.5726166666667,0.526531700597044,54.422946198427,12.06536,12.4794335109019,4.48693760074224,NA
"13002855","2017-03-06",NA,0.093423019431988,0.240429660210428,0.26071415308924,13.9589264471707,11.331240219496,12.6450833333333,0.499080306224842,53.2566842081201,12.11412,12.4513757094483,3.96374699007804,NA
"13002854","2017-03-07",21.1610414518397,0.04251012145749,0.108803110455223,0.201850860847006,13.8572998104061,11.5834335229272,12.7203666666667,0.49793303589315,53.7536593536909,12.16132,12.4351922815219,3.54816507082834,NA
"13002853","2017-03-08",20.6423421145202,0.224696356275303,0.12020983238826,0.156480867684637,13.7383034667173,11.8690965332827,12.8037,0.587184925195642,57.3556609657323,12.22092,12.4811666439856,3.47024483252283,NA
"13002852","2017-03-09",20.0251399144499,0.2834008097166,0.183535762483131,0.137516235108871,13.637696308392,12.1180370249413,12.8778666666667,0.635205745724875,58.4779016113281,12.30792,12.5403444247875,3.46024853049667,NA
"13002851","2017-03-10",19.2879852075621,0.366396761133604,0.291497975708502,0.198414523526631,13.6527294835299,12.19667051647,12.9247,0.718832712508018,60.0775068006246,12.39732,12.6189651681492,3.54020200316141,NA
"13002850","2017-03-13",18.8387274727905,0.317813765182186,0.322537112010796,0.265856950067477,13.6644175461345,12.2573157871988,12.9608666666667,0.658102756431019,58.6530919566344,12.47972,12.6711031457293,3.48378896574548,NA
"13002849","2017-03-14",18.4418347480169,0.313765182186235,0.332658569500675,0.315564552406658,13.6289000354497,12.375166631217,13.0020333333333,0.564846321973661,58.5285556923394,12.56212,12.7149560596321,3.39189344150954,NA
"13002848","2017-03-15",18.0732915035843,0.313765182186235,0.315114709851552,0.323436797121008,13.6030553200273,12.4577446799727,13.0304,0.48509865701951,58.5285556923394,12.63812,12.7529619183478,3.27993773432469,3.62501835215658
"13002847","2017-03-16",19.0572777528731,0.0155440414507769,0.214358135274415,0.287377138208881,13.6135084355525,12.3913248977808,13.0024166666667,0.116192397593092,49.7142574214629,12.67692,12.6899003292348,2.70367221343095,3.44074912441146
"13002846","2017-03-17",19.9709792700699,0.0230769230769226,0.117462048904645,0.215644964676871,13.6089793739712,12.3180206260288,12.9635,0.10610670107741,49.7142574214629,12.68272,12.6352469520035,2.22102049599471,3.19680339872811
"13002845","2017-03-20",21.9429131312395,0,0.0128736548425664,0.114897946340542,13.7080853405802,12.0834146594198,12.89575,-0.172392675841486,41.0506939482788,12.64912,12.4718806917363,1.26284823230727,2.81001236544394
"13002844","2017-03-21",24.3604271509033,0,0.00769230769230746,0.0460093371465063,13.9134395769329,11.6613937564004,12.7874166666667,-0.268523439541195,36.002591551578,12.60512,12.2436299328382,0.0668896295186627,2.26138781825888
"13002843","2017-03-22",26.1616894550532,0.15884476534296,0.05294825511432,0.024504739216398,13.9426005932142,11.4425660734525,12.6925833333333,-0.0156928793618785,41.2677149441649,12.57236,12.1044792751264,-0.59586356661111,1.68993754128488
"13002842","2017-03-23",27.3160596782299,0.15884476534296,0.10589651022864,0.0555123576784226,13.9816924924358,11.2678075075642,12.62475,0.0732747187927921,41.2677149441649,12.50036,11.9838820384429,-1.11489950165733,1.12897013269644
"13002841","2017-03-24",28.3879748854655,0.15884476534296,0.15884476534296,0.10589651022864,13.9826146256835,11.1032853743165,12.54295,0.107333316907099,41.2677149441649,12.42036,11.8793644333172,-1.51412441012073,0.600351224133007
"13002840","2017-03-27",29.4339254119455,0.143682310469314,0.153790613718411,0.139510629763337,13.8432384965289,10.9817948368044,12.4125166666667,0.0755580709970827,40.8668774984636,12.34428,11.7831825088749,-1.84245430026225,0.111790119253955
"13002839","2017-03-28",30.6326233941684,0.0758122743682314,0.126113116726835,0.146249498596069,13.8672673448674,10.7990993217993,12.3331833333333,0.0969853484653192,39.0389891279479,12.25908,11.6747581743582,-2.21146889942176,-0.352861684481189
"13002838","2017-03-29",32.1624388132167,0,0.0731648616125151,0.117689530685921,13.9070533011158,10.5889800322175,12.2480166666667,0.0796707244513691,35.5753122885883,12.15388,11.5301237511105,-2.7441514913861,-0.831119645862172
"13002837","2017-03-30",33.6142808054348,0,0.0252707581227437,0.0748495788206981,13.8766453453156,10.3723546546844,12.1245,0.0734277018371236,35.3089663081354,12.07628,11.4007739176291,-3.16068014204618,-1.29703174509897
"13002836","2017-03-31",33.0359830127349,0,-4.16333634234434e-17,0.0328118732450863,13.8654326632329,10.1893673367671,12.0274,0.141083636218061,33.4226232310273,12.00128,11.2606707286119,-3.60841108322768,-1.75930761272471
"13002835","2017-04-03",33.553386863459,0,-4.16333634234434e-17,0.00842358604091462,13.8792202667405,9.93431306659277,11.9067666666667,0.0749540910356922,27.1095326099163,11.83648,11.0259146314636,-4.54326587965701,-2.31609926611117
"13002834","2017-04-04",34.4320031640752,0,-4.16333634234434e-17,2.89120579329468e-17,13.9444003643722,9.54489963562781,11.74465,-0.0162669145221163,24.6872550368787,11.71008,10.7677926806018,-5.55626294268704,-2.96413200142635
"13002833","2017-04-05",35.2478611575046,0.0323014804845225,0.0107671601615075,0.00358905338716919,13.9164399941655,9.21452667250116,11.5654833333333,0.0359016956042955,26.7502127162294,11.58808,10.5600869898549,-6.23048605846749,-3.61740281283458
"13002832","2017-04-06",34.8012150386843,0,0.0107671601615075,0.00717810677433836,13.8028542454546,8.96061242121201,11.3817333333333,0.092461493740319,25.4370707763824,11.42408,10.3520753912076,-6.87570669036703,-4.26906358834107
"13002831","2017-04-07",34.9529626501172,0,0.0107671601615075,0.0107671601615075,13.6472281076468,8.68940522568652,11.1683166666667,0.0576048763969887,22.5932714579031,11.26808,10.1051320057132,-7.72580451648144,-4.96041177396914
"13002830","2017-04-10",35.6455309079202,0,-4.16333634234434e-17,0.00717810677433836,13.5388487575253,8.2975179091413,10.9181833333333,-0.0222941931839043,19.8245578792319,11.09412,9.81378107161813,-8.81560503646739,-5.73145042646879
"13002829","2017-04-11",36.5567638348245,0,-4.16333634234434e-17,0.00358905338716919,13.3900938946148,7.93093943871846,10.6605166666667,-0.000172085022699524,18.4790529640636,10.90492,9.51861026206905,-9.89517399240295,-6.56419513965562
