"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13209693","2020-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209692","2020-10-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209691","2020-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209690","2020-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209689","2020-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209688","2020-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209687","2020-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209686","2020-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209685","2020-10-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209684","2020-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209683","2020-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209682","2020-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209681","2020-10-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13209680","2020-10-21",NA,0.00425531914893608,NA,NA,NA,NA,NA,NA,NA,NA,15.2964285714286,NA,NA
"13209679","2020-10-22",NA,0.0811965811965813,NA,NA,NA,NA,NA,NA,52.8901734104046,NA,15.2569047619048,NA,NA
"13209678","2020-10-23",NA,0.101495726495727,0.0623158756137481,NA,NA,NA,NA,NA,53.5765144046445,NA,15.2353174603175,NA,NA
"13209677","2020-10-26",NA,0.19017094017094,0.124287749287749,NA,NA,NA,NA,NA,56.5542421398775,NA,15.2719417989418,NA,NA
"13209676","2020-10-27",NA,0.348290598290598,0.213319088319088,0.133307571073529,NA,NA,NA,NA,61.3187304594569,NA,15.4023495590829,NA,NA
"13209675","2020-10-28",NA,0.638888888888889,0.392450142450142,0.24335232668566,NA,NA,NA,NA,68.2172021558497,NA,15.6967029512052,NA,NA
"13209674","2020-10-29",NA,0.386752136752137,0.457977207977208,0.354582146248813,17.4929793225483,14.470854010785,15.9819166666667,0.821434939473077,58.4732107709994,NA,15.7944758910445,NA,NA
"13209673","2020-10-30",NA,0.346153846153846,0.457264957264957,0.435897435897436,17.5524793225483,14.530354010785,16.0414166666667,0.687037247529028,57.0599234918306,NA,15.8538791055719,NA,NA
"13209672","2020-11-02",NA,0.409722222222223,0.380876068376068,0.432039411206078,17.6558723691992,14.5414609641341,16.0986666666667,0.773888028605571,58.7414567100446,NA,15.9450285581623,NA,NA
"13209671","2020-11-03",NA,0.609929078014184,0.455268382130084,0.431136469257037,17.8637963561961,14.5168703104706,16.1903333333333,0.913214986260693,62.2835279801184,NA,16.1123580837407,NA,NA
"13209670","2020-11-04",NA,0.389720812182741,0.469790704139716,0.435311718215289,18.5010748744952,14.2023251255048,16.3517,1.18445482333348,64.7021705803198,NA,16.3228436725752,NA,NA
"13209669","2020-11-05",NA,0.564720812182741,0.521456900793222,0.482171995687674,19.1141187523357,14.0319479143309,16.5730333333333,1.11790524169645,70.4362932423445,15.87134,16.6891311828985,NA,NA
"13209668","2020-11-06",NA,0.684010152284264,0.546150592216582,0.512466065716507,19.8435560456343,13.7775106210324,16.8105333333333,1.10986464949024,73.5862028300086,16.08774,17.1319136918454,7.99521562998402,NA
"13209667","2020-11-09",NA,0.65255076142132,0.633760575296109,0.567122689435304,20.3551746998842,13.6993653001158,17.02727,0.971888012114048,71.4248682257426,16.262224,17.4826051995994,8.47596458232913,NA
"13209666","2020-11-10",46.4157185223837,0.562666666666667,0.633075860124084,0.604329009212258,20.6852124933642,13.8216275066358,17.25342,0.8695707133961,66.8040790044582,16.410224,17.7142578396528,8.48474194975493,NA
"13209665","2020-11-11",46.8034811668176,0.712356515867657,0.642524647985215,0.636453694468469,21.1807673069413,13.7367393597253,17.4587533333333,0.931833413683276,71.0786144455428,16.615824,18.0683567943657,8.88365025383679,NA
"13209664","2020-11-12",48.0682230853045,0.614537444933921,0.629853542489415,0.635151350199571,21.9775201341798,13.4503198658202,17.71392,1.03273601225512,73.3890013405148,16.859424,18.471242555117,9.37249963517472,NA
