"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13244169","2015-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244168","2015-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244167","2015-05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244166","2015-05-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244165","2015-05-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244164","2015-05-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244163","2015-05-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244162","2015-05-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244161","2015-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244160","2015-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244159","2015-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244158","2015-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244157","2015-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13244156","2015-05-22",NA,0.0862068965517241,NA,NA,NA,NA,NA,NA,NA,NA,1935.35714285714,NA,NA
"13244155","2015-05-26",NA,0.0646551724137931,NA,NA,NA,NA,NA,NA,14.6739130434783,NA,1895.30952380952,NA,NA
"13244154","2015-05-27",NA,0.204301075268817,0.118387714744778,NA,NA,NA,NA,NA,24.7973470891673,NA,1875.93492063492,NA,NA
"13244153","2015-05-28",NA,0.130952380952381,0.133302876211664,NA,NA,NA,NA,NA,22.7731792388984,NA,1848.47693121693,NA,NA
"13244152","2015-05-29",NA,0.475,0.270084485407066,0.173925025454503,NA,NA,NA,NA,35.2285742114685,NA,1848.01334038801,NA,NA
"13244151","2015-06-01",NA,0.744642857142857,0.450198412698413,0.284528591439047,NA,NA,NA,NA,42.7314247055775,NA,1865.21156166961,NA,NA
"13244150","2015-06-02",NA,0.6875,0.635714285714286,0.451999061273255,2427.96615789191,1508.00050877475,1967.98333333333,0.607268497935803,43.9497382396395,NA,1883.18335344699,NA,NA
"13244149","2015-06-03",NA,0.682080924855491,0.704741260666116,0.596884653026272,2387.40615836199,1529.89384163801,1958.65,0.830043850271325,51.2357861586989,NA,1918.75890632073,NA,NA
"13244148","2015-06-04",NA,0.913294797687861,0.760958574181117,0.700471373520506,2374.91200088957,1537.55466577709,1956.23333333333,1.00010509146662,58.906130120355,NA,1976.2577188113,NA,NA
