"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13382722","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382721","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382720","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382719","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382718","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382717","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382716","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382715","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382714","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382713","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382712","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382711","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382710","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13382709","2001-08-21",NA,0.381443298969072,NA,NA,NA,NA,NA,NA,NA,NA,2.80625,NA,NA
"13382708","2001-08-22",NA,0.432126696832579,NA,NA,NA,NA,NA,NA,38.6880856760375,NA,2.81058333333333,NA,NA
"13382707","2001-08-23",NA,0.61128526645768,0.474951754086444,NA,NA,NA,NA,NA,39.0396232210505,NA,2.81500555555556,NA,NA
"13382706","2001-08-24",NA,0.711598746081505,0.585003569790588,NA,NA,NA,NA,NA,41.9091434446838,NA,2.82417148148148,NA,NA
"13382705","2001-08-27",NA,0.697674418604651,0.673519477047946,0.577824933641659,NA,NA,NA,NA,43.0813239500835,NA,2.83428195061728,NA,NA
"13382704","2001-08-28",NA,0.858757062146893,0.756010075611016,0.671511040816517,NA,NA,NA,NA,48.5820815821999,NA,2.85371102386831,NA,NA
