"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13477532","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477531","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477530","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477529","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477528","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477527","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477526","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477525","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477524","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477523","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477522","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477521","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477520","2020-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13477519","2020-03-02",NA,0.172549019607843,NA,NA,NA,NA,NA,NA,NA,NA,11.17475,NA,NA
"13477518","2020-03-03",NA,0,NA,NA,NA,NA,NA,NA,35.6162309478147,NA,11.01945,NA,NA
"13477517","2020-03-04",NA,0.269090909090909,0.147213309566251,NA,NA,NA,NA,NA,46.3960411400793,NA,10.9835233333333,NA,NA
"13477516","2020-03-05",NA,0.178181818181818,0.149090909090909,NA,NA,NA,NA,NA,43.7320803587373,NA,10.9190535555556,NA,NA
"13477515","2020-03-06",NA,0.105454545454546,0.184242424242424,0.160182214299861,NA,NA,NA,NA,41.6707260750824,NA,10.8365130814815,NA,NA
"13477514","2020-03-09",NA,0,0.0945454545454547,0.142626262626263,NA,NA,NA,NA,35.2322878601901,NA,10.6689780039506,NA,NA
"13477513","2020-03-10",NA,0,0.0351515151515153,0.104646464646465,12.3150895825778,9.6805804174222,10.997835,-0.149520736524848,30.4475046083992,NA,10.4331142700905,NA,NA
"13477512","2020-03-11",NA,0,-4.62592926927149e-18,0.0432323232323233,12.4376483161008,9.33611835056587,10.8868833333333,-0.0831154366061626,27.8152226264095,NA,10.1700323674118,NA,NA
"13477511","2020-03-12",NA,0,-4.62592926927149e-18,0.0117171717171718,12.8037307164254,8.57836928357464,10.69105,-0.251269065091949,20.4566179921864,NA,9.71536138509023,NA,NA
