"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13508736","2015-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508735","2015-02-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508734","2015-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508733","2015-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508732","2015-02-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508731","2015-02-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508730","2015-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508729","2015-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508728","2015-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508727","2015-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508726","2015-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508725","2015-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508724","2015-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13508723","2015-02-20",NA,0.485263157894737,NA,NA,NA,NA,NA,NA,NA,NA,23.5178571428571,NA,NA
"13508722","2015-02-23",NA,0.0854700854700854,NA,NA,NA,NA,NA,NA,61.2101566720691,NA,23.3354761904762,NA,NA
"13508721","2015-02-24",NA,0,0.190244414454941,NA,NA,NA,NA,NA,59.6823210016613,NA,23.118746031746,NA,NA
"13508720","2015-02-25",NA,0,0.0284900284900285,NA,NA,NA,NA,NA,57.3691511641494,NA,22.8429132275132,NA,NA
"13508719","2015-02-26",NA,0.00775193798449623,0.00258397932816541,0.0737728074243782,NA,NA,NA,NA,57.5035283192564,NA,22.6105247971781,NA,NA
"13508718","2015-02-27",NA,0.178294573643411,0.062015503875969,0.0310298372313876,NA,NA,NA,NA,60.4566559678351,NA,22.5557881575544,NA,NA
"13508717","2015-03-02",NA,0.269811320754717,0.151952610794208,0.0721840313327807,26.9447216815961,20.3151783184039,23.62995,0.363748785723546,61.1958484938534,NA,22.5456830698805,NA,NA
"13508716","2015-03-03",NA,0.0857142857142856,0.177940060037471,0.130636058235883,26.7097664638823,20.741466869451,23.7256166666667,0.196348464975807,57.1678546660768,NA,22.4062586605631,NA,NA
"13508715","2015-03-04",NA,0.0952380952380952,0.150254567235699,0.160049079355793,26.7328588900147,20.6183744433186,23.6756166666667,0.241768907294683,57.3222014047153,NA,22.2920908391547,NA,NA
"13508714","2015-03-05",NA,0.103092783505155,0.0946817214858452,0.140958782919672,26.6604141386743,20.4521525279924,23.5562833333333,0.268649676285858,57.3222014047153,NA,22.193145393934,NA,NA
"13508713","2015-03-06",NA,0.14639175257732,0.114907543773523,0.119947944165023,26.4418813830772,20.3583519502561,23.4001166666667,0.306562399947551,58.0583938303047,NA,22.1353926747428,NA,NA
"13508712","2015-03-09",NA,0.249484536082475,0.166323024054983,0.125304096438117,26.4241934482516,20.3163732184151,23.3702833333333,0.402810389905244,59.8349268756279,22.7424,22.1520069847771,NA,NA
"13508711","2015-03-10",NA,0.460591133004926,0.285489140554907,0.188906569461138,26.212563488893,20.3310031777737,23.2717833333333,0.487228445736642,62.1160171765035,22.9392,22.2544060534735,-2.5029285673465,NA
