"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13530629","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530628","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530627","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530626","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530625","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530624","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530623","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530622","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530621","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530620","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530619","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530618","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530617","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13530616","2001-08-17",NA,0.601351351351352,NA,NA,NA,NA,NA,NA,NA,NA,13.4696428571429,NA,NA
"13530615","2001-08-20",NA,0.601351351351352,NA,NA,NA,NA,NA,NA,56.1837455830389,NA,13.4923571428571,NA,NA
"13530614","2001-08-21",NA,0.445945945945946,0.54954954954955,NA,NA,NA,NA,NA,51.6620844788803,NA,13.4967095238095,NA,NA
"13530613","2001-08-22",NA,0.363636363636364,0.47031122031122,NA,NA,NA,NA,NA,51.2756416372484,NA,13.4991482539683,NA,NA
"13530612","2001-08-23",NA,0.359999999999999,0.38986076986077,0.46990717990718,NA,NA,NA,NA,52.048202865765,NA,13.5039284867725,NA,NA
"13530611","2001-08-24",NA,0.0467289719626175,0.25678844519966,0.372320145123884,NA,NA,NA,NA,47.5797582048874,NA,13.4934046885362,NA,NA
"13530610","2001-08-27",NA,0,0.135576323987539,0.260741846349323,13.8081333630682,13.3316999702652,13.5699166666667,0.437207032255527,45.477426622095,NA,13.4769507300647,NA,NA
"13530609","2001-08-28",NA,0,0.0155763239875392,0.135980364391579,13.8163592387652,13.3016407612349,13.559,0.0874767613703224,43.0561229794903,NA,13.454023966056,NA,NA
"13530608","2001-08-29",NA,0,6.93889390390723e-18,0.0503842159916927,13.8360383356051,13.2601283310616,13.5480833333333,-0.0117987145120343,41.0638578321482,NA,13.4268207705819,NA,NA
"13530607","2001-08-30",NA,0,6.93889390390723e-18,0.00519210799584636,13.8544774847648,13.2286891819019,13.5415833333333,-0.0591614050084654,35.7234807568338,NA,13.3812446678377,NA,NA
"13530606","2001-08-31",NA,0,6.93889390390723e-18,-2.54426109809932e-17,13.8856945473411,13.1733054526589,13.5295,-0.0818449539641988,35.7234807568338,NA,13.3417453787926,NA,NA
"13530605","2001-09-04",NA,0,6.93889390390723e-18,-2.54426109809932e-17,13.9625873694675,13.0420792971992,13.5023333333333,-0.205045419537435,27.1585587595384,13.402,13.2615126616203,NA,NA
"13530604","2001-09-05",NA,0,6.93889390390723e-18,-2.54426109809932e-17,14.0403667657496,12.8881332342504,13.46425,-0.156044669766838,25.0063546390212,13.3684,13.1766443067376,-1.7180862048079,NA
"13530603","2001-09-06",NA,0,6.93889390390723e-18,-2.54426109809932e-17,14.0972701288471,12.7313965378195,13.4143333333333,-0.0937591921590987,23.9403823500456,13.3336,13.0950917325059,-1.94394563389251,NA
"13530602","2001-09-07",25.6634199953056,0,6.93889390390723e-18,-2.54426109809932e-17,14.1117819060638,12.6075514272696,13.3596666666667,0.00384376340278807,23.2294506294391,13.3068,13.0190795015051,-2.1259857179394,NA
"13530601","2001-09-10",27.0162060871434,0,6.93889390390723e-18,-2.54426109809932e-17,14.1189991167273,12.4836675499393,13.3013333333333,0.0262938217549317,20.2363254181827,13.2694,12.9285355679711,-2.36108740094767,NA
"13530600","2001-09-17",29.7111290052368,0,6.93889390390723e-18,-2.54426109809932e-17,14.2193332058069,12.2045001275264,13.2119166666667,-0.161882787070099,12.8276915277311,13.1998,12.7473974922416,-3.00291031628985,NA
"13530599","2001-09-18",32.3697115897099,0,6.93889390390723e-18,-2.54426109809932e-17,14.3376943765472,11.8716389567861,13.1046666666667,-0.152053472567842,12.0271108508584,13.1214,12.5730778266094,-3.56684761975317,NA
"13530598","2001-09-19",34.9147160806517,0,6.93889390390723e-18,-2.54426109809932e-17,14.3812616107468,11.5970717225866,12.9891666666667,-0.0564155926485243,11.6360739378687,13.038,12.4133341163948,-4.02234516578038,NA
"13530597","2001-09-20",37.5429629997948,0,6.93889390390723e-18,-2.54426109809932e-17,14.426565647542,11.3136010191246,12.8700833333333,-0.0268557562014912,10.2794382566934,12.9376,12.2422229008755,-4.5045696062658,NA
"13530596","2001-09-21",40.3113365314209,0,6.93889390390723e-18,-2.54426109809932e-17,14.4664191752131,10.9894141581202,12.7279166666667,-0.0400960474416588,8.60390011432492,12.8238,12.0432598474254,-5.09649140833345,-3.14914100822335
"13530595","2001-09-24",42.824329930145,0.0489642184557442,0.0163214061519147,0.00544046871730488,14.4340248943705,10.7464751056295,12.59025,0.0524806186919609,13.7815152087182,12.717,11.8881585344354,-5.43272789251712,-3.6058583850821
"13530594","2001-09-25",41.117200897383,0.0941619585687383,0.0477087256748275,0.0213433772755807,14.333604047824,10.619395952176,12.4765,0.194461563781789,18.3780609180998,12.617,11.7697373965107,-5.56488795802456,-3.99766429967059
"13530593","2001-09-26",38.2923528239565,0.48041237113402,0.207846182719501,0.090625438182081,14.1987004311505,10.6094662355161,12.4040833333333,0.418065158943645,43.2305708292635,12.5472,11.7891057436426,-4.98865739975751,-4.19586291968798
"13530592","2001-09-27",35.6692796129177,0.523605150214593,0.366059826639117,0.207204911677815,14.0474748564866,10.6171918101801,12.3323333333333,0.442959031652694,44.3278759790325,12.488,11.8132249778236,-4.44258162308806,-4.24520666036799
"13530591","2001-09-28",34.4243675378774,0.589583333333333,0.531200284893982,0.368368764750867,13.9197867942492,10.6470465390841,12.2834166666667,0.564140949265794,48.1542109232705,12.429,11.8601283141138,-3.83215342672784,-4.16259601363996
"13530590","2001-10-01",33.9530960194519,0.706713780918728,0.606634088155551,0.501298066562883,13.8292956917033,10.6862043082967,12.25775,0.744637069964316,57.5747462000913,12.3934,11.9787778722319,-2.91893274042041,-3.91386335899605
