"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13813512","2017-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813511","2017-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813510","2017-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813509","2017-07-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813508","2017-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813507","2017-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813506","2017-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813505","2017-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813504","2017-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813503","2017-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813502","2017-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813501","2017-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813500","2017-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13813499","2017-08-04",NA,0.0681290322580644,NA,NA,NA,NA,NA,NA,NA,NA,29.7902142857143,NA,NA
"13813498","2017-08-07",NA,0.072,NA,NA,NA,NA,NA,NA,11.0366868050083,NA,28.8248523809524,NA,NA
"13813497","2017-08-08",NA,0.0967741935483871,0.0789677419354838,NA,NA,NA,NA,NA,13.005407256657,NA,28.1162053968254,NA,NA
"13813496","2017-08-09",NA,0.598591549295774,0.255788580948054,NA,NA,NA,NA,NA,12.8933805931655,NA,27.455378010582,NA,NA
"13813495","2017-08-10",NA,0.101827676240209,0.26573113969479,0.200162487526109,NA,NA,NA,NA,12.508799693176,NA,26.7279942758377,NA,NA
"13813494","2017-08-11",NA,0.076510067114094,0.258976430883359,0.260165383842068,NA,NA,NA,NA,12.508799693176,NA,26.0975950390594,NA,NA
"13813493","2017-08-14",NA,0.266853932584269,0.148397225312857,0.224368265297002,53.4850195426363,2.8208471240304,28.1529333333333,0.40756913397023,14.6220745059297,NA,25.6619157005181,NA,NA
"13813492","2017-08-15",NA,0.0702247191011235,0.137862906266496,0.181745520820904,47.7105153580813,5.02468464191871,26.3676,0.408066292705865,14.3081821826784,NA,25.1909936071157,NA,NA
"13813491","2017-08-16",NA,0.00561797752808976,0.114232209737828,0.133497447105727,40.2026501049239,8.94454989507609,24.5736,0.425664068372653,14.2003162759277,NA,24.7521944595003,NA,NA
"13813490","2017-08-17",NA,0,0.0252808988764044,0.0924586716269092,24.1982924081417,21.233574258525,22.7159333333333,0.0415190928546077,13.6741961819543,NA,24.2265685315669,NA,NA
"13813489","2017-08-18",NA,0.0482233502538074,0.0179471092606324,0.0524867392916214,24.0773725325895,21.4378274674105,22.7576,0.132158834436313,14.2704473129082,NA,23.7963593940247,NA,NA
"13813488","2017-08-21",NA,0.398477157360406,0.148900169204738,0.0640427257805915,24.0826206112939,21.4422460553728,22.7624333333333,0.528114698032843,18.6646308799996,26.45332,23.6075114748214,NA,NA
"13813487","2017-08-22",NA,0.50507614213198,0.317258883248731,0.161368720571367,24.1269268470043,21.5332731529957,22.8301,0.704306381080894,20.008467715768,25.03932,23.4998432781785,-12.668280995302,NA
"13813486","2017-08-23",NA,0.534259259259259,0.479270852917215,0.315143301790228,24.407159248008,21.4177074186587,22.9124333333333,1.04220642864575,22.93064948351,23.66192,23.5258641744214,-11.5984252267446,NA
"13813485","2017-08-24",58.4762849136542,0.74645390070922,0.595263100700153,0.463930945622033,24.9153360761128,21.1741972572206,23.0447666666667,1.15538867139018,27.1723226014041,22.32232,23.7250822844985,-10.1814062897816,NA
"13813484","2017-08-25",56.7332976435229,0.741100323624596,0.673937827864358,0.582823927160576,25.4466319789762,20.9902346876905,23.2184333333333,1.10697012030084,28.3580730172323,22.54752,23.9470713132321,-8.82967684199196,NA
"13813483","2017-08-28",55.2225448114469,0.661812297734628,0.716455507356148,0.66188547864022,25.6913054459048,20.8878945540952,23.2896,0.934496801059709,27.7145215993227,22.67912,24.0741284714678,-7.8300004224063,NA
"13813482","2017-08-29",53.8518673918556,0.63915857605178,0.680690399137001,0.690361244785836,25.917716349481,20.8794836505191,23.3986,0.837036172826344,27.5223414385059,22.80092,24.1655780086054,-7.00210223284752,NA
"13813481","2017-08-30",52.8011569241329,0.485436893203884,0.59546925566343,0.664205054052193,25.9865807671751,20.900619232825,23.4436,0.650033904407844,26.1949500559275,22.87332,24.118167607458,-6.5849533180054,NA
"13813480","2017-08-31",51.5331931604754,0.618122977346278,0.580906148867314,0.619021934555915,26.1524784703477,20.9658548629857,23.5591666666667,0.765587037787887,29.3618047771143,22.97212,24.1864119264636,-5.91425825089189,NA
"13813479","2017-09-01",50.1227007763274,0.677993527508091,0.593851132686084,0.590075512405609,26.361351944813,21.0196480551871,23.6905,0.806300517676439,30.8045581690314,23.09692,24.2948903362685,-5.199468187349,-8.42317464059115
