"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13834453","2001-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834452","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834451","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834450","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834449","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834448","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834447","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834446","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834445","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834444","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834443","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834442","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834441","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13834440","2001-08-13",NA,0.420138888888888,NA,NA,NA,NA,NA,NA,NA,NA,7.87071428571429,NA,NA
"13834439","2001-08-14",NA,0.566176470588236,NA,NA,NA,NA,NA,NA,84.2741935483871,NA,7.94261904761905,NA,NA
"13834438","2001-08-15",NA,0.444444444444444,0.476919934640523,NA,NA,NA,NA,NA,73.9923747276689,NA,7.98360317460318,NA,NA
"13834437","2001-08-16",NA,0.62962962962963,0.546750181554103,NA,NA,NA,NA,NA,78.4222052280312,NA,8.05245608465609,NA,NA
"13834436","2001-08-17",NA,0.48,0.518024691358024,0.513898269184217,NA,NA,NA,NA,70.6469321488447,NA,8.09212860670194,NA,NA
"13834435","2001-08-20",NA,0.439130434782609,0.516253354804079,0.527009409238736,NA,NA,NA,NA,70.7510321117857,NA,8.12717812580835,NA,NA
"13834434","2001-08-21",NA,0.555555555555556,0.491561996779388,0.508613347647164,8.68883861741684,7.47449471591649,8.08166666666667,0.844493296187737,73.6675885817992,NA,8.1768877090339,NA,NA
"13834433","2001-08-22",NA,0.570776255707762,0.521820748681975,0.509878700088481,8.72711751385662,7.52838248614338,8.12775,0.84390419105916,74.2399166480795,NA,8.22396934782938,NA,NA
"13834432","2001-08-23",NA,0.488584474885844,0.538305428716387,0.517229391392583,8.74060261795909,7.59689738204091,8.16875,0.754654775420504,69.3688419000528,NA,8.25277343478546,NA,NA
"13834431","2001-08-24",NA,0.109589041095891,0.389649923896499,0.48325870043162,8.7308666592255,7.64830000744116,8.18958333333333,0.494226683419726,52.321467318666,NA,8.22240364348074,NA,NA
"13834430","2001-08-27",NA,0.0639269406392689,0.220700152207001,0.382885168273295,8.70263037501638,7.71070295831695,8.20666666666667,0.316854879088685,50.7046987494299,NA,8.18941649101664,NA,NA
"13834429","2001-08-28",NA,0.0731707317073181,0.0822289044808255,0.230859660194775,8.68250297349237,7.75999702650763,8.22125,0.341464436648867,53.0483590344735,8.063,8.17082762554775,NA,NA
"13834428","2001-08-29",NA,0,0.0456992241155287,0.116209426934452,8.67642952485689,7.77340380847644,8.22491666666667,0.20294312206832,48.2702094546322,8.0768,8.13538394214139,1.07013157078386,NA
"13834427","2001-08-30",NA,0.004566210045662,0.0259123139176597,0.0512801475046714,8.67432970743544,7.7780036258979,8.22616666666667,0.177014865501407,48.4426601594799,8.0876,8.10533274985587,0.761054545694684,NA
"13834426","2001-08-31",32.5245279540966,0,0.00152207001522037,0.0243778693494696,8.68332010384659,7.75684656282007,8.22008333333333,0.132927095838567,46.4418773362774,8.0916,8.07128838320842,0.450419334053054,NA
"13834425","2001-09-04",31.1277866927027,0,0.00152207001522037,0.00965215131603353,8.69392655979038,7.72874010687629,8.21133333333333,0.142901466731069,45.7633717770969,8.0988,8.03911659878063,0.18130531123961,NA
"13834424","2001-09-05",30.3262572395664,0,-3.00974523081976e-16,0.00101471334348018,8.71071758704278,7.68728241295722,8.199,0.0987370015559656,42.2716708047119,8.0978,7.99723438560988,-0.137115871008309,NA
"13834423","2001-09-06",30.600598330659,0,-3.00974523081976e-16,0.00050735667173996,8.75460463941506,7.60239536058494,8.1785,-0.039687836887327,35.0111653852021,8.0822,7.92560313419523,-0.653059925893928,NA
"13834422","2001-09-07",31.8694512452174,0,-3.00974523081976e-16,-2.63099727189816e-16,8.85031737477812,7.42084929188855,8.13558333333333,-0.149833793272896,27.6715495955938,8.0504,7.81285604963587,-1.44210983960135,NA
"13834421","2001-09-10",33.047671808736,0.00337837837837831,0.0011261261261258,0.000375375375375104,8.93554319499511,7.23729013833823,8.08641666666667,-0.0896745851516502,27.8857690096448,8.0148,7.71580857635108,-2.05012052242676,NA
"13834420","2001-09-17",34.9772802817445,0,0.0011261261261258,0.000750750750750471,9.01174397389649,6.99275602610351,8.00225,-0.115283514375576,21.7200339843359,7.9604,7.57236743283761,-2.98141108156665,-0.533434053191754
"13834419","2001-09-18",36.4640164438574,0.126344086021506,0.0432408214666276,0.0151643579062931,8.99688323989179,6.84461676010821,7.92075,0.0412200691960984,30.4639286315847,7.9154,7.47938510845926,-3.44525775663649,-1.1157987938807
"13834418","2001-09-19",37.8892808073192,0.112903225806452,0.0797491039426521,0.0413720171784685,8.98985678180035,6.70497655153298,7.84741666666667,0.0853539042806613,30.07900499214,7.8732,7.39546709399802,-3.80624666845023,-1.65388836879461
"13834417","2001-09-20",39.2127405733909,0.158249158249158,0.132498823359038,0.085162916256106,8.94038001801065,6.59361998198935,7.767,0.127003477178102,31.0176712550055,7.8268,7.32607148146495,-4.02682703191931,-2.12847610141955
"13834416","2001-09-21",39.6251416008724,0.158249158249158,0.143133847434922,0.118460591578871,8.88714709703445,6.50251956963222,7.69483333333334,0.179963995258391,31.0176712550055,7.7804,7.26592861726963,-4.16007883354755,-2.53479664784515
"13834415","2001-09-24",39.5225491031292,0.200704225352113,0.172400847283476,0.149344506025812,8.80458173133343,6.44208493533325,7.62333333333334,0.231922035024301,33.1008362096851,7.7308,7.22047146830034,-4.1666771106763,-2.86117274041138
"13834414","2001-09-25",39.5003609281671,0.192592592592593,0.183848658731288,0.166461117816562,8.6893691802578,6.40279748640888,7.54608333333334,0.241498009914404,32.5712040951334,7.6704,7.17774193919363,-4.15552023887995,-3.12004224010509
"13834413","2001-09-26",39.54080311009,0.184615384615385,0.192637400853363,0.182962302289376,8.54247575542711,6.3885242445729,7.4655,0.250613389410218,32.1283120043399,7.6156,7.13804301396781,-4.12487340035943,-3.32100847215596
"13834412","2001-09-27",39.8796338172204,0.107692307692308,0.161633428300095,0.179373162628249,8.39312700692211,6.37320632641123,7.38316666666667,0.217893212921008,29.9364223075926,7.5468,7.09030394543877,-4.16936238088246,-3.49067925390126
"13834411","2001-09-28",40.3395654625565,0.0705882352941182,0.120965309200603,0.15841204611802,8.28625356429345,6.33791310237322,7.31208333333334,0.217494617894352,28.8756616153498,7.482,7.04226341938027,-4.21728119619623,-3.63599964236026
"13834410","2001-10-01",40.7666448475115,0.103603603603604,0.0939613821966763,0.125520039899125,8.19293188262335,6.30573478404332,7.24933333333334,0.246007805070282,30.2072876746679,7.418,7.00396163012957,-4.1821199462055,-3.7452237031293
"13834409","2001-10-02",41.2270826360413,0.115853658536586,0.0966818324781023,0.103869507958461,8.06992327113956,6.29607672886045,7.183,0.25495813402878,29.7277738802072,7.3474,6.96810007944562,-4.13262776761729,-3.8227045160269
"13834408","2001-10-03",41.950658616518,0,0.0731524207133962,0.087931878462725,7.95541882857434,6.28508117142567,7.12025,0.249401965799013,27.4951110375055,7.2718,6.92435340218621,-4.15888965483024,-3.88994154378757
"13834407","2001-10-04",42.1619468901391,0.0208333333333347,0.0455623306233066,0.0717988612716017,7.82174467375577,6.29758865957757,7.05966666666667,0.280424927925034,28.1071897760729,7.2002,6.88777294856138,-4.12398252007117,-3.93674973904429
"13834406","2001-10-05",42.1260174799406,0.479166666666667,0.166666666666667,0.0951271393344566,7.67497077424121,6.34436255909213,7.00966666666667,0.402550829620316,40.0897241976373,7.154,6.88540322208653,-3.7963987680131,-3.90867954483805
"13834405","2001-10-08",42.0926544561848,0.541666666666668,0.347222222222223,0.186483739837399,7.49873510730386,6.42393155936281,6.96133333333334,0.442935308084134,41.5210742829859,7.111,6.88734945914166,-3.46169568414476,-3.81928277269939
"13834404","2001-10-09",42.4543637067836,0.333333333333333,0.451388888888889,0.32175925925926,7.29591214551737,6.52792118781597,6.91191666666667,0.354273457852111,38.2413231661727,7.061,6.87570286458944,-3.27592721325258,-3.71061166081003
"13834403","2001-10-10",41.0167960168222,0.4375,0.4375,0.412037037037037,7.12409007927221,6.63407658739446,6.87908333333334,0.542685899497399,40.7609436286738,7.0188,6.87227581597751,-3.03541229971485,-3.57557178859099
"13834402","2001-10-11",40.1226949357116,0.239583333333334,0.336805555555555,0.408564814814814,7.05419282853413,6.6626405047992,6.85841666666667,0.333781261435201,37.6204400041206,6.9726,6.85663904051385,-2.92296424374515,-3.44505027962183
"13834401","2001-10-12",39.2924582175374,0.270588235294118,0.315890522875816,0.363398692810457,7.01253409120342,6.67129924212991,6.84191666666667,0.245287836507157,37.6204400041206,6.9288,6.84308716844533,-2.80224993956674,-3.31649021161081
