"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"13913631","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913630","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913629","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913628","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913627","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913626","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913625","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913624","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913623","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913622","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913621","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913620","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913619","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13913618","2001-08-21",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14.0296528571429,NA,NA
"13913617","2001-08-22",NA,1,NA,NA,NA,NA,NA,NA,66.6666666666667,NA,14.0432818095238,NA,NA
"13913616","2001-08-23",NA,1,1,NA,NA,NA,NA,NA,66.6666666666667,NA,14.055093568254,NA,NA
"13913615","2001-08-24",NA,1,1,NA,NA,NA,NA,NA,66.6666666666667,NA,14.0653304258201,NA,NA
"13913614","2001-08-27",NA,1,1,1,NA,NA,NA,NA,66.6666666666667,NA,14.0742023690441,NA,NA
"13913613","2001-08-28",NA,1,1,1,NA,NA,NA,NA,66.6666666666667,NA,14.0818913865049,NA,NA
