"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14116412","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116411","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116410","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116409","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116408","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116407","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116406","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116405","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116404","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116403","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116402","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116401","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116400","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14116399","2001-08-22",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4.60464285714286,NA,NA
"14116398","2001-08-23",NA,0,NA,NA,NA,NA,NA,NA,27.8761061946903,NA,4.54869047619048,NA,NA
"14116397","2001-08-24",NA,0,0,NA,NA,NA,NA,NA,22.0873786407767,NA,4.46353174603175,NA,NA
"14116396","2001-08-27",NA,0.0570175438596491,0.0190058479532164,NA,NA,NA,NA,NA,25.9989754098361,NA,4.39839417989418,NA,NA
"14116395","2001-08-28",NA,0.0789473684210525,0.0453216374269005,0.0214424951267056,NA,NA,NA,NA,27.5064736835854,NA,4.34527495590829,NA,NA
"14116394","2001-08-29",NA,0.0350877192982457,0.0570175438596491,0.040448343079922,NA,NA,NA,NA,26.3503095537577,NA,4.29257162845385,NA,NA
"14116393","2001-08-30",NA,0.0438596491228069,0.0526315789473684,0.0516569200779727,5.05164048309427,3.91519285023906,4.48341666666667,0.0922234749150934,27.0110884133722,NA,4.24822874466,NA,NA
"14116392","2001-08-31",NA,0.0921052631578944,0.057017543859649,0.0555555555555555,5.03967201486595,3.86066131846739,4.45016666666667,0.153523075534585,30.6940976616484,NA,4.21713157870534,NA,NA
"14116391","2001-09-04",NA,0.131578947368421,0.0891812865497073,0.0662768031189082,5.01643244541358,3.82106755458642,4.41875,0.218008002476898,33.6443446280697,NA,4.19618070154463,NA,NA
"14116390","2001-09-05",NA,0.0963302752293574,0.106671495251891,0.084290108553749,4.98646239719829,3.78387093613505,4.38516666666667,0.221296319225202,32.1695945725456,NA,4.17202327467201,NA,NA
"14116389","2001-09-06",NA,0.0866666666666666,0.104858629754815,0.100237137185471,4.96281234906468,3.74068765093532,4.35175,0.203999108639477,30.8741079649488,NA,4.14575350471574,NA,NA
"14116388","2001-09-07",NA,0.0800000000000001,0.0876656472986747,0.0997319241017934,4.93342289673949,3.71174376992718,4.32258333333333,0.274149643215557,30.7076408361875,4.3392,4.12231970408698,NA,NA
"14116387","2001-09-10",NA,0.0533333333333334,0.0733333333333334,0.0886192034622743,4.89892025988646,3.67941307344688,4.28916666666667,0.243748947546293,30.0106075269627,4.3098,4.09934374354205,-5.95997125167356,NA
"14116386","2001-09-17",NA,0,0.0444444444444445,0.0684811416921508,4.87894893408958,3.62571773257709,4.25233333333333,0.164334349353115,24.3547438318934,4.2726,4.05409791106977,-6.14330489390561,NA
"14116385","2001-09-18",25.1638566477939,0,0.0177777777777778,0.0451851851851852,4.83271600586955,3.55311732746379,4.19291666666667,0.031428608475629,19.2215874975085,4.2256,3.98155152292714,-6.72693246688463,NA
"14116384","2001-09-19",26.4021760209172,0,6.93889390390723e-18,0.0207407407407408,4.74480249408228,3.50453083925106,4.12466666666667,0.0138161888557724,17.4762240041093,4.1766,3.90401131987019,-7.35645903362284,NA
"14116383","2001-09-20",27.6010520290318,0,6.93889390390723e-18,0.00592592592592594,4.67090144943159,3.44743188390175,4.05916666666667,0.00754802818566233,17.2462521828997,4.1272,3.83480981055416,-7.82566848349764,NA
"14116382","2001-09-21",27.5496706819534,0,6.93889390390723e-18,5.78241158658936e-18,4.60927225892126,3.39906107441208,4.00416666666667,0.0834060425816169,17.0848418220499,4.0772,3.77350183581361,-8.15005217761782,NA
"14116381","2001-09-24",27.5019594310949,0.0786516853932583,0.0262172284644194,0.00873907615480648,4.54887120667325,3.35846212666009,3.95366666666667,0.121698674099196,22.5492722668327,4.035,3.72970159103846,-8.18236773463584,NA
"14116380","2001-09-25",27.4576561267263,0.109090909090909,0.0625808648280557,0.0295993644308251,4.46684724249424,3.33448609083909,3.90066666666667,0.125561156544228,24.0886122107056,3.9866,3.69440804556666,-8.08398147554945,NA
"14116379","2001-09-26",25.7080892557485,0.145454545454546,0.111065713312904,0.0666212688684598,4.37431244932998,3.33785421733669,3.85608333333333,0.232020074300691,26.4500018039848,3.9342,3.66782030615778,-7.85881281540698,-7.36528337031049
"14116378","2001-09-27",24.0834914469833,0.151515151515151,0.135353535353535,0.103000037831498,4.3207833641492,3.3202166358508,3.8205,0.226321767865474,26.8583764238815,3.8882,3.64544426533674,-7.58813890681453,-7.4098544776113
"14116377","2001-09-28",22.8089230916251,0.109090909090909,0.135353535353535,0.127257594673325,4.29459877034438,3.29590122965562,3.79525,0.264443196848408,25.7793531406871,3.8438,3.62138502995851,-7.37157182479651,-7.40219794704834
"14116376","2001-10-01",21.6253953330781,0.272727272727273,0.177777777777778,0.149494949494949,4.26680110703903,3.28419889296097,3.7755,0.360404683908262,36.3938743697348,3.8086,3.61853369263071,-6.82493470258512,-7.28674529815569
"14116375","2001-10-02",21.1031891821732,0.321212121212121,0.234343434343434,0.182491582491582,4.23500932391813,3.28165734274854,3.75833333333334,0.43706416812981,39.1697877663836,3.7752,3.62139586694661,-6.23112963434941,-7.07562216539444
"14116374","2001-10-03",20.6182834706186,0.419847328244275,0.337928907394556,0.250016706505256,4.19731028746676,3.28218971253324,3.73975,0.438350564710266,39.8762319484869,3.7462,3.62520975135373,-5.67259631018478,-6.79501699435251
"14116373","2001-10-04",20.2583586011364,0.616666666666667,0.452575372041021,0.341615904593004,4.16560748210353,3.28705918456314,3.72633333333334,0.528835447526625,46.2611480369929,3.7286,3.64118178450657,-4.9617586572318,-6.42836532692836
"14116372","2001-10-05",19.0974653878394,0.602272727272728,0.54626224072789,0.445588840054489,4.12327643518921,3.29339023147746,3.70833333333334,0.467867080393192,41.0697806564422,3.7178,3.64102421323902,-4.57696508283763,-6.05808527811022
"14116371","2001-10-08",18.0194931183493,0.625,0.614646464646465,0.537828025805125,4.06660199329162,3.31073134004171,3.68866666666667,0.499559007441416,41.7403269786954,3.7048,3.64222098480716,-4.20153182049694,-5.68677458658756
"14116370","2001-10-09",17.0152980500961,0.454545454545455,0.560606060606061,0.573838255326805,4.00741412687751,3.32658587312249,3.667,0.426070439856559,38.2270865341805,3.6878,3.63325818683287,-4.02369689827518,-5.35415904892508
"14116369","2001-10-10",16.7155939581572,0.5,0.526515151515152,0.567255892255893,3.96042976485202,3.34540356848131,3.65291666666667,0.590104563014844,41.7472427561374,3.6748,3.63215709525515,-3.72983859194518,-5.0292949575291
"14116368","2001-10-11",16.4372973013569,0.720930232558139,0.558491895701198,0.54853770260747,3.8991009253279,3.38156574133877,3.64033333333334,0.798852467332756,49.7630163083248,3.6666,3.64853614922113,-3.17274148517958,-4.6579842630592
"14116367","2001-10-12",16.136007508243,0.695121951219512,0.638684061259217,0.574563702825189,3.84742176115151,3.4125782388485,3.63,0.821954893701837,49.4809970727295,3.656,3.66206466265831,-2.71091958144304,-4.26857132673597
"14116366","2001-10-15",15.8562384146374,0.695121951219512,0.703724711665722,0.633633556208712,3.83073765897187,3.42109567436146,3.62591666666667,0.802906777124763,49.4809970727295,3.6436,3.67378937430387,-2.31811879644839,-3.87848082067845
"14116365","2001-10-16",16.4343557322962,0.804878048780488,0.731707317073171,0.69137202999937,3.8584250689445,3.41624159772217,3.63733333333334,0.916870700353816,52.3024940024198,3.6348,3.68995079106336,-1.8867334316475,-3.48013134287226
"14116364","2001-10-17",17.3221814754761,0.723404255319149,0.74113475177305,0.725522260170647,3.88613793131864,3.42119540201469,3.65366666666667,0.918689739908485,52.9316037039419,3.628,3.70529068558824,-1.50604378885841,-3.08531383206949
"14116363","2001-10-18",18.6268307058429,0.499999999999999,0.676094101366545,0.716312056737589,3.90766861815415,3.44149804851252,3.67458333333334,0.929921320045442,52.5583303754071,3.6212,3.71791859417648,-1.20163137953041,-2.70857734156168
"14116362","2001-10-19",20.0845332871978,0.63,0.617801418439716,0.67834342385977,3.94525513654967,3.44907819678367,3.69716666666667,1.01292186235019,58.2636913948743,3.6188,3.74086278161961,-0.757906348053372,-2.31844314286001
"14116361","2001-10-22",21.6754276769783,0.909090909090909,0.67969696969697,0.657864163167744,4.01241248782174,3.44075417884493,3.72658333333334,1.13863907442679,67.0386018494455,3.6314,3.785414410737,-0.0131156867503424,-1.85737765163808
"14116360","2001-10-23",20.8458008360424,0.454545454545455,0.664545454545455,0.65401461422738,4.02010395518902,3.47622937814432,3.74816666666667,0.794491916752157,51.332344138598,3.644,3.7906924893054,0.0422225565725132,-1.47745760999596
"14116359","2001-10-24",19.7091855578442,0.363636363636363,0.575757575757576,0.64,4.01980182866478,3.4978648380019,3.75883333333334,0.562906699315621,48.8664564226077,3.659,3.78860015739801,-0.0198402928220154,-1.18593414656117
"14116358","2001-10-25",20.2249188037149,0.363636363636363,0.393939393939394,0.544747474747475,4.02395488385004,3.52821178281663,3.77608333333334,0.733151672897492,48.8664564226077,3.6746,3.78678680307828,-0.0682886429904439,-0.962405045847027
"14116357","2001-10-26",20.8099864900037,0.347826086956521,0.35836627140975,0.442687747035573,4.02549884964458,3.56066781702209,3.79308333333334,0.730011894996467,48.8664564226077,3.6906,3.78521522933451,-0.105507812717698,-0.791025599221161
"14116356","2001-10-29",21.3532636272718,0.523809523809523,0.411757324800803,0.388020996716649,4.04544229152554,3.57522437514114,3.81033333333334,0.867914522122481,55.5358487490812,3.7088,3.80051986542324,0.128979725336076,-0.607024534309714
"14116355","2001-10-30",21.8577352547351,0.624999999999999,0.498878536922015,0.423000711044189,4.07525861861014,3.57890804805653,3.82708333333334,0.915532916120063,60.0275960259356,3.7302,3.82711721670014,0.51879600389626,-0.381860426668519
"14116354","2001-10-31",22.4528637896107,0.5625,0.570436507936508,0.493690789886442,4.09739581190868,3.59093752142466,3.84416666666667,0.85705474020478,58.4382188610303,3.7494,3.84683492114012,0.764125999266163,-0.152663141481583
"14116353","2001-11-01",22.4458007638463,0.4125,0.533333333333333,0.534216126063952,4.11241881833027,3.5992478483364,3.85583333333334,0.751702988320262,54.6952069195089,3.766,3.85592359832144,0.82253242923922,0.0423759726625779
"14116352","2001-11-02",23.099053997813,0.578947368421052,0.517982456140351,0.540584099136731,4.14494799276145,3.61021867390522,3.87758333333334,0.947110949227029,60.7818586290003,3.7894,3.88180045187858,1.13594122357157,0.261089022844376
"14116351","2001-11-05",24.0544523229332,0.59090909090909,0.527452153110048,0.526255980861244,4.18412871263368,3.61970462069965,3.90191666666667,0.983826500739178,62.7765331422217,3.8094,3.91089372496144,1.46774067131756,0.502419352539013
"14116350","2001-11-06",23.8739067241417,0.372727272727273,0.514194577352472,0.51987639553429,4.17719916895559,3.66780083104442,3.9225,0.707761442189442,55.4829564988841,3.823,3.92010789496658,1.46479128005113,0.694893738041436
"14116349","2001-11-07",23.9436884552864,0.372727272727273,0.445454545454545,0.495700425305688,4.17903340921201,3.699466590788,3.93925,0.717036144567664,55.4829564988841,3.8362,3.92809350897103,1.44539332993467,0.844993656420084
"14116348","2001-11-08",24.0355557033465,0.372727272727273,0.372727272727273,0.444125465178097,4.18615580908615,3.71734419091385,3.95175,0.698907186565765,55.4829564988841,3.8456,3.93501437444156,1.41341213268453,0.958677351672974
