"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14183907","2001-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183906","2001-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183905","2001-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183904","2001-07-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183903","2001-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183902","2001-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183901","2001-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183900","2001-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183899","2001-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183898","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183897","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183896","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183895","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14183894","2001-08-01",NA,0.744,NA,NA,NA,NA,NA,NA,NA,NA,85.2571428571429,NA,NA
"14183893","2001-08-02",NA,0.36,NA,NA,NA,NA,NA,NA,49.4331065759637,NA,85.1561904761905,NA,NA
"14183892","2001-08-03",NA,0.36,0.488,NA,NA,NA,NA,NA,49.4331065759637,NA,85.0686984126984,NA,NA
"14183891","2001-08-06",NA,0.36,0.36,NA,NA,NA,NA,NA,49.4331065759637,NA,84.992871957672,NA,NA
"14183890","2001-08-07",NA,0.36,0.36,0.402666666666667,NA,NA,NA,NA,49.4331065759637,NA,84.927155696649,NA,NA
"14183889","2001-08-08",NA,0.36,0.36,0.36,NA,NA,NA,NA,49.4331065759637,NA,84.8702016037625,NA,NA
"14183888","2001-08-09",NA,0.0239999999999998,0.248,0.322666666666666,90.1534349019755,80.5265650980245,85.34,0.104578981103039,43.4403403432687,NA,84.2608413899275,NA,NA
"14183887","2001-08-10",NA,0.278350515463918,0.220783505154639,0.27626116838488,90.0329175033467,80.2804158299867,85.1566666666667,0.278860159280173,47.8197423137272,NA,84.0927292046038,NA,NA
"14183886","2001-08-13",NA,0.22680412371134,0.176384879725086,0.215056128293241,89.2384254392862,80.3415745607138,84.79,0.261338774549178,47.092546911086,NA,83.8803653106567,NA,NA
"14183885","2001-08-14",NA,0.244444444444445,0.249866361206568,0.215678248695431,89.2150217124863,80.1316449541803,84.6733333333333,0.279083624949088,47.092546911086,NA,83.6963166025691,NA,NA
"14183884","2001-08-15",NA,0.3,0.257082856051928,0.227778032327861,89.1695926819776,79.9770739846891,84.5733333333333,0.328846327634078,48.0094795349358,NA,83.6034743888932,NA,NA
"14183883","2001-08-16",NA,0.3,0.281481481481482,0.262810232913326,89.1149135240299,79.8317531426368,84.4733333333333,0.341289682306208,48.0094795349358,84.416,83.5230111370408,NA,NA
"14183882","2001-08-17",NA,0.400000000000001,0.333333333333334,0.290632556955581,89.059716029614,79.7769506370527,84.4183333333333,0.44416175445426,49.8247929396698,84.372,83.5732763187687,-1.06462073159915,NA
"14183881","2001-08-20",NA,0.400000000000001,0.366666666666667,0.327160493827161,89.0507280257123,79.7592719742877,84.405,0.445648992234908,49.8247929396698,84.128,83.6168394762662,-0.948142768598914,NA
"14183880","2001-08-21",19.7349350843187,0.857142857142859,0.552380952380953,0.417460317460318,88.2332247542603,80.0467752457398,84.14,0.470683261437059,49.8247929396698,84.084,83.6545942127641,-0.846057963800162,NA
"14183879","2001-08-22",19.8074817251339,0.857142857142859,0.704761904761906,0.541269841269842,86.9214200765432,80.7485799234568,83.835,0.510529998896456,49.8247929396698,84.04,83.6873149843955,-0.756418170441853,NA
"14183878","2001-08-23",19.8748464630337,0.857142857142859,0.857142857142859,0.704761904761906,86.9300270889513,80.8799729110488,83.905,0.499173561119788,49.8247929396698,83.996,83.7156729864761,-0.677554142758585,NA
"14183877","2001-08-24",19.8649589548018,0.880952380952381,0.865079365079366,0.80899470899471,86.9355522138661,81.0244477861339,83.98,0.503383462472115,50.1051837556316,83.956,83.753583254946,-0.598511898195742,NA
"14183876","2001-08-27",20.5406867538347,0.523809523809524,0.753968253968255,0.825396825396826,86.952099895111,80.9245667715557,83.9383333333334,0.261372803126964,45.9566124247793,84.056,83.5864388209532,-0.672707954375218,NA
"14183875","2001-08-28",21.1681482815082,0.594594594594595,0.666452166452167,0.761833261833262,86.8347264927817,80.781940173885,83.8083333333334,0.283846105842398,45.9566124247793,83.804,83.4415803114928,-0.723481422452232,NA
"14183874","2001-08-29",21.7507911286335,0,0.372801372801373,0.597740597740598,85.2024965961844,81.7341700704823,83.4683333333334,0.220806756181257,45.9566124247793,83.504,83.3160362699604,-0.755261872851465,-0.782528547230369
"14183873","2001-08-30",22.2918166295356,0,0.198198198198198,0.412483912483913,85.0835560270058,81.6531106396609,83.3683333333334,0.24687446226758,45.9566124247793,83.504,83.2072314339657,-0.771749314848846,-0.780372700754065
"14183872","2001-08-31",22.7941974518019,0,-7.40148683083438e-17,0.19033319033319,84.9406537438874,81.5960129227793,83.2683333333334,0.270279269306168,45.9566124247793,83.504,83.1129339094369,-0.776027281513525,-0.779503616905957
"14183871","2001-09-04",23.2606939296205,0,-7.40148683083438e-17,0.0660660660660661,84.7718676242739,81.5647990423928,83.1683333333334,0.29160616111884,45.9566124247793,83.504,83.0312093881787,-0.770659017246678,-0.777734696974101
"14183870","2001-09-05",23.6938692304522,0,-7.40148683083438e-17,-3.70074341541719e-17,84.5736535281387,81.563013138528,83.0683333333334,0.311225101711056,45.9566124247793,83.484,82.9603814697549,-0.757769214460369,-0.773741600471355
"14183869","2001-09-06",24.0961034383672,0,-7.40148683083438e-17,-3.70074341541719e-17,84.3397032890913,81.5969633775754,82.9683333333334,0.329246174102409,45.9566124247793,83.212,82.8989972737876,-0.739113404576841,-0.766815961292452
"14183868","2001-09-07",24.4696066314312,0,-7.40148683083438e-17,-3.70074341541719e-17,84.2427716105167,81.7905617228167,83.0166666666667,0.289305691467013,45.9566124247793,83.132,82.8457976372826,-0.716136812315393,-0.75668013149704
