"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14426648","2016-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426647","2016-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426646","2016-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426645","2016-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426644","2016-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426643","2016-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426642","2016-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426641","2016-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426640","2016-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426639","2016-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426638","2016-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426637","2016-01-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426636","2016-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14426635","2016-02-02",NA,0.303360655737705,NA,NA,NA,NA,NA,NA,NA,NA,24.8307214285714,NA,NA
"14426634","2016-02-03",NA,0.295081967213117,NA,NA,NA,NA,NA,NA,56.6666666666667,NA,24.8546252380952,NA,NA
"14426633","2016-02-04",NA,0.311475409836067,0.303306010928963,NA,NA,NA,NA,NA,57.6794657762938,NA,24.8780085396825,NA,NA
"14426632","2016-02-05",NA,0.344262295081968,0.316939890710384,NA,NA,NA,NA,NA,59.7077882381709,NA,24.9036074010582,NA,NA
"14426631","2016-02-08",NA,0.213114754098362,0.289617486338799,0.303287795992715,NA,NA,NA,NA,49.4901737618784,NA,24.9044597475838,NA,NA
"14426630","2016-02-09",NA,0.153846153846156,0.237074401008828,0.281210592686004,NA,NA,NA,NA,43.9248981460045,NA,24.8905317812393,NA,NA
"14426629","2016-02-10",NA,0.333333333333331,0.233431413759283,0.253374433702303,25.1827703745667,24.6991296254334,24.94095,0.608310421376191,51.8726281049523,NA,24.898460877074,NA,NA
"14426628","2016-02-11",NA,0,0.162393162393162,0.210966325720424,25.1883274402496,24.6733958930837,24.9308616666667,0.125914678575174,38.4634524925375,NA,24.8596527601308,NA,NA
"14426627","2016-02-12",NA,0.124697010503637,0.152676781278989,0.182833785810478,25.1907932816007,24.6625967183993,24.926695,0.228582734810394,42.7696923705082,NA,24.8383657254467,NA,NA
"14426626","2016-02-16",NA,0.24602747104767,0.123574827183769,0.14621492361864,25.1901520974063,24.6659112359271,24.9280316666667,0.338563391590885,46.6795201553771,NA,24.8319302953872,NA,NA
"14426625","2016-02-17",NA,0.491650956100189,0.287458479217165,0.187903362559975,25.1976048003749,24.6749585329584,24.9362816666667,0.637859334618065,53.5916571285416,NA,24.8506729226689,NA,NA
"14426624","2016-02-18",NA,0.555615405332614,0.431097944160158,0.280710416853697,25.1985677654411,24.6746622345589,24.936615,0.741872486285773,55.219674344534,24.859604,24.873249866313,NA,NA
"14426623","2016-02-19",NA,0.610164597170086,0.552476986200963,0.423677803192762,25.2094300139262,24.6997999860738,24.954615,0.785275576505262,55.5730208413287,24.865204,24.894149884138,0.152327211011793,NA
"14426622","2016-02-22",NA,0.691271400505195,0.619017134335965,0.534197354899029,25.2380988725491,24.7024644607842,24.9702816666667,0.879086298801536,58.0673218724349,24.877204,24.9215965662529,0.203768283444572,NA
