"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14425385","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425384","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425383","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425382","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425381","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425380","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425379","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425378","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425377","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425376","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425375","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425374","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425373","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14425372","2001-08-22",NA,0.948051948051948,NA,NA,NA,NA,NA,NA,NA,NA,32.5364285714286,NA,NA
"14425371","2001-08-23",NA,0.933760683760683,NA,NA,NA,NA,NA,NA,99.3197278911565,NA,32.8035714285714,NA,NA
"14425370","2001-08-24",NA,0.871264367816092,0.917692333209574,NA,NA,NA,NA,NA,93.6051290481671,NA,33.0017619047619,NA,NA
"14425369","2001-08-27",NA,0.844444444444444,0.88315649867374,NA,NA,NA,NA,NA,92.0088003878137,NA,33.1641936507937,NA,NA
"14425368","2001-08-28",NA,0.779220779220779,0.831643197160438,0.877497343014584,NA,NA,NA,NA,86.987799112482,NA,33.2756344973545,NA,NA
"14425367","2001-08-29",NA,0.333333333333333,0.652332852332852,0.789044182722343,NA,NA,NA,NA,70.8911972399072,NA,33.2588832310406,NA,NA
"14425366","2001-08-30",NA,0.118918918918918,0.41049101049101,0.631489019994767,36.1246486604703,30.1190180061963,33.1218333333333,0.555198199670185,71.3611936813472,NA,33.2536988002352,NA,NA
"14425365","2001-08-31",NA,0,0.150750750750751,0.404524871191538,35.9562577995271,30.5650755338063,33.2606666666667,0.452267736342442,65.653232294291,NA,33.2025389602038,NA,NA
"14425364","2001-09-04",NA,0,0.0396396396396395,0.2002938002938,35.732225127017,31.0571082063163,33.3946666666667,0.412729455344006,65.0132069962658,NA,33.1528670988433,NA,NA
"14425363","2001-09-05",NA,0,1.43403807347416e-16,0.0634634634634634,35.4836306998054,31.5193693001946,33.5015,0.302863655742599,59.9759636380035,NA,33.0671514856642,NA,NA
"14425362","2001-09-06",NA,0,1.43403807347416e-16,0.0132132132132133,35.2470902739479,31.9102430593854,33.5786666666667,0.163754458069448,56.1680364286127,NA,32.9581979542423,NA,NA
"14425361","2001-09-07",NA,0,1.43403807347416e-16,1.48029736616688e-16,35.087594153312,32.156405846688,33.622,0.0148725188393536,51.4339052895483,32.8516,32.8171048936767,NA,NA
"14425360","2001-09-10",NA,0.118644067796611,0.0395480225988703,0.0131826741996235,35.1228377817904,32.0818288848763,33.6023333333333,0.0958578084900959,55.4753465722444,32.934,32.7414909078531,-0.247411321547863,NA
"14425359","2001-09-17",NA,0,0.0395480225988703,0.0263653483992469,35.2319721238387,31.8360278761613,33.534,0.0011696669759583,47.9812225738917,32.9928,32.5946254534727,-0.499479704784489,NA
"14425358","2001-09-18",40.5543653929085,0.11214953271028,0.0769312001689637,0.0520090817889015,35.2561655127242,31.6935011539425,33.4748333333333,0.170237436081379,52.0942869633921,33.0528,32.5153420596763,-0.604053767193746,NA
"14425357","2001-09-19",39.0066482621701,0.353697749196142,0.155282427302141,0.0905872166899916,35.2148412831847,31.650825383482,33.4328333333333,0.386036797226255,59.2303160917124,33.1304,32.5452964517195,-0.497779555931122,NA
"14425356","2001-09-20",37.5694823550558,0.475884244372989,0.313910508759804,0.182041378743636,35.1567018287251,31.6332981712749,33.395,0.46546899575091,62.3331938258613,33.2152,32.6219235914902,-0.315862938805633,NA
"14425355","2001-09-21",35.4766585487804,0.391143911439115,0.406908635002749,0.292033857021565,35.095607004231,31.5777263291023,33.3366666666667,0.348393569144068,57.1555070122794,33.2312,32.6323337792915,-0.272521585482488,NA
"14425354","2001-09-24",34.482653490524,0.310344827586208,0.392457661132771,0.371092268298441,34.9969181621654,31.5467485045012,33.2718333333333,0.387396841735888,54.2660261713166,33.2092,32.6080226087193,-0.296578936571135,NA
"14425353","2001-09-25",33.5596487935717,0.355263157894738,0.352250632306687,0.383872309480736,34.8542712772124,31.5150620561209,33.1846666666667,0.332894567828961,54.2660261713166,33.1752,32.5869529275568,-0.312093608564723,NA
"14425352","2001-09-26",33.0262407450067,0.360189573459715,0.341932519646887,0.362213604362115,34.6307560809232,31.5439105857435,33.0873333333333,0.369122053361311,53.6370617504676,33.1272,32.5620258705492,-0.332977621151076,-0.375417671114697
"14425351","2001-09-27",32.5309332713393,0.559241706161137,0.42489814583853,0.373027099264035,34.3686302680652,31.6297030652681,32.9991666666667,0.456491480845141,58.0368347278812,33.0832,32.5964224211426,-0.242717991751251,-0.348877735242008
"14425350","2001-09-28",32.6743406765472,0.635071090047392,0.518167456556081,0.428332707347166,34.1379177491047,31.7320822508953,32.935,0.59352260375552,59.6093523085415,33.0452,32.6475660983236,-0.130174028968499,-0.305136993987306
"14425349","2001-10-01",33.1462596572832,0.796380090497736,0.663564295568755,0.535543299321122,33.9358319353455,31.8495013979878,32.8926666666667,0.815066726754546,63.4782950687797,33.0212,32.7478906185471,0.0617285379808097,-0.231763887593683
"14425348","2001-10-02",32.7249029769144,0.615384615384615,0.682278598643248,0.621336783589362,33.7521871183179,31.949812881682,32.851,0.739868793364623,57.799800546685,32.9712,32.7815052027408,0.113709109731741,-0.162669288128598
"14425347","2001-10-03",31.4036530012815,0.393665158371039,0.60180995475113,0.649217616321044,33.6633607721135,31.9676392278865,32.8155,0.494790811402143,51.6986978661002,32.8896,32.7453045090421,0.0338909520560149,-0.123357240091676
"14425346","2001-10-04",30.7960207505922,0.601769911504425,0.536939895086693,0.607009482827024,33.6350059607549,31.9806607059117,32.8078333333333,0.797499367333285,56.6289243574817,32.828,32.7792639078365,0.0902301063841815,-0.0806397707965043
"14425345","2001-10-05",29.9721595166348,0.452631578947368,0.482688882940944,0.540479577592923,33.6423685645694,31.9802981020973,32.8113333333333,0.657634712796904,54.9045444123017,32.7708,32.7900287201249,0.0992517030829587,-0.0446614760206117
"14425344","2001-10-08",29.2071455136744,0.566666666666668,0.54035605237282,0.519994943466819,33.6875998551174,31.9697334782159,32.8286666666667,0.793775274638605,58.6792581010539,32.732,32.8513582241083,0.199917883770517,0.00425439593761414
"14425343","2001-10-09",28.8670104390774,0.613333333333335,0.54421052631579,0.522418487209852,33.767914413683,31.9647522529837,32.8663333333333,0.836630843986104,59.3371688272395,32.7048,32.9138437942272,0.293274289802925,0.0620583747106763
