"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14473459","2015-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473458","2015-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473457","2015-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473456","2015-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473455","2015-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473454","2015-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473453","2015-10-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473452","2015-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473451","2015-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473450","2015-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473449","2015-10-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473448","2015-10-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473447","2015-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473446","2015-10-23",NA,0.711764705882353,NA,NA,NA,NA,NA,NA,NA,NA,17.76,NA,NA
"14473445","2015-10-26",NA,0.63921568627451,NA,NA,NA,NA,NA,NA,62.8654970760234,NA,17.8933333333333,NA,NA
"14473444","2015-10-27",NA,0.405882352941176,0.58562091503268,NA,NA,NA,NA,NA,52.9456336427354,NA,17.8502222222222,NA,NA
"14473443","2015-10-28",NA,0.383795309168444,0.47629778279471,NA,NA,NA,NA,NA,53.8679123987486,NA,17.8315259259259,NA,NA
"14473442","2015-10-29",NA,0.209722222222222,0.33313329477728,0.465017330868223,NA,NA,NA,NA,54.1787960849676,NA,17.8213224691358,NA,NA
"14473441","2015-10-30",NA,0,0.197839177130222,0.335756751567404,NA,NA,NA,NA,50.0985745681884,NA,17.7451461399177,NA,NA
"14473440","2015-11-02",NA,0,0.0699074074074072,0.20029329310497,20.2404979596071,15.8724687070596,18.0564833333333,0.313001099708689,45.8970463001037,NA,17.6031266545953,NA,NA
"14473439","2015-11-03",NA,0.0586734693877552,0.0195578231292516,0.09576813588896,20.2338637946317,15.8957695387016,18.0648166666667,0.292962082653632,47.799416109751,NA,17.510709767316,NA,NA
"14473438","2015-11-04",NA,0.0978593272171255,0.0521775988682934,0.0472142764683173,20.1667934102309,16.0558399231025,18.1113166666667,0.293725875034001,48.5616017508945,NA,17.4426151316738,NA,NA
"14473437","2015-11-05",NA,0.179245283018868,0.111926026541249,0.0612204828462647,19.9655679711472,16.4283986955195,18.1969833333333,0.277510412420484,50.7143254383985,NA,17.4169331141173,NA,NA
"14473436","2015-11-06",NA,0.195283018867924,0.157462543034639,0.107188722814727,19.8019754668231,16.7317245331769,18.26685,0.266734593096337,51.1633412629219,NA,17.4014753655683,NA,NA
"14473435","2015-11-09",NA,0.257861635220126,0.210796645702306,0.160061738426065,19.7956073369855,16.7527593296812,18.2741833333333,0.288295921522536,52.9640299288338,17.61304,17.4146119834926,NA,NA
"14473434","2015-11-10",NA,0.0750853242320815,0.176076659440044,0.181445282725663,19.8009892391938,16.6133774274729,18.2071833333333,0.16834627433426,47.3010348113521,17.60904,17.3459970523602,-1.40163821609495,NA
"14473433","2015-11-11",NA,0.130136986301369,0.154361315251192,0.18041154013118,19.7016117800136,16.5169215533197,18.1092666666667,0.209778157096881,48.8709854675759,17.65144,17.3078641120455,-1.42759253309332,NA
"14473432","2015-11-12",8.68488622148996,0.133587786259542,0.112936698930998,0.147791557874078,19.5500562009465,16.4588104657201,18.0044333333333,0.234378929942992,48.5787611814876,17.71264,17.2708155637728,-1.44601442389397,NA
"14473431","2015-11-13",8.49797542570366,0.111538461538461,0.125087744699791,0.13079525296066,19.4125226667469,16.4000106665864,17.9062666666667,0.241212649125225,47.96107371941,17.75504,17.2307068219364,-1.47221459605423,NA
"14473430","2015-11-16",8.32441540104495,0.177777777777778,0.14096800852526,0.12633081738535,19.3679128733258,16.3139537933409,17.8409333333333,0.257385965585039,48.3149423320311,17.75504,17.1999459123449,-1.46258381752233,NA
"14473429","2015-11-17",7.74478708788992,0.226325193567599,0.171880477627946,0.145978743617666,19.2615994720023,16.2712671946644,17.7664333333333,0.317266683881767,49.0610108555915,17.71704,17.1812864573656,-1.41086118518263,NA
"14473428","2015-11-18",7.20656079710311,0.262060750446695,0.222054573930691,0.178301020027965,19.0290305955973,16.3098360710694,17.6694333333333,0.344525037523719,49.8407501639687,17.65384,17.1731149297168,-1.32655399185075,NA
"14473427","2015-11-19",7.69080551538135,0.294818344252532,0.261068096088942,0.218334382549193,18.7664371372045,16.4050961961289,17.5857666666667,0.450974183925365,50.5874270322556,17.59604,17.1733662724213,-1.21989033069194,NA
"14473426","2015-11-20",9.48624982309649,0,0.185626364899742,0.222916344973125,18.7650214553192,15.9811785446809,17.3731,-0.34048085390357,28.6593856334708,17.43164,16.8235841027651,-2.35538923915208,-1.50252648150402
"14473425","2015-11-23",11.874691714932,0,0.0982727814175104,0.181655747468731,18.9749254195087,15.2829412471579,17.1289333333333,-0.332145134769216,24.1499852623511,17.24884,16.3804395557297,-3.75396796482934,-1.95281477816909
"14473424","2015-11-24",14.0925306144936,0.0328947368421054,0.0109649122807017,0.0982880195326513,19.1822448166704,14.6492885166629,16.9157666666667,-0.170445466239102,25.9426808518612,17.06364,16.0163809482991,-4.77429576164724,-2.51711097486472
"14473423","2015-11-25",16.521292391366,0,0.0109649122807017,0.0400675353263045,19.3675668372529,14.0069664960805,16.6872666666667,-0.113849156917437,23.5454866114192,16.83164,15.6208634885259,-5.858191702669,-3.18532712042558
"14473422","2015-11-27",19.1986157919531,0,0.0109649122807017,0.0109649122807016,19.5709968899405,13.2688697767262,16.4199333333333,-0.106662893017508,20.8178596580228,16.56564,15.1727483567224,-7.09672353230858,-3.96760640280218
"14473421","2015-11-30",21.6847018067841,0.063793103448276,0.0212643678160919,0.0143980641258316,19.6637323892018,12.7061342774649,16.1849333333333,0.0130120176169757,25.1890696915406,16.30564,14.8337152424928,-7.83996651500103,-4.74207842524195
"14473420","2015-12-01",22.8707039697364,0.0793103448275864,0.0477011494252874,0.0266434765073602,19.6691058099937,12.2851275233397,15.9771166666667,0.108099696262157,26.2554928894215,16.06404,14.5518865434938,-8.31863012037856,-5.45738876426927
"14473419","2015-12-02",22.8662457839931,0.239655172413793,0.127586206896552,0.0655172413793102,19.5661138017326,12.0677861982674,15.81695,0.25279598802671,36.3520653470581,15.90724,14.4316350043613,-8.10733942623355,-5.98737889666213
"14473418","2015-12-03",21.3516400574164,0.396551724137931,0.238505747126437,0.137931034482759,19.4094156592407,12.0088176740926,15.7091166666667,0.418594416125692,44.3770051706773,15.78124,14.4487503371131,-7.35011605455492,-6.25992632824069
"14473417","2015-12-04",20.7346402446074,0.575862068965517,0.404022988505747,0.256704980842912,19.2679985509527,12.0209014490474,15.64445,0.565159423149237,51.8490424106531,15.69504,14.6022502921647,-6.10019756924322,-6.22798057644119
"14473416","2015-12-07",20.5699778393486,0.71551724137931,0.56264367816092,0.401724137931034,19.1704036025467,12.0474297307866,15.6089166666667,0.672832773992629,56.7249816299821,15.66144,14.8432835865427,-4.61535263840562,-5.90545498883408
"14473415","2015-12-08",20.1037430229342,0.663793103448276,0.651724137931035,0.539463601532567,19.0339900572696,12.0851766093971,15.5595833333333,0.655961878690499,54.5228034638525,15.63864,15.012179108337,-3.56635005380445,-5.43763400182815
"14473414","2015-12-09",20.0678762932375,0.876046901172529,0.751785748666705,0.65538452158622,19.1258805679369,12.0519527653964,15.5889166666667,0.803614916627882,61.8581743917692,15.66184,15.3425552272254,-1.9868696013535,-4.74748112173322
"14473413","2015-12-10",20.034571472805,0.879396984924623,0.806412329848476,0.736640738815405,19.2070536886939,12.0236129779728,15.6153333333333,0.792060599437926,61.9539541012285,15.68224,15.6315478635954,-0.736158710199675,-3.94521663942651
