"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14473653","2020-09-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473652","2020-09-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473651","2020-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473650","2020-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473649","2020-09-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473648","2020-09-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473647","2020-09-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473646","2020-09-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473645","2020-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473644","2020-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473643","2020-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473642","2020-09-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473641","2020-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14473640","2020-09-30",NA,0.505154639175258,NA,NA,NA,NA,NA,NA,NA,NA,22.19,NA,NA
"14473639","2020-10-01",NA,0.570652173913042,NA,NA,NA,NA,NA,NA,66.5706051873199,NA,22.2513333333333,NA,NA
"14473638","2020-10-02",NA,0.276470588235295,0.450759133774532,NA,NA,NA,NA,NA,58.5722644821533,NA,22.2458222222222,NA,NA
"14473637","2020-10-05",NA,0.382352941176471,0.409825234441603,NA,NA,NA,NA,NA,60.6548967639893,NA,22.2650459259259,NA,NA
"14473636","2020-10-06",NA,0.388235294117647,0.349019607843138,0.403201325353091,NA,NA,NA,NA,60.7728799186074,NA,22.2830398024691,NA,NA
"14473635","2020-10-07",NA,0.388235294117647,0.386274509803921,0.381706450696221,NA,NA,NA,NA,60.7728799186074,NA,22.2986344954733,NA,NA
"14473634","2020-10-08",NA,0.417647058823529,0.398039215686274,0.377777777777778,23.1371556596953,21.729977673638,22.4335666666667,0.576820417225878,61.4433326654003,NA,22.3188165627435,NA,NA
