"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14519211","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519210","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519209","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519208","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519207","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519206","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519205","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519204","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519203","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519202","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519201","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519200","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519199","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14519198","2021-01-29",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.96857142857143,NA,NA
"14519197","2021-02-01",NA,0,NA,NA,NA,NA,NA,NA,14.9732620320856,NA,3.85142857142857,NA,NA
"14519196","2021-02-02",NA,0.257861635220126,0.0859538784067086,NA,NA,NA,NA,NA,31.2146422628952,NA,3.80457142857143,NA,NA
"14519195","2021-02-03",NA,0.393333333333334,0.21706498951782,NA,NA,NA,NA,NA,36.9121686662128,NA,3.7879619047619,NA,NA
"14519194","2021-02-04",NA,0.322274881516588,0.324489950023349,0.209169605982626,NA,NA,NA,NA,39.6058125361987,NA,3.78556698412698,NA,NA
"14519193","2021-02-05",NA,0.255924170616114,0.323844128488678,0.288466356009949,NA,NA,NA,NA,36.9620591258208,NA,3.76482471957672,NA,NA
