"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14584110","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584109","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584108","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584107","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584106","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584105","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584104","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584103","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584102","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584101","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584100","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584099","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584098","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14584097","2001-08-22",NA,0.0699992080044347,NA,NA,NA,NA,NA,NA,NA,NA,23.4350614285714,NA,NA
"14584096","2001-08-23",NA,0.0699992080044347,NA,NA,NA,NA,NA,NA,52.070982808851,NA,23.4235172380952,NA,NA
"14584095","2001-08-24",NA,0,0.0466661386696231,NA,NA,NA,NA,NA,49.8474961823719,NA,23.4064416063492,NA,NA
"14584094","2001-08-27",NA,0,0.0233330693348116,NA,NA,NA,NA,NA,49.8474961823719,NA,23.3916427255026,NA,NA
"14584093","2001-08-28",NA,1,0.333333333333333,0.134444180445923,NA,NA,NA,NA,73.3846771334654,NA,23.5050796954356,NA,NA
"14584092","2001-08-29",NA,0.400002111999326,0.466667370666442,0.274444591111529,NA,NA,NA,NA,56.3091173080162,NA,23.5276344027109,NA,NA
"14584091","2001-08-30",NA,0.504007518717594,0.63466987690564,0.478223526968472,24.0045458092572,23.0073165240761,23.5059311666667,0.767540110682674,58.1279175448249,NA,23.5603138156828,NA,NA
"14584090","2001-08-31",NA,0.600008447997298,0.501339359571406,0.534225535714496,24.0538339534766,23.0173723798567,23.5356031666667,0.853041067139638,59.791764593792,NA,23.6007573069251,NA,NA
"14584089","2001-09-04",NA,0.400002111999326,0.501339359571406,0.545782865349484,24.0724193009012,23.0391913657655,23.5558053333333,0.67572889178238,54.8974279488983,NA,23.610554999335,NA,NA
"14584088","2001-09-05",NA,0.400002111999326,0.466670890665317,0.489783203269376,24.0794473347701,23.0412543318966,23.5603508333333,0.609699416535698,54.8974279488983,NA,23.619046332757,NA,NA
"14584087","2001-09-06",NA,0.400002111999326,0.400002111999326,0.45600412074535,24.0887417754958,23.0435762245042,23.566159,0.627572453193501,54.8974279488983,NA,23.6264054883894,NA,NA
"14584086","2001-09-07",NA,0.423079656800527,0.40769462693306,0.424789209865901,24.1247595043879,23.0393768289454,23.5820681666667,0.794315704400239,55.8011757012423,23.5327244,23.6378340899375,NA,NA
"14584085","2001-09-10",NA,0.423079656800527,0.415387141866794,0.40769462693306,24.1341544359439,23.0428608973894,23.5885076666667,0.613271387547181,55.8011757012423,23.5493912,23.6477388779458,0.525067333458007,NA
"14584084","2001-09-17",NA,0.38461694674316,0.410258753448072,0.411113507415975,24.1399648555992,23.0461414777342,23.5930531666667,0.574222982408549,54.5338693787283,23.5630276,23.6512723608864,0.489699468224214,NA
"14584083","2001-09-18",31.0151598192973,0.38461694674316,0.397437850095616,0.407694581803494,24.1423532122103,23.081632121123,23.6119926666667,0.558683978150685,54.5338693787283,23.566664,23.6543347127682,0.456404231163265,NA
"14584082","2001-09-19",31.3908407505213,0.38461694674316,0.38461694674316,0.397437850095616,24.1456727919552,23.1098782080448,23.6277755,0.544858797991185,54.5338693787283,23.5703004,23.6569887510658,0.425113129719268,NA
"14584081","2001-09-20",32.1602909196299,0.38461694674316,0.38461694674316,0.388890581193979,24.1471282529028,23.1518574137638,23.6494928333333,0.588298075804196,54.5338693787283,23.5739368,23.6592889175903,0.395749504009779,NA
"14584080","2001-09-21",32.8747803623736,0,0.256411297828774,0.341881730438365,24.1452943031858,23.1956106968142,23.6704525,0.570466451020471,54.5338693787283,23.5775732,23.661282395245,0.368231199662872,NA
"14584079","2001-09-24",33.5382348449213,0,0.128205648914387,0.256411297828774,24.1347872872188,23.2417237127812,23.6882555,0.484306268443625,54.5338693787283,23.5812096,23.663010075879,0.342472718344755,NA
"14584078","2001-09-25",34.9290218607304,0.625004125004123,0.208334708334708,0.197650551692623,24.1729465659447,23.228817100722,23.7008818333333,0.872987158687591,66.4275833792536,23.6115128,23.7150127324284,0.445917617946168,NA
"14584077","2001-09-26",36.2204669468389,0.625004125004123,0.416669416669416,0.251069924639503,24.2028485116551,23.2693701550116,23.7361093333333,0.83950510412071,66.4275833792536,23.641816,23.760081701438,0.521570517404379,0.441136191103634
"14584076","2001-09-27",37.4196659553682,0.625004125004123,0.625004125004124,0.416669416669416,24.2218010331711,23.3208726334956,23.7713368333333,0.812669871177493,66.4275833792536,23.6721192,23.7991414745796,0.574653290559124,0.467839610994732
"14584075","2001-09-28",36.4591514809235,0,0.416669416669416,0.486114319447651,24.1878629026174,23.3926897640492,23.7902763333333,0.354074128381319,50.0688077468605,23.6863616,23.7824879446356,0.482639704403454,0.470799629676476
"14584074","2001-10-01",35.5672451832248,0,0.208334708334708,0.416669416669416,24.1414243936276,23.4770072730391,23.8092158333333,0.296850759634586,50.0688077468605,23.700604,23.7680548853509,0.405046591863623,0.457649022113906
"14584073","2001-10-02",34.7390464782189,0,7.40148683083438e-17,0.208334708334708,24.0514445386187,23.510169128048,23.7808068333333,0.303119019907119,50.0688077468605,23.700604,23.7555462339708,0.339636369307539,0.434046491552632
"14584072","2001-10-03",33.9700048235706,0,7.40148683083438e-17,0.0694449027782358,24.0429717030347,23.4997026302986,23.7713371666667,0.321272419985841,50.0688077468605,23.7136344,23.7447054027747,0.284516989759753,0.404140591194057
"14584071","2001-10-04",33.2558947156829,0,7.40148683083438e-17,-9.25185853854297e-17,24.0413190189121,23.4915063144212,23.7664126666667,0.332356244383234,50.0688077468605,23.7266648,23.735310015738,0.23808871315627,0.370930215586499
"14584070","2001-10-05",32.5927924726443,0,7.40148683083438e-17,-9.25185853854297e-17,24.0254291166486,23.484668550018,23.7550488333333,0.350564485800378,50.0688077468605,23.7418164,23.727167346973,0.198999065476624,0.336543985564524
"14584069","2001-10-08",31.977054675537,0,7.40148683083438e-17,-9.25185853854297e-17,24.0244892471293,23.479295086204,23.7518921666667,0.35756970226009,50.0688077468605,23.756968,23.7201103673766,0.166104728142979,0.302456134080215
"14584068","2001-10-09",31.4052981496516,0,7.40148683083438e-17,-9.25185853854297e-17,24.0244892471293,23.479295086204,23.7518921666667,0.35756970226009,50.0688077468605,23.7342408,23.713994318393,0.138439292359593,0.269652765736091
"14584067","2001-10-10",33.0852100181492,0.25000659996304,0.0833355333210134,0.0277785111070044,24.0706461267053,23.468492206628,23.7695691666667,0.97075034673907,59.1655859735427,23.7418168,23.7339470759406,0.178885206402368,0.251499253869346
"14584066","2001-10-11",34.6451281817541,0.379999472002955,0.210002023988665,0.0977791857698927,24.0800794444609,23.4651195555391,23.7725995,0.808183514752976,62.9457168417148,23.7493924,23.7643701324819,0.241550908870436,0.249509584869564
"14584065","2001-10-12",36.0936236193872,0.379999472002955,0.336668514656317,0.210002023988665,24.1019132721843,23.4682857278157,23.7850995,0.779376270134198,62.9457168417148,23.7533316,23.7907367814843,0.287789317746068,0.257165531444865
"14584064","2001-10-15",37.4386550971893,0.379999472002955,0.379999472002955,0.308890003549312,24.1209767857827,23.4780102142173,23.7994935,0.752931500939545,62.9457168417148,23.7648468,23.8135878772864,0.320652814037747,0.269862987963441
"14584063","2001-10-16",38.6876128980056,0.379999472002955,0.379999472002955,0.365555819554076,24.1374219524802,23.4903530475198,23.8138875,0.729083021705517,62.9457168417148,23.776362,23.8333921603149,0.342680485178826,0.284426487406518
"14584062","2001-10-17",39.0594643357191,0.25000659996304,0.336668514656317,0.365555819554076,24.1410217815012,23.5056932184988,23.8233575,0.563404201142237,55.975914834683,23.783938,23.8374252056062,0.323043666056799,0.292149923136575
"14584061","2001-10-18",39.4047549564531,0.25000659996304,0.293337557309678,0.336668514656317,24.145260826217,23.5140808404496,23.8296708333333,0.553818510460815,55.975914834683,23.7899988,23.8409205115254,0.303973287842774,0.294514596077814
"14584060","2001-10-19",39.7253819614204,0.25000659996304,0.25000659996304,0.293337557309678,24.1489771794525,23.5229911538808,23.8359841666667,0.54417963373557,55.975914834683,23.7960596,23.8439497766553,0.285564799013716,0.292724636664995
"14584059","2001-10-22",40.0231070374614,0.25000659996304,0.25000659996304,0.264450252411919,24.1496360799786,23.5412722533547,23.8454541666667,0.529893022131626,55.975914834683,23.8036356,23.846575139768,0.267885284713354,0.287756766274667
"14584058","2001-10-23",40.2995660366424,0.25000659996304,0.25000659996304,0.25000659996304,24.1251499312734,23.5468194020599,23.8359846666667,0.547819252030414,55.975914834683,23.8112116,23.8488504544656,0.250978875016039,0.280401188022941
"14584057","2001-10-24",40.5562779644533,0.25000659996304,0.25000659996304,0.25000659996304,24.0985245280536,23.5545058052797,23.8265151666667,0.56824183025183,55.975914834683,23.8187876,23.8508223938702,0.234871237204892,0.271295197859331
"14584056","2001-10-25",38.9855957834709,0,0.166671066642027,0.222228088856035,24.0656693925582,23.5507446074418,23.808207,0.264353286459288,42.0177798570956,23.8187876,23.8272780746875,0.156198758374337,0.248275909962333
"14584055","2001-10-26",37.5271051868445,0.0500013199926052,0.100002639985215,0.172226768863427,24.0641278598668,23.5560741401332,23.810101,0.307144409745933,44.9731735306928,23.8203028,23.8119236647291,0.105434915505409,0.219707711070948
"14584054","2001-10-29",37.9978820991535,0.60999498402809,0.219998768006899,0.16222415821138,24.1160345823568,23.5503794176432,23.833207,1.03593252375505,65.9226340609113,23.8387876,23.8551818427653,0.206484433870879,0.217063055630934
"14584053","2001-10-30",38.4350320891548,1,0.553332101340232,0.291111169777448,24.1582768045557,23.5543491954443,23.856313,0.963709550242325,65.9226340609114,23.8421208,23.8926722637299,0.28310552734796,0.230271549974339
"14584052","2001-10-31",38.8409570798703,1,0.869998328009363,0.547776399118831,24.1926309718238,23.5662070281762,23.879419,0.910171103141166,65.9226340609113,23.845454,23.9251639618992,0.339755974461453,0.252168434871762
"14584051","2001-11-01",36.1381782444058,0,0.666666666666667,0.696665698672087,24.1872534469733,23.5882512196934,23.8877523333333,0.421793835593247,43.4284615095532,23.8303024,23.891707433646,0.226090621057784,0.246952872108966
"14584050","2001-11-02",33.6284550400459,1,0.666666666666667,0.734443887114232,24.2201583358851,23.6053463307815,23.9127523333333,0.925313208746788,59.5220767936182,23.8503024,23.9293784424932,0.30127419552255,0.257817136791683
