"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14633635","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633634","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633633","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633632","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633631","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633630","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633629","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633628","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633627","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633626","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633625","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633624","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633623","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14633622","2001-08-22",NA,0.679738562091505,NA,NA,NA,NA,NA,NA,NA,NA,6.12964285714286,NA,NA
"14633621","2001-08-23",NA,0.645714285714287,NA,NA,NA,NA,NA,NA,61.5079365079365,NA,6.15502380952381,NA,NA
"14633620","2001-08-24",NA,0.754285714285714,0.693246187363835,NA,NA,NA,NA,NA,64.3986448334274,NA,6.18335396825397,NA,NA
"14633619","2001-08-27",NA,0.657142857142858,0.685714285714287,NA,NA,NA,NA,NA,60.0530600672365,NA,6.20224010582011,NA,NA
"14633618","2001-08-28",NA,0.742857142857143,0.718095238095239,0.69901857039112,NA,NA,NA,NA,62.4601434105236,NA,6.22360809171076,NA,NA
"14633617","2001-08-29",NA,0.485714285714287,0.628571428571429,0.677460317460318,NA,NA,NA,NA,52.2820553957598,NA,6.22712701281599,NA,NA
"14633616","2001-08-30",NA,0.52,0.582857142857143,0.643174603174604,6.42478166349467,6.04296833650533,6.233875,0.699377535090922,53.3730525781493,NA,6.23217674444053,NA,NA
"14633615","2001-08-31",NA,0.582857142857145,0.52952380952381,0.580317460317461,6.43294317674834,6.04522348991833,6.23908333333334,0.697952290293812,55.3869171123564,NA,6.24021984518179,NA,NA
"14633614","2001-09-04",NA,0.422885572139304,0.508580904998816,0.54032061912659,6.44476653502477,6.0496501316419,6.24720833333333,0.751719069321842,51.672476127739,NA,6.24152386582422,NA,NA
"14633613","2001-09-05",NA,0.724299065420561,0.576680593472336,0.538261769331654,6.47507291640748,6.05642708359252,6.26575,0.997835283024982,62.7500718491422,NA,6.26598735038099,NA,NA
"14633612","2001-09-06",NA,0.461538461538461,0.536241033032775,0.540500843834642,6.47762747083193,6.08695586250141,6.28229166666667,0.792765068054893,56.3870032773026,NA,6.27652237033019,NA,NA
"14633611","2001-09-07",NA,0.396449704142011,0.527429077033678,0.546783567846263,6.47596308705958,6.10928691294042,6.292625,0.617837853624191,54.3468891824222,6.2134,6.28198605428617,NA,NA
"14633610","2001-09-10",NA,0.0451612903225808,0.301049818667684,0.454906642911379,6.47322811318329,6.11685522015004,6.29504166666667,0.294106113471557,46.7323610545688,6.2145,6.27138791371468,1.08849972927227,NA
