"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14646278","2001-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646277","2001-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646276","2001-05-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646275","2001-05-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646274","2001-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646273","2001-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646272","2001-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646271","2001-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646270","2001-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646269","2001-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646268","2001-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646267","2001-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646266","2001-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14646265","2001-05-29",NA,0.21875,NA,NA,NA,NA,NA,NA,NA,NA,42.9257142857143,NA,NA
"14646264","2001-05-30",NA,0.21875,NA,NA,NA,NA,NA,NA,29.8913043478261,NA,42.7622857142857,NA,NA
"14646263","2001-05-31",NA,0.2125,0.216666666666667,NA,NA,NA,NA,NA,29.7173732335827,NA,42.6126476190476,NA,NA
"14646262","2001-06-01",NA,0.2125,0.214583333333333,NA,NA,NA,NA,NA,29.7173732335827,NA,42.4829612698413,NA,NA
"14646261","2001-06-04",NA,0.145454545454546,0.190151515151515,0.207133838383838,NA,NA,NA,NA,26.4985548435766,NA,42.2265664338624,NA,NA
"14646260","2001-06-05",NA,0.211111111111111,0.189688552188552,0.1981411335578,NA,NA,NA,NA,27.9002489688625,NA,42.0283575760141,NA,NA
"14646259","2001-06-06",NA,0.0111111111111102,0.122558922558922,0.16746632996633,46.9443832152128,38.9276167847872,42.936,0.183662980328922,24.8394470019345,NA,41.7125765658789,NA,NA
"14646258","2001-06-07",NA,0,0.0740740740740738,0.128773849607183,46.3768549387563,38.8491450612437,42.613,0.190078385330797,24.2039898317277,NA,41.4068996904284,NA,NA
"14646257","2001-06-08",NA,0,0.0037037037037034,0.0667789001122332,45.8077003320206,38.8502996679794,42.329,0.242863737998255,24.2039898317277,NA,41.1419797317046,NA,NA
"14646256","2001-06-11",NA,0.499999999999999,0.166666666666666,0.0814814814814812,44.8733004870071,39.3086995129929,42.091,0.505211514740307,41.2105883062306,NA,41.224382434144,NA,NA
"14646255","2001-06-12",NA,0.320512820512821,0.273504273504273,0.147958214624881,43.6330022148381,40.0209977851619,41.827,0.392857274254589,37.9212965089386,NA,41.1837981095915,NA,NA
"14646254","2001-06-13",NA,0.538461538461538,0.452991452991452,0.297720797720797,43.41319201556,40.12680798444,41.77,0.70995720325627,43.7884165750357,42.0144,41.2846250283126,NA,NA
"14646253","2001-06-14",NA,0,0.286324786324786,0.337606837606837,43.4239894345769,39.9220105654231,41.673,0.102224898536701,34.9898897229709,41.7456,41.0360083578709,-2.42538804768223,NA
"14646252","2001-06-15",NA,0,0.179487179487179,0.306267806267806,43.1638014321814,39.8401985678186,41.502,0.0781686148387582,33.7719107557759,41.4576,40.7645405768215,-2.62045999545684,NA
"14646251","2001-06-18",8.71239299594718,0.576470588235294,0.192156862745098,0.219322942852354,42.9686115750086,39.9413884249914,41.455,0.76592027085794,47.5383565695434,41.2848,40.9212684999119,-2.17022344716136,NA
"14646250","2001-06-19",9.86988163590824,0.317647058823529,0.298039215686274,0.223227752639517,42.9678639964752,39.9901360035248,41.479,0.446603584888739,43.1968272513308,41.0904,40.8810993665903,-2.05002897215401,NA
"14646249","2001-06-20",9.8788194999435,0.568181818181818,0.487433155080213,0.325876411170528,43.1177279363921,39.9422720636079,41.53,0.8873459589037,48.4929173530963,41.0784,41.0302861177116,-1.66369703111582,NA
"14646248","2001-06-21",9.91877213396592,0.556818181818181,0.480882352941176,0.422118241235888,43.1256331235558,39.9423668764442,41.534,0.633824809780376,48.2821389450872,41.076,41.1515813020168,-1.35391714078772,NA
"14646247","2001-06-22",10.9330030032944,0.170454545454545,0.431818181818181,0.466711229946524,43.1203349232115,39.8356650767885,41.478,0.226608748523711,41.6529924584656,40.9608,40.9847037950812,-1.49156349588441,NA
"14646246","2001-06-25",10.8842130440594,0.397727272727273,0.375,0.429233511586452,43.0922398347107,39.8397601652893,41.466,0.633436652680815,46.3217886142125,40.9128,41.0000766224037,-1.34973759775754,NA
"14646245","2001-06-26",11.688260106574,0.0227272727272722,0.196969696969697,0.334595959595959,43.0711081285528,39.6768918714472,41.374,0.148225124872223,40.5554030827706,40.8936,40.7493997394165,-1.60962307262636,-1.8594043111807
"14646244","2001-06-27",12.4348752360519,0.454545454545454,0.291666666666666,0.287878787878788,43.0628228951103,39.6751771048896,41.369,0.568188947223128,48.5048834393705,40.8936,40.8361464408277,-1.3502420900161,-1.75757186694778
"14646243","2001-06-28",13.0476648095935,0.568181818181818,0.348484848484848,0.279040404040404,42.9970191023757,39.6989808976243,41.348,0.709821705219502,50.3852321822298,40.9176,40.991326915384,-1.01481234494795,-1.60901996254781
"14646242","2001-06-29",14.7393002506998,0,0.340909090909091,0.327020202020202,42.9967437170612,39.4852562829387,41.241,0.089632591021902,42.1063031600306,40.8216,40.7258166599995,-1.32552151690174,-1.5523202734186
"14646241","2001-07-02",15.9473880752395,0,0.189393939393939,0.292929292929293,43.0217786929982,39.3122213070018,41.167,0.147666860490164,41.6639518785207,40.6944,40.4717077719995,-1.59212323902546,-1.56028086653997
"14646240","2001-07-03",17.069183912312,0,-1.11022302462516e-16,0.176767676767677,43.1456918297089,38.9243081702911,41.035,-0.0247094741219156,41.6639518785207,40.5792,40.2514800690663,-1.78551360530066,-1.60532741429211
"14646239","2001-07-05",16.5059276003087,0.0329670329670329,0.0109890109890109,0.0667943167943166,43.1673644466185,38.8426355533814,41.005,0.221369817681676,42.3661619999576,40.4712,40.0846160598574,-1.88293252275599,-1.66084843598488
"14646238","2001-07-06",15.9829038820199,0.0329670329670329,0.0219780219780218,0.0109890109890108,43.2076368408639,38.7223631591361,40.965,0.168916524302716,42.3661619999576,40.3656,39.9400005852098,-1.93915140600823,-1.71650902998955
"14646237","2001-07-09",14.8727267657574,0.307692307692308,0.124542124542124,0.0525030525030523,43.2174672743184,38.7485327256816,40.983,0.481427340432786,48.3723702633274,40.32,40.0146671738485,-1.66207586379182,-1.70562239675001
"14646236","2001-07-10",13.8418480149423,0.351648351648352,0.230769230769231,0.125763125763126,43.0977724225054,38.7522275774946,40.925,0.508054225936753,49.2830808307169,40.3272,40.1113782173353,-1.37824459824326,-1.64014683704866
"14646235","2001-07-11",13.4582037007027,0.153846153846154,0.271062271062271,0.208791208791209,43.0470173356979,38.6629826643021,40.855,0.314098185555519,45.0080156314593,40.2792,40.035194455024,-1.3789145699036,-1.58790038361965
"14646234","2001-07-12",13.0286345335838,0.179487179487179,0.228327228327228,0.243386243386243,42.8216916198131,38.6583083801869,40.74,0.360690220760925,45.5169839129397,40.2792,39.9851685276874,-1.34012738780697,-1.53834578445711
"14646233","2001-07-13",13.0107429432176,0.0256410256410251,0.119658119658119,0.206349206349206,42.8520674537436,38.5379325462564,40.695,0.195188020727451,42.9485088663261,40.26,39.8458127239958,-1.43870158001437,-1.51841694356856
"14646232","2001-07-16",13.1204023789597,0,0.0683760683760678,0.138787138787138,42.8973675843806,38.3946324156193,40.646,0.161094880599036,42.0957936658828,40.2312,39.6930376941297,-1.54873956221174,-1.5244814672972
"14646231","2001-07-17",13.2881249256372,0,0.00854700854700822,0.065527065527065,42.722193259619,38.235806740381,40.479,0.152504305343539,41.6505159228394,40.104,39.5446326682457,-1.642658082243,-1.54811679028636
"14646230","2001-07-18",13.6144072605,0,-1.44560289664734e-16,0.0256410256410253,42.7011168472368,37.9768831527632,40.339,0.114964009479923,40.4972163015595,39.9984,39.3760149791463,-1.75943107167363,-1.59037964656381
"14646229","2001-07-19",12.8060888307614,0.114754098360656,0.0382513661202186,0.0155994582224089,42.2881536230914,38.0438463769086,40.166,0.295961991022487,42.8817811585689,39.8688,39.2858796485935,-1.74681069719967,-1.62166585669099
"14646228","2001-07-20",12.0555074317183,0.19672131147541,0.103825136612022,0.0473588342440802,42.0152873208726,38.0647126791274,40.04,0.348123360672682,44.5898975349903,39.852,39.2477623621143,-1.65644843241638,-1.62862237183606
"14646227","2001-07-23",11.3585389897497,0.298245614035086,0.203240341290384,0.115105614674208,41.9588810939688,38.0231189060311,39.991,0.400654566681314,46.318719804327,39.864,39.2547273804991,-1.50586657277175,-1.6040712120232
"14646226","2001-07-24",11.1431294461501,0.12280701754386,0.205924647684785,0.170996708529064,41.6479986103385,38.0500013896614,39.849,0.280711337000005,43.402055969769,39.7344,39.1807637297659,-1.49281179092204,-1.58181932780297
"14646225","2001-07-25",10.9431062985218,0.12280701754386,0.181286549707602,0.196817179560924,41.6329049517948,37.9190950482052,39.776,0.215655882392015,43.402055969769,39.6576,39.1166618991304,-1.46592776073217,-1.55864101438881
"14646224","2001-07-26",10.4069095935157,0.12280701754386,0.12280701754386,0.170006071645416,41.328498734742,37.969501265258,39.649,0.324650061409409,43.402055969769,39.5256,39.0611069792464,-1.42844389177146,-1.53260158986534
"14646223","2001-07-27",10.9221776832537,0.230769230769231,0.158794421952317,0.15429599640126,40.8108604939412,38.2591395060587,39.535,0.588175784526793,45.5434852014132,39.408,39.0529593820135,-1.32168051747328,-1.49041737538693
"14646222","2001-07-30",11.1429865511421,0.140000000000001,0.164525416104364,0.148708951866847,40.7852015346449,38.2047984653551,39.495,0.308169504256472,43.7604120627901,39.36,39.0058981310784,-1.28433436508801,-1.44920077332714
"14646221","2001-07-31",11.3480233570385,0.140000000000001,0.170256410256411,0.164525416104364,40.7547619738551,38.1292380261448,39.442,0.255477377930655,43.7604120627901,39.264,38.9651117136013,-1.2406109692406,-1.40748281250984
"14646220","2001-08-01",12.3033856879581,0.159999999999999,0.146666666666667,0.160482831009147,40.7484431142606,38.1775568857394,39.463,0.413259483237326,44.2665376364209,39.2496,38.9377634851211,-1.18005672811118,-1.3619975956301
"14646219","2001-08-02",13.8818366860606,0.222222222222222,0.174074074074074,0.16366571699905,40.7526567865701,38.1773432134299,39.465,0.645613335754985,46.3465157121922,39.1536,38.946061687105,-1.07005050307382,-1.30360817711885
"14646218","2001-08-03",15.3475411842986,0.388888888888888,0.257037037037036,0.192592592592592,40.8189027216264,38.1770972783736,39.498,0.743015624651582,50.7960062690292,39.0552,39.0252534621576,-0.861164415377025,-1.21511942477048
"14646217","2001-08-06",16.1566010259988,0.222222222222222,0.277777777777777,0.236296296296296,40.5710544117563,38.2369455882436,39.404,0.335483249053458,46.6313863724307,39.0552,39.02188633387,-0.798045587108176,-1.13170465723802
"14646216","2001-08-07",18.0601764321196,1,0.537037037037037,0.357283950617283,40.7624675869783,38.1015324130216,39.432,1.2846865344319,62.2045484660134,39.1632,39.3549681560206,-0.226796784518579,-0.950723082694133
"14646215","2001-08-08",18.2358628184001,0.319148936170212,0.513790386130811,0.442868400315208,40.7868184732918,38.0931815267082,39.44,0.782146412107974,50.1880803435682,39.1944,39.3876390685512,-0.167172822178741,-0.794013030591054
"14646214","2001-08-09",18.3990001770891,0.319148936170212,0.546099290780141,0.53230890464933,40.7205197744016,38.1034802255984,39.412,0.571836896804253,50.1880803435682,39.2184,39.415953859411,-0.118569354833786,-0.658924295439601
"14646213","2001-08-10",17.4840086569065,0,0.212765957446808,0.42421854478592,40.7185014039678,38.0474985960322,39.383,0.281729918715225,42.7121458884165,39.1824,39.2404933448229,-0.383137424504632,-0.603766921252607
"14646212","2001-08-13",16.6343736738798,0.12280701754386,0.147318651238024,0.302061299821658,40.7229436244737,38.0090563755262,39.366,0.284073564505222,45.1747154636589,39.1032,39.1444275655132,-0.501578721440454,-0.583329281290176
"14646211","2001-08-14",16.6926162347328,0.175438596491228,0.0994152046783627,0.153166604454398,40.7314320705872,38.0485679294127,39.39,0.50372735981914,46.2412694846342,39.0216,39.0851705567781,-0.552306749710574,-0.577124774974256
"14646210","2001-08-15",16.7466986126678,0.175438596491228,0.157894736842106,0.134876197586164,40.7143037815713,38.0936962184287,39.404,0.269519096069588,46.2412694846342,38.988,39.033814482541,-0.585933751495893,-0.578886570278583
"14646209","2001-08-16",16.7969179636074,0.175438596491228,0.175438596491228,0.144249512670566,40.7194575429942,38.0285424570058,39.374,0.249527585054803,46.2412694846342,38.9496,38.9893058848689,-0.605742906586948,-0.584257837540256
"14646208","2001-08-17",17.6432602855768,0.0877192982456132,0.146198830409357,0.159844054580897,40.7067782106308,37.9972217893692,39.352,0.370089437061407,44.4415932447703,38.928,38.9107317668864,-0.675965845632431,-0.602599439158691
"14646207","2001-08-20",18.4291495845483,0.12280701754386,0.128654970760234,0.15009746588694,40.6807014431231,37.9712985568768,39.326,0.409205086755928,45.3576838075227,38.9208,38.8586341979682,-0.698924212684904,-0.621864393863934
"14646206","2001-08-21",19.1589039335934,0.140350877192981,0.116959064327485,0.130604288499025,40.6805564622886,37.9574435377113,39.319,0.353476513442091,45.8385602635427,38.9208,38.8214829715724,-0.696759438999262,-0.636843402890999
"14646205","2001-08-22",19.7746899241307,0.12280701754386,0.128654970760234,0.124756335282651,40.6907944854427,37.9272055145572,39.309,0.214501683024464,45.4082086192326,38.9304,38.7812852420294,-0.699555505716842,-0.649385823456168
"14646204","2001-08-23",20.9418176903573,0,0.0877192982456138,0.111111111111111,40.7105229172097,37.8414770827902,39.276,0.194672009247561,40.4950542194193,38.8944,38.6504472097589,-0.842376763211117,-0.687984011407158
"14646203","2001-08-24",22.0255791875676,0.0806451612903236,0.0678173929447278,0.0947305539835253,40.6729177451311,37.7430822548689,39.208,0.224216597592088,43.2503163909611,38.8584,38.5770542484577,-0.883312939518555,-0.727049797029437
"14646202","2001-08-27",23.5705909569854,0.166666666666667,0.0824372759856634,0.0793246557253352,40.672156881101,37.7398431188989,39.206,0.41610720408882,45.9457249099423,38.8224,38.55344701533,-0.843449726314394,-0.750329782886429
"14646201","2001-08-28",22.0971511603744,0,0.0824372759856634,0.0775639816386851,41.0494938623038,37.0985061376962,39.074,-0.2375370927758,29.2112032097397,38.676,38.084987413286,-1.50313932239062,-0.900891690787267
"14646200","2001-08-29",21.9805936696591,0,0.0555555555555556,0.073476702508961,42.0316292285648,35.5023707714351,38.767,-0.367939297733236,21.1946877433732,38.4,37.2469890915145,-2.70358363573341,-1.2614300797765
"14646199","2001-08-30",22.5124342890979,0,-9.25185853854297e-17,0.0459976105137398,42.9216574572153,33.7523425427847,38.337,-0.27399457497427,18.3783110518832,38.0568,36.2967238793126,-4.01197057509393,-1.81153817883998
"14646198","2001-08-31",23.0495998907775,0,-9.25185853854297e-17,0.0185185185185186,43.5171219778727,32.1788780221272,37.848,-0.160419728948019,18.1923554358303,37.6968,35.4571606954042,-5.05831509203153,-2.46089356147829
"14646197","2001-09-04",24.1575202016461,0,-9.25185853854297e-17,8.78926561161582e-17,44.1673844466423,30.5266155533577,37.347,-0.111915652651314,15.6365864581341,37.2768,34.4895392693503,-6.27204683543885,-3.2231242162704
"14646196","2001-09-05",25.3525646729059,0,-9.25185853854297e-17,8.78926561161582e-17,44.2622136411542,29.1197863588457,36.691,-0.047534410793353,14.9576906203839,36.8352,33.578934033437,-7.32858433650596,-4.04421624031752
"14646195","2001-09-06",27.3532464359681,0,-9.25185853854297e-17,8.78926561161582e-17,44.777198138786,27.1328018612139,35.955,-0.0936729052789869,11.4485184933473,36.2496,32.3177428289787,-8.99272277549889,-5.03391754735379
"14646194","2001-09-07",28.4274979440404,0.115671641791045,0.0385572139303481,0.0128524046434495,44.7770529323098,25.8849470676901,35.331,0.0653740213589877,21.8261024550657,35.7288,31.4727104517815,-9.81041493167634,-5.9892170242183
