"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14694880","2006-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694879","2006-05-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694878","2006-05-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694877","2006-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694876","2006-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694875","2006-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694874","2006-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694873","2006-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694872","2006-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694871","2006-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694870","2006-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694869","2006-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694868","2006-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14694867","2006-05-30",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,15.3187371428571,NA,NA
"14694866","2006-05-31",NA,0.411111937328044,NA,NA,NA,NA,NA,NA,36.6720597101494,NA,15.2971255238095,NA,NA
"14694865","2006-06-01",NA,0.0666655002427618,0.159259145856935,NA,NA,NA,NA,NA,31.5648695948321,NA,15.1733994539683,NA,NA
"14694864","2006-06-02",NA,0.459257542024066,0.31234499319829,NA,NA,NA,NA,NA,41.5555384013978,NA,15.1858421934392,NA,NA
"14694863","2006-06-05",NA,0.0740708340076721,0.199997958758166,0.223867365937797,NA,NA,NA,NA,36.0021462896872,NA,15.0792112343139,NA,NA
"14694862","2006-06-06",NA,0.40370222947349,0.312343535168409,0.274895495708289,NA,NA,NA,NA,43.019849220096,NA,15.0872777364054,NA,NA
"14694861","2006-06-07",NA,0.166665937651726,0.214813000377629,0.242384831434735,16.2532317452757,14.3761782547243,15.314705,0.223326122947026,39.6526218862711,NA,15.022014038218,NA,NA
"14694860","2006-06-08",NA,0.648806343671793,0.406391503599003,0.311182679715014,15.9257116780412,14.5470509886254,15.2363813333333,0.429880256922175,44.3439979134984,NA,15.0377068331223,NA,NA
"14694859","2006-06-09",NA,0.609274423770306,0.474915568364608,0.36537335744708,15.7528926541396,14.6097943458604,15.1813435,0.337657444984442,43.3793607219716,NA,15.0321152553726,NA,NA
"14694858","2006-06-12",NA,0.483446350219385,0.580509039220494,0.487272037061368,15.7080556801079,14.5829413198921,15.1454985,0.228947405303627,42.2725015994059,NA,15.0058185546563,NA,NA
"14694857","2006-06-13",NA,0,0.364240257996564,0.473221621860555,15.7517227759954,14.4517775573379,15.1017501666667,-0.0526849565311744,37.5963537999694,NA,14.8859347473688,NA,NA
"14694856","2006-06-14",NA,0,0.161148783406462,0.368632693541173,15.8588411593718,14.1854721739615,15.0221566666667,-0.212375260363945,34.3598772269418,15.0394584,14.7052647810529,NA,NA
"14694855","2006-06-15",NA,0.357757721069216,0.119252573689739,0.214880538364255,15.8230326887024,14.0937053112976,14.958369,0.0956429789968122,41.0324525688145,14.9466556,14.6423894769126,-2.92531618457937,NA
"14694854","2006-06-16",NA,0.357757721069216,0.238505147379477,0.172968834825226,15.7471573286789,14.0284573379878,14.8878073333333,0.11941738705061,41.0324525688145,14.8724812,14.5878975466576,-2.89814937766765,NA
"14694853","2006-06-19",72.1845266308118,0.357757721069216,0.357757721069216,0.238505147379477,15.7047381563166,13.9568488436834,14.8307935,0.158391698098735,41.0324525688145,14.8233704,14.5406712071032,-2.84515214171128,NA
"14694852","2006-06-20",71.550100266943,0.534480739960192,0.416665394032875,0.337642754160523,15.6525408655343,13.9413068011324,14.7969238333333,0.380335579104484,44.5124415858006,14.8033872,14.5460297128228,-2.58128786130944,NA
"14694851","2006-06-21",71.0926838936308,0.451325491343676,0.447854650791028,0.407425921964373,15.6003821500205,13.9135898499795,14.756986,0.313597283637684,43.044516556221,14.767824,14.5258364177797,-2.4473713947886,NA
"14694850","2006-06-22",70.6679401184124,0.556604719566816,0.514136983623561,0.459552342815821,15.5451038905943,13.9008467760724,14.7229753333333,0.382673256129156,44.4786067198347,14.7302288,14.5263995620758,-2.24033792486307,NA
"14694849","2006-06-23",70.273535184281,0.570047068891742,0.525992426600745,0.495994687005111,15.5131194977345,13.8840025022655,14.698561,0.396569122740337,44.4786067198347,14.7027944,14.5268876204657,-2.0525751664761,NA
"14694848","2006-06-26",70.0159597950623,0.520405396448563,0.549019061635707,0.529716157286671,15.4044544231649,13.8975502435018,14.6510023333333,0.367295919652945,43.2166022298792,14.6689248,14.5092466044036,-1.95653349099703,NA
"14694847","2006-06-27",69.7767826479306,0.615788165091994,0.568746876810766,0.547919455015739,15.4023887606137,13.892276906053,14.6473328333333,0.422339417234246,44.7978967357547,14.6404744,14.5108923904831,-1.78932820311795,-2.41511686061228
"14694846","2006-06-28",69.5546895827369,0.693636251928511,0.609943271156356,0.57590306986761,15.3261719849442,13.9030116817225,14.6145918333333,0.452498792173805,45.1269987830979,14.6127012,14.5157054050854,-1.62395306556078,-2.25688410160198
"14694845","2006-06-29",69.3484603079142,0.722890194795031,0.677438203938512,0.618709450635211,15.3142841781692,13.8951418218308,14.604713,0.45932543360278,45.1269987830979,14.5872988,14.5198766844073,-1.47584346219642,-2.10067597372087
"14694844","2006-06-30",68.8588223293765,0.765064955392081,0.727197134038541,0.671526203044469,15.1966302185146,13.940823448152,14.5687268333333,0.529895655567963,45.9984143545638,14.5788316,14.531395793153,-1.31040981460837,-1.94262274189837
"14694843","2006-07-03",68.4041584921629,0.992194275802255,0.826716475329789,0.743783937768947,15.1894041184769,13.9387362148565,14.5640701666667,0.533741837630264,45.9984143545638,14.5480104,14.5413790207326,-1.16581965908359,-1.78726212533541
"14694842","2006-07-05",67.9819706433218,0.977797023856391,0.911685418350242,0.821866342572857,15.0919882411412,13.9780097588587,14.534999,0.563978794145088,45.9984143545638,14.5635904,14.5500311513016,-1.03921731531815,-1.63765316333196
"14694841","2006-07-06",67.8493867835095,0.444453192661995,0.804814830773547,0.847738908151193,15.0620880117969,13.9706533215364,14.5163706666667,0.414274302590053,43.0698658386728,14.5334464,14.5304336644614,-1.03958836476008,-1.51804020361758
"14694840","2006-07-07",67.9017978410998,0.0444584415925255,0.48890288603697,0.73513437838692,14.94566279512,14.0046628715467,14.4751628333333,0.330383089305783,40.9634791711044,14.5287048,14.4931278425332,-1.11206125741649,-1.43684441437736
"14694839","2006-07-10",67.6946770160091,0.534867752478782,0.341259795577768,0.544992504129428,14.8537340387696,14.0429639612304,14.448349,0.513745368313498,44.6859108022025,14.4958512,14.4867614635288,-1.04937707436032,-1.35935094637396
"14694838","2006-07-11",67.5250097383627,0.499985940443718,0.359770711505008,0.396644464373249,14.7917660831705,14.0651349168294,14.4284505,0.519422279124639,44.4236660261697,14.4975448,14.4789866017249,-0.997677423622223,-1.28701624182361
"14694837","2006-07-12",67.3674615519767,0.619042263026175,0.551298651982892,0.417443053021889,14.7959677351842,14.0696832648158,14.4328255,0.552272217772671,45.2884229418274,14.470788,14.4778937214949,-0.922523618462168,-1.21411771715132
"14694836","2006-07-13",67.2211668074755,0.619042263026175,0.579356822165356,0.496808728551085,14.7002273671129,14.2294936328871,14.4648605,0.512596292912284,45.2884229418274,14.4657076,14.4769465586289,-0.853135321308607,-1.14192123798278
"14694835","2006-07-14",67.9978344043603,0,0.41269484201745,0.514450105388566,14.817527376069,14.062800623931,14.440164,-0.394351054543218,33.0159380170632,14.4040652,14.3598403508118,-1.27174258903624,-1.16788550819347
"14694834","2006-07-17",68.7190257443248,0.0420098846787494,0.220350715901641,0.404134126694816,14.9185668608426,13.9024891391574,14.410528,-0.257371196687311,33.9514627206559,14.3498736,14.2639923040369,-1.56558523459014,-1.2474254534728
"14694833","2006-07-18",68.6905165325687,0,0.0140032948929162,0.215682950937336,14.9898345237461,13.7702564762539,14.3800455,-0.119882836981645,32.959865755779,14.2987304,14.1696346634986,-1.82862102359648,-1.36366456749754
"14694832","2006-07-19",66.3320915845793,0.427416282525048,0.156475389067932,0.13027646662083,14.9692812041097,13.7400057958903,14.3546435,0.279924418733899,42.5390483950254,14.294666,14.1476940416988,-1.76284532447163,-1.44350071889236
"14694831","2006-07-20",64.9011749560244,0,0.142472094175016,0.104316926045288,14.987322984642,13.652249015358,14.319786,0.0697821395059254,36.7735802663265,14.2953432,14.0677135028056,-1.95057730949476,-1.54491603701284
"14694830","2006-07-21",63.5724666580806,0.559999244163525,0.329138508896191,0.209361997379713,14.9648934886084,13.6357285113916,14.300311,0.379811007107247,46.8331184274426,14.2916176,14.0774263690982,-1.74038961019907,-1.58401075165008
"14694829","2006-07-24",62.5809082616858,0.408000529085532,0.322666591083019,0.264759064718075,14.9426013980775,13.6029826019225,14.272792,0.281197456439614,44.7518522492205,14.2814568,14.0643935198851,-1.64707589596556,-1.59662378051318
"14694828","2006-07-25",61.398818539566,0.459462910158744,0.475820894469267,0.375875331482826,14.9248945808316,13.575530085835,14.2502123333333,0.314152760357531,44.7518522492205,14.271296,14.0530983839004,-1.55531909831985,-1.58836284407451
"14694827","2006-07-26",60.3723159602505,0.414414606119931,0.427292681788069,0.408593389113451,14.8943025636942,13.5513664363058,14.2228345,0.321038026233324,44.1529547697143,14.2455552,14.0376639327137,-1.48987840185534,-1.56866595563068
"14694826","2006-07-27",59.7858829803398,0.171170787760139,0.348349434679604,0.41715433697898,14.8655103500983,13.5028233165684,14.1841668333333,0.198734811027582,40.9650658681313,14.2181208,13.9938047416852,-1.5520703472129,-1.56534683394712
"14694825","2006-07-28",58.9152660799179,0.458713906495476,0.348099766791848,0.374580627753174,14.821452719718,13.4893029469487,14.1553778333333,0.361751405811916,45.8034288028858,14.1957668,13.9907921094605,-1.43393378897803,-1.5390642249533
"14694824","2006-07-31",58.5587420553342,0.146790183650251,0.258891625968622,0.318446942480025,14.7664560261276,13.4599076405391,14.1131818333333,0.231481943414363,41.7608610757971,14.1618972,13.9497958281991,-1.48956215646646,-1.52916381125593
"14694823","2006-08-01",58.2276840325066,0.403673005038193,0.336392365061307,0.314461252607259,14.6960339860316,13.461743680635,14.0788888333333,0.371603274658782,45.9886715829614,14.1429304,13.9458777177726,-1.38100988315227,-1.4995330256352
"14694822","2006-08-02",57.9202730113095,0.536589229905089,0.362350806197844,0.319211599075924,14.6151753889038,13.4740162777629,14.0445958333333,0.391175707120129,45.9886715829614,14.1188832,13.9424820220696,-1.2802441430156,-1.45567524911128
"14694821","2006-08-03",57.7201376258289,0.463410770094911,0.467891001679398,0.388878057646183,14.5646572828243,13.4697783838423,14.0172178333333,0.370331625900659,45.1736095059311,14.0917876,13.932764419127,-1.21582002033188,-1.4077042033554
"14694820","2006-08-04",57.5342976250255,0.463410770094911,0.487803590031637,0.439348465969626,14.5280792404293,13.461761092904,13.9949201666667,0.382473943674774,45.1736095059311,14.064692,13.9243424965767,-1.15156681774178,-1.35647672623268
"14694819","2006-08-07",56.7333453084646,0.609753287341753,0.512191609177192,0.489295400296076,14.459199340207,13.481812659793,13.970506,0.500720288105114,47.3382785034507,14.0392896,13.9305914970331,-1.02993622722511,-1.29116862643116
"14694818","2006-08-08",55.9896038716581,0.714283304089618,0.595815787175427,0.531936995461419,14.3851527957221,13.5087238709446,13.9469383333333,0.527693822032207,47.3382785034507,14.0138872,13.9360072974287,-0.922880060077369,-1.21751091316041
"14694817","2006-08-09",52.3821082760818,0.626865145465922,0.650300578965764,0.586102658439461,14.4045346453713,13.4958333546287,13.950184,1.14434742120243,55.7757988807592,14.0054196,13.9971503244382,-0.58674984054139,-1.0913586986366
