"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"14696507","2015-01-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696506","2015-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696505","2015-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696504","2015-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696503","2015-01-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696502","2015-01-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696501","2015-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696500","2015-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696499","2015-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696498","2015-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696497","2015-01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696496","2015-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696495","2015-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14696494","2015-01-22",NA,0.446597616661098,NA,NA,NA,NA,NA,NA,NA,NA,65.2928571428571,NA,NA
"14696493","2015-01-23",NA,0.666961130742049,NA,NA,NA,NA,NA,NA,55.9095106186519,NA,65.9964761904762,NA,NA
"14696492","2015-01-26",NA,0.819787985865724,0.644448911089624,NA,NA,NA,NA,NA,59.4015696533682,NA,66.836946031746,NA,NA
"14696491","2015-01-27",NA,0.747105966162066,0.744618360923279,NA,NA,NA,NA,NA,57.1475243211848,NA,67.4586865608466,NA,NA
"14696490","2015-01-28",NA,0.743641231593039,0.770178394540276,0.719748555517726,NA,NA,NA,NA,62.3751354150254,NA,68.3601950194004,NA,NA
"14696489","2015-01-29",NA,0.608433734939759,0.699726977564955,0.73817457767617,NA,NA,NA,NA,56.8304652774077,NA,68.8721690168136,NA,NA
"14696488","2015-01-30",NA,0.682730923694779,0.678268630075859,0.71605800072703,75.6534531320265,61.2155135346401,68.4344833333333,0.88270811630677,58.9878756905228,NA,69.4638798145718,NA,NA
"14696487","2015-02-02",NA,0.252342704149933,0.514502454261491,0.630832687300768,75.6470691955298,61.2132641378035,68.4301666666667,0.557030468637654,44.9683078710316,NA,69.1193625059622,NA,NA
"14696486","2015-02-03",NA,0.263721552878179,0.399598393574297,0.530789825970549,75.6270910171345,61.1892423161988,68.4081666666667,0.474038145079811,45.3382028257551,NA,68.8434475051673,NA,NA
"14696485","2015-02-04",NA,0.218685121107267,0.24491645937846,0.386339102404749,75.5818762225974,61.5307904440693,68.5563333333333,0.434785585414787,44.7851918641006,NA,68.5656545044783,NA,NA
"14696484","2015-02-05",NA,0.188904494382022,0.223770389455823,0.289428414136193,75.5073190808354,61.8703475858313,68.6888333333333,0.394001391692463,44.263902133635,NA,68.2902339038812,NA,NA
"14696483","2015-02-06",NA,0.0234009360374413,0.143663517175577,0.204116788669953,75.494006291896,61.7373270414373,68.6156666666667,0.347661879112519,42.286349745776,67.2368,67.9222027166971,NA,NA
"14696482","2015-02-09",NA,0,0.070768476806488,0.146067461145963,75.5889185700901,61.3375480965766,68.4632333333333,0.199076894068746,38.1600851105915,67.0504,67.3125756878041,0.273386271537523,NA
"14696481","2015-02-10",NA,0.0217687074829932,0.0150565478401449,0.0764961806074033,75.6653461587607,61.090120507906,68.3777333333333,0.210165722219726,39.099496734921,66.9148,66.8268989294302,-0.175680767488984,NA
"14696480","2015-02-11",18.2980527895527,0,0.00725623582766448,0.0310270868247659,75.7179537686527,60.943512898014,68.3307333333333,0.206651053355274,38.1249535707364,66.9208,66.3393124055062,-0.588391733905314,NA
"14696479","2015-02-12",18.4227573765423,0.122983870967742,0.0482508594835784,0.023521214383796,75.63821953855,61.17858046145,68.4084,0.294941861905635,43.6598985201053,66.9804,66.1607374181054,-0.686351636980109,NA
"14696478","2015-02-13",17.3088774087399,0.165322580645161,0.0961021505376343,0.0505364152829592,75.5413469056008,61.5884530943992,68.5649,0.400505704972911,45.4684051709844,66.9204,66.0899724290247,-0.679461069064813,NA
"14696477","2015-02-17",16.2745602957806,0.328629032258065,0.205645161290323,0.116666057103845,75.5111722461611,62.0212944205056,68.7662333333333,0.495584343502846,51.8840714344681,66.9784,66.3526427718214,-0.373135909667455,NA
"14696476","2015-02-18",15.2065409470069,0.325727773406767,0.273226462103331,0.191657924643763,75.5154309229253,62.215702410408,68.8655666666667,0.450457635328431,49.9314960203765,67.0788,66.4802904022452,-0.219636307645765,NA
"14696475","2015-02-19",14.9666178588346,0.172043010752688,0.275466605472507,0.25144607628872,75.4933751175847,61.9954248824153,68.7444,0.313225962257741,44.9299906803167,67.1444,66.3162516819459,-0.344490964705801,NA
"14696474","2015-02-20",15.1418194290052,0.0803324099722996,0.192701064710585,0.247131377428807,75.5468090012527,61.5789909987474,68.5629,0.217476750296609,42.2527699631415,67.1816,66.0127514576864,-0.584928390754602,-0.37541005651948
"14696473","2015-02-23",15.2529258108149,0.159154929577464,0.137176783434151,0.201781484539081,75.2090731161479,61.2167268838521,68.2129,0.257993886292098,43.0381941280436,67.2096,65.7843845966616,-0.736257572226062,-0.447579559660796
"14696472","2015-02-24",14.4113207840168,0.285915492957747,0.175134277502504,0.168337375215746,74.5883689108517,61.2090977558149,67.8987333333333,0.401683732637049,45.7869175774695,67.2652,65.70646665044,-0.737644814529459,-0.505592610634529
"14696471","2015-02-25",13.62983040199,0.483098591549295,0.309389671361502,0.207233577432719,74.0376981521735,61.2797685144932,67.6587333333333,0.487035514013848,49.8416374701737,67.32,65.8256044303813,-0.560361358419492,-0.516546360191522
"14696470","2015-02-26",13.7558810472586,0.552046783625731,0.440353622710924,0.30829252385831,72.6768969553436,62.007569711323,67.3422333333333,0.670997973124856,53.3070461854067,67.3328,66.1008571729972,-0.259251374343195,-0.465087363021856
"14696469","2015-02-27",13.872928075008,0.705263157894737,0.580136177689921,0.443293157254116,71.8888000408361,62.4472666258306,67.1680333333333,0.793875286076259,56.5872068120845,67.4196,66.5140762165975,0.136043922708495,-0.344861105875786
"14696468","2015-03-02",13.7924761939515,0.658479532163742,0.63859649122807,0.553028763876305,70.6735568310178,63.2131765023155,66.9433666666667,0.838226724218349,55.309541223715,67.3488,66.8188660543845,0.394492339050756,-0.196990416890478
"14696467","2015-03-03",13.4999366491491,0.605847953216374,0.656530214424951,0.625087627780981,70.6677877898646,63.2156122101354,66.9417,0.805722802103223,53.8368365030221,67.1908,67.0230172471333,0.537866977056156,-0.0500189381011509
