"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15018492","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018491","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018490","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018489","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018488","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018487","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018486","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018485","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018484","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018483","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018482","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018481","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018480","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15018479","2001-08-22",NA,0.376811594202899,NA,NA,NA,NA,NA,NA,NA,NA,6.47142714285714,NA,NA
"15018478","2001-08-23",NA,0.180656898987748,NA,NA,NA,NA,NA,NA,30.8352498297637,NA,6.43079285714286,NA,NA
"15018477","2001-08-24",NA,0.502830508474576,0.353433000555074,NA,NA,NA,NA,NA,39.3646461495807,NA,6.42268714285714,NA,NA
"15018476","2001-08-27",NA,0.440677966101695,0.374721791188006,NA,NA,NA,NA,NA,38.4438686476979,NA,6.41077285714286,NA,NA
"15018475","2001-08-28",NA,0.440677966101695,0.461395480225988,0.396516757323023,NA,NA,NA,NA,38.4438686476979,NA,6.40044714285714,NA,NA
"15018474","2001-08-29",NA,0.610169491525423,0.497175141242937,0.444430804218977,NA,NA,NA,NA,42.6840306143487,NA,6.40483152380952,NA,NA
"15018473","2001-08-30",NA,0.610169491525423,0.55367231638418,0.504080979284369,6.74610720454311,6.16411246212356,6.45510983333333,0.462577267892854,42.6840306143487,NA,6.40863132063492,NA,NA
"15018472","2001-08-31",NA,0.610169491525423,0.610169491525423,0.55367231638418,6.69294309511991,6.18427657154676,6.43860983333334,0.489620246097095,42.6840306143487,NA,6.4119244778836,NA,NA
