"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15125168","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125167","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125166","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125165","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125164","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125163","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125162","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125161","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125160","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125159","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125158","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125157","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125156","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15125155","2001-08-22",NA,0.852941176470589,NA,NA,NA,NA,NA,NA,NA,NA,10.5671428571429,NA,NA
"15125154","2001-08-23",NA,0.709677419354839,NA,NA,NA,NA,NA,NA,91.7073170731707,NA,10.6168571428571,NA,NA
"15125153","2001-08-24",NA,0.894117647058825,0.818912080961418,NA,NA,NA,NA,NA,93.4865900383141,NA,10.6772761904762,NA,NA
"15125152","2001-08-27",NA,0.807843137254904,0.803879401222856,NA,NA,NA,NA,NA,85.1613969145619,NA,10.722306031746,NA,NA
"15125151","2001-08-28",NA,0.85144927536232,0.851136686558683,0.824642722914319,NA,NA,NA,NA,87.0275337661887,NA,10.7723318941799,NA,NA
"15125150","2001-08-29",NA,0.801886792452832,0.820393068356685,0.825136385379408,NA,NA,NA,NA,88.0115750922261,NA,10.8223543082892,NA,NA
