"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15129121","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129120","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129119","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129118","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129117","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129116","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129115","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129114","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129113","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129112","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129111","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129110","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129109","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15129108","2020-02-28",NA,0.572975175859809,NA,NA,NA,NA,NA,NA,NA,NA,44.5312571428571,NA,NA
"15129107","2020-03-02",NA,0.312507752006662,NA,NA,NA,NA,NA,NA,57.0224719101124,NA,44.5137561904762,NA,NA
"15129106","2020-03-03",NA,0.495676595141485,0.460386507669319,NA,NA,NA,NA,NA,61.73368872407,NA,44.7742553650794,NA,NA
"15129105","2020-03-04",NA,0.728901252724277,0.512361866624142,NA,NA,NA,NA,NA,66.7340274855846,NA,45.3510213164021,NA,NA
"15129104","2020-03-05",NA,0.461380020597322,0.561985956154362,0.511578110149274,NA,NA,NA,NA,59.7975031311522,NA,45.5615518075485,NA,NA
"15129103","2020-03-06",NA,0,0.396760424440533,0.490369415739679,NA,NA,NA,NA,49.8894376670571,NA,45.2306782332087,NA,NA
"15129102","2020-03-09",NA,0,0.153793340199107,0.370846573598001,51.0019624071117,40.8088275928883,45.905395,0.296719880151557,48.0735314881825,NA,44.8352544687809,NA,NA
"15129101","2020-03-10",NA,0,0,0.183517921546547,51.0646463260646,40.6866436739354,45.875645,0.0878482777426224,41.6007967978237,NA,44.0612205396101,NA,NA
"15129100","2020-03-11",NA,0,0,0.0512644467330359,51.4274362920591,40.0652270412742,45.7463316666667,-0.0632060507561888,40.923219476172,NA,43.3411378009954,NA,NA
"15129099","2020-03-12",NA,0,0,4.62592926927149e-17,52.9668817998891,37.7192815334443,45.3430816666667,-0.276717743101488,30.0077720280843,NA,41.6956527608627,NA,NA
"15129098","2020-03-13",NA,0,0,4.62592926927149e-17,54.7186108971651,34.7949791028349,44.756795,-0.219537238390426,28.075962225385,NA,40.0248990594143,NA,NA
"15129097","2020-03-16",NA,0,0,4.62592926927149e-17,56.9976154434052,30.6718078899281,43.8347116666667,-0.213927260483384,22.9476718460718,42.271428,37.7882458514924,NA,NA
"15129096","2020-03-17",NA,0.0191897654584221,0.00639658848614072,0.00213219616204695,58.2918496041077,27.2912403958923,42.791545,-0.0786406178725327,24.3069786596938,41.548628,35.9218130712934,-15.8902229443456,NA
"15129095","2020-03-18",NA,0.0220362473347548,0.0137420042643923,0.00671286425017773,58.9802974798855,24.5337991867811,41.7570483333333,0.0169228855018009,24.5196891203517,40.847432,34.314917995121,-17.3894052465065,NA
"15129094","2020-03-19",31.6859563244356,0.0355366027007818,0.0255875384979863,0.0152420437495065,58.898046190996,22.4040504756707,40.6510483333333,0.0996314449284159,25.5877570224428,40.173032,32.9729289291048,-18.4278217726987,NA
