"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15139933","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139932","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139931","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139930","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139929","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139928","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139927","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139926","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139925","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139924","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139923","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139922","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139921","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15139920","2001-08-22",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7.47428571428571,NA,NA
"15139919","2001-08-23",NA,0,NA,NA,NA,NA,NA,NA,14.2857142857143,NA,7.12571428571429,NA,NA
"15139918","2001-08-24",NA,0.0119284294234592,0.00397614314115305,NA,NA,NA,NA,NA,15.4013015184382,NA,6.83161904761905,NA,NA
"15139917","2001-08-27",NA,0.166998011928429,0.0596421471172962,NA,NA,NA,NA,NA,28.4403669724771,NA,6.68073650793651,NA,NA
"15139916","2001-08-28",NA,0.385685884691849,0.188204108681246,0.083940799646565,NA,NA,NA,NA,42.0138125192451,NA,6.69663830687831,NA,NA
"15139915","2001-08-29",NA,0.326043737574553,0.292909211398277,0.18025182239894,NA,NA,NA,NA,39.7967262086008,NA,6.6704198659612,NA,NA
"15139914","2001-08-30",NA,0.245283018867924,0.319004213711442,0.266705844596988,9.57023464582974,4.83709868750359,7.20366666666667,0.267525517326897,35.7350980240656,NA,6.56769721716637,NA,NA
"15139913","2001-08-31",NA,0.300261096605744,0.290529284349407,0.300814236486375,9.41991718870837,4.75074947795829,7.08533333333333,0.293253660366323,37.0044693209292,NA,6.49333758821086,NA,NA
"15139912","2001-09-04",NA,0.325779036827195,0.290441050766955,0.299991516275934,9.30042971983346,4.67457028016654,6.9875,0.326879017017647,37.0044693209292,NA,6.42889257644941,NA,NA
"15139911","2001-09-05",NA,0.141643059490085,0.255894397641008,0.278954910919123,9.18303686592894,4.53929646740439,6.86116666666666,0.232722641631513,32.5925890029616,NA,6.28637356625615,NA,NA
"15139910","2001-09-06",NA,0.18413597733711,0.217186024551463,0.254507157653142,9.03878197018941,4.44788469647725,6.74333333333333,0.284355880566351,34.5323962315441,NA,6.18285709075533,NA,NA
"15139909","2001-09-07",NA,0.266288951841359,0.197355996222852,0.223478806138441,8.90098771763967,4.40267894902699,6.65183333333333,0.370655092110813,38.233211199864,6.7204,6.13180947865462,NA,NA
"15139908","2001-09-10",NA,0.325779036827195,0.258734655335222,0.224425558703179,8.51136860841329,4.51496472492003,6.51316666666666,0.410794801928683,40.8411455961451,6.6264,6.11556821483401,-10.432404500144,NA
"15139907","2001-09-17",NA,0.35127478753541,0.314447592067988,0.256846081208687,8.1522401655173,4.66042650114936,6.40633333333333,0.525870032600862,41.9719500574524,6.5504,6.11349245285614,-9.59727766172392,NA
