"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15207215","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207214","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207213","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207212","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207211","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207210","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207209","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207208","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207207","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207206","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207205","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207204","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207203","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15207202","2021-01-29",NA,0.497817790033053,NA,NA,NA,NA,NA,NA,NA,NA,16.8227785714286,NA,NA
"15207201","2021-02-01",NA,0.386100386100386,NA,NA,NA,NA,NA,NA,68.875881685602,NA,16.8490747619048,NA,NA
"15207200","2021-02-02",NA,0.443298969072165,0.442405715068535,NA,NA,NA,NA,NA,71.3139357457339,NA,16.9358647936508,NA,NA
"15207199","2021-02-03",NA,0.50907398790135,0.446157781024633,NA,NA,NA,NA,NA,74.0089752419194,NA,17.0897494878307,NA,NA
"15207198","2021-02-04",NA,0.568329718004339,0.506900891659284,0.465154795917484,NA,NA,NA,NA,77.5174181556984,NA,17.3444495561199,NA,NA
"15207197","2021-02-05",NA,0.45014880952381,0.509184171809833,0.487414281497917,NA,NA,NA,NA,80.6409114796513,NA,17.6998562819706,NA,NA
"15207196","2021-02-08",NA,0.740426829268293,0.586301785598814,0.53412894968931,22.8287815881222,13.5572850785445,18.1930333333333,1.34132768195606,88.8690238001133,NA,18.6732221110412,NA,NA
"15207195","2021-02-09",NA,0.756317689530686,0.648964442774263,0.581483466727636,24.2651769767563,13.2034296899103,18.7343033333333,1.15484199546671,89.1476471720641,NA,19.554125829569,NA,NA
