"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15479020","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479019","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479018","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479017","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479016","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479015","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479014","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479013","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479012","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479011","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479010","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479009","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479008","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15479007","2001-08-21",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,35.6021428571429,NA,NA
"15479006","2001-08-22",NA,0.45108695652174,NA,NA,NA,NA,NA,NA,37.7705627705628,NA,35.5725238095238,NA,NA
"15479005","2001-08-23",NA,0.323287671232877,0.258124875918206,NA,NA,NA,NA,NA,35.7694733522548,NA,35.482853968254,NA,NA
"15479004","2001-08-24",NA,0.61917808219178,0.464517569982132,NA,NA,NA,NA,NA,43.0769644200795,NA,35.5491401058201,NA,NA
"15479003","2001-08-27",NA,0.687671232876712,0.54337899543379,0.422007147111376,NA,NA,NA,NA,44.6468573358313,NA,35.6399214250441,NA,NA
"15479002","2001-08-28",NA,0.482191780821917,0.59634703196347,0.534747865793131,NA,NA,NA,NA,40.9941891931031,NA,35.6185985683716,NA,NA
"15479001","2001-08-29",NA,0.421917808219178,0.530593607305936,0.556773211567732,37.6408139719862,34.1688526946804,35.9048333333333,0.4160416903537,39.9614129052038,NA,35.570785425922,NA,NA
"15479000","2001-08-30",NA,0,0.301369863013699,0.476103500761035,37.3303838997194,34.0782827669473,35.7043333333333,-0.0148466375970655,33.1707867750753,NA,35.3080140357991,NA,NA
"15478999","2001-08-31",NA,0,0.140639269406393,0.324200913242009,37.291852418893,33.787147581107,35.5395,-0.0391324198341583,31.1128295632867,NA,35.0002788310259,NA,NA
"15478998","2001-09-04",NA,0,9.25185853854297e-17,0.147336377473364,37.8182669685481,32.7537330314519,35.286,-0.300863426008649,24.2951801360518,NA,34.3975749868891,NA,NA
"15478997","2001-09-05",NA,0.0625909752547307,0.0208636584182436,0.0538343092748787,38.0233103968303,32.0103562698364,35.0168333333333,-0.128116106254331,27.2255775422644,NA,33.9325649886372,NA,NA
"15478996","2001-09-06",NA,0,0.0208636584182436,0.0139091056121623,38.8076083032856,30.4667250300478,34.6371666666667,-0.262169479947527,21.2672068741044,34.7068,33.1442229901523,NA,NA
"15478995","2001-09-07",NA,0.0836012861736335,0.0487307538094548,0.0301526902153139,39.1479890504087,29.5180109495913,34.333,-0.0472148131073517,25.9759469655497,34.3532,32.5649932581319,-6.65913043244061,NA
"15478994","2001-09-10",NA,0,0.0278670953912113,0.0324871692063031,39.5811485157022,28.3298514842978,33.9555,-0.0678308301257145,23.0285572156705,33.9744,31.856327490381,-7.42257878743663,NA
"15478993","2001-09-17",36.0402498476305,0,0.0278670953912113,0.0348216481972923,39.9900456246277,26.9366210420389,33.4633333333333,-0.0712421762954593,20.3211468683508,33.5524,31.0168171583302,-8.40476430365316,NA
"15478992","2001-09-18",38.3285461904008,0,9.71445146547012e-17,0.0185780635941407,40.3391003904913,25.3408996095087,32.84,-0.0771803427010485,17.6042666469414,33.0384,30.0145748705529,-9.67451363757803,NA
"15478991","2001-09-19",40.5961409689637,0,9.71445146547012e-17,0.00928903179707035,40.5671909052347,23.781475761432,32.1743333333333,-0.0356340151714927,16.540661473286,32.5204,29.0232982211458,-10.88498533972,NA
"15478990","2001-09-20",42.7017646919149,0.00541638456330412,0.00180546152110147,0.000601820507033747,40.6310650581661,22.4609349418339,31.546,0.0390236643120564,17.0102030437157,32.0376,28.1748584583264,-11.764254970566,NA
"15478989","2001-09-21",44.862786024617,0,0.00180546152110147,0.00120364101406754,40.6503782115827,21.099288455084,30.8748333333333,0.0498204903348453,15.4323727853924,31.4928,27.2595439972162,-12.777697782783,NA
