"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15599830","2000-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599829","2000-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599828","2000-01-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599827","2000-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599826","2000-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599825","2000-01-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599824","2000-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599823","2000-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599822","2000-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599821","2000-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599820","2000-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599819","2000-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599818","2000-02-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15599817","2000-02-08",NA,0.619047619047619,NA,NA,NA,NA,NA,NA,NA,NA,14.5446428571429,NA,NA
"15599816","2000-02-10",NA,0.523809523809524,NA,NA,NA,NA,NA,NA,52.7777777777778,NA,14.5886904761905,NA,NA
"15599815","2000-02-14",NA,0.523809523809524,0.555555555555555,NA,NA,NA,NA,NA,52.7777777777778,NA,14.6268650793651,NA,NA
"15599814","2000-02-16",NA,0.523809523809524,0.523809523809524,NA,NA,NA,NA,NA,52.7777777777778,NA,14.6599497354497,NA,NA
"15599813","2000-02-17",NA,0.3,0.449206349206349,0.509523809523809,NA,NA,NA,NA,46.3460940622641,NA,14.6552897707231,NA,NA
"15599812","2000-02-21",NA,0.6,0.474603174603175,0.482539682539682,NA,NA,NA,NA,55.1709743253079,NA,14.7012511346267,NA,NA
"15599811","2000-02-22",NA,0.85,0.583333333333333,0.502380952380952,15.3790529591733,14.0160003741601,14.6975266666667,0.951173593810681,60.9369992720163,NA,14.7827509833431,NA,NA
"15599810","2000-02-29",NA,0.6,0.683333333333333,0.580423280423281,15.4040010326998,14.0160523006335,14.7100266666667,0.708922222149834,53.5231528002279,NA,14.8117175188974,NA,NA
"15599809","2000-03-05",NA,0,0.483333333333333,0.583333333333333,15.4055817868535,14.0519715464798,14.7287766666667,0.515679057900357,46.2511941102767,NA,14.7868218497111,NA,NA
"15599808","2000-03-06",NA,0,0.2,0.455555555555556,15.4030037399303,14.0628829267364,14.7329433333333,0.326177363234772,44.1003205066331,NA,14.7485789364163,NA,NA
"15599807","2000-03-13",NA,0,7.40148683083438e-17,0.227777777777778,15.3839016861176,14.1049016472157,14.7444016666667,0.243756849076116,41.997048723792,NA,14.6987684115608,NA,NA
"15599806","2000-03-14",NA,0,7.40148683083438e-17,0.0666666666666667,15.3663236126213,14.147479720712,14.7569016666667,0.289225126882946,41.997048723792,14.6425,14.6555992900193,NA,NA
"15599805","2000-03-23",NA,0,7.40148683083438e-17,-9.25185853854297e-18,15.3663236126213,14.147479720712,14.7569016666667,0.0841127235148716,39.7958425590566,14.6225,14.6015193846834,-0.213658976300313,NA
"15599804","2000-04-03",NA,0,7.40148683083438e-17,-9.25185853854297e-18,15.4031582794439,14.0856450538894,14.7444016666667,-0.0650050809572327,35.7589984899574,14.6075,14.521316800059,-0.52461644453643,NA
"15599803","2000-04-06",19.8667021728865,0,7.40148683083438e-17,-9.25185853854297e-18,15.4495324842095,14.0059375157905,14.727735,-0.0618392631429308,33.9069688808669,14.595,14.4351412267178,-0.83310708944635,NA
"15599802","2000-04-10",19.6703406194229,0,7.40148683083438e-17,-9.25185853854297e-18,15.5150321761248,13.8571044905419,14.6860683333333,-0.0394696490349137,32.1156848679204,14.5775,14.3437890631554,-1.13697572764347,NA
"15599801","2000-04-11",19.4880048912066,0,7.40148683083438e-17,-9.25185853854297e-18,15.5432564952207,13.7122135047793,14.627735,0.0206365964196038,32.1156848679204,14.5575,14.264617188068,-1.3645266510653,NA
"15599800","2000-04-12",19.3186931435773,0,7.40148683083438e-17,-9.25185853854297e-18,15.5068402467385,13.6035764199282,14.5552083333333,0.0769328865547749,32.1156848679204,14.5375,14.1960015629923,-1.52920229832442,NA
"15599799","2000-04-16",18.2636283169373,0.16,0.0533333333333334,0.0177777777777778,15.463167952495,13.5472487141716,14.5052083333333,0.236310214320187,40.0296818578018,14.5275,14.16986802126,-1.50116385438185,NA
"15599798","2000-04-19",17.2839252636287,0.16,0.106666666666667,0.0533333333333333,15.4429642648428,13.4924524018238,14.4677083333333,0.260212515391003,40.0296818578019,14.5175,14.1472189517586,-1.46238568512719,NA
"15599797","2000-04-24",16.1620523230281,0.3,0.206666666666667,0.122222222222222,15.3780499424627,13.4698667242039,14.4239583333333,0.343328287099112,43.8271346899362,14.4975,14.1442564248575,-1.34493580083029,-1.10117472529507
"15599796","2000-04-27",16.3571098124022,0,0.153333333333333,0.155555555555556,15.3522383115716,13.3706783550951,14.3614583333333,0.128344158385768,34.4343800352928,14.4575,14.0750222348765,-1.52068142920625,-1.1850760660773
"15599795","2000-05-01",16.1011784385701,0.111111111111111,0.137037037037037,0.165679012345679,15.3007081903287,13.309708476338,14.3052083333333,0.221140927629525,38.0111278981693,14.4025,14.031685936893,-1.57146551186228,-1.2623539552343
"15599794","2000-05-04",17.4183560335535,0,0.0370370370370371,0.109135802469136,15.3003849389976,13.1266983943357,14.2135416666667,-0.0199500066414099,28.10453203723,14.3225,13.8941278119739,-2.02394882651482,-1.4146729294904
"15599793","2000-05-07",17.8513232834491,0.285714285714286,0.132275132275132,0.102116402116402,15.2509844524262,13.0510988809071,14.1510416666667,0.204056576807718,39.4367800610189,14.2725,13.841577437044,-2.07194361478318,-1.54612706654896
