"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15655561","2007-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655560","2007-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655559","2007-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655558","2007-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655557","2007-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655556","2007-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655555","2007-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655554","2007-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655553","2007-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655552","2007-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655551","2007-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655550","2007-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655549","2007-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15655548","2007-07-17",NA,0.501750291715286,NA,NA,NA,NA,NA,NA,NA,NA,23.1421428571429,NA,NA
"15655547","2007-07-18",NA,0.250398724082935,NA,NA,NA,NA,NA,NA,72.1649484536082,NA,23.1991904761905,NA,NA
"15655546","2007-07-19",NA,0.287081339712919,0.346410118503713,NA,NA,NA,NA,NA,72.9329106331934,NA,23.2792984126984,NA,NA
"15655545","2007-07-20",NA,0.296650717703349,0.278043593833068,NA,NA,NA,NA,NA,73.1410931399159,NA,23.3567252910053,NA,NA
"15655544","2007-07-23",NA,0.170653907496013,0.251461988304094,0.291971900213625,NA,NA,NA,NA,65.9487594030837,NA,23.3184952522046,NA,NA
"15655543","2007-07-24",NA,0.215434083601286,0.227579569600216,0.252361717245792,NA,NA,NA,NA,67.3493394241192,NA,23.3280292185773,NA,NA
"15655542","2007-07-25",NA,0,0.128695997032433,0.202579184978914,26.2508326409084,21.4368340257583,23.8438333333333,0.353102021167777,62.1846508037102,NA,23.2562919894337,NA,NA
"15655541","2007-07-26",NA,0,0.0718113612004288,0.142695642611026,26.0983211715483,21.713012161785,23.9056666666667,0.179460064607273,56.0861009780632,NA,23.0887863908425,NA,NA
"15655540","2007-07-27",NA,0.116427432216906,0.0388091440723021,0.0797721674350546,26.095778340008,21.638221659992,23.867,0.301759858572682,59.9907683205341,NA,23.0409482053968,NA,NA
