"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15869288","2019-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869287","2019-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869286","2019-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869285","2019-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869284","2019-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869283","2019-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869282","2019-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869281","2019-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869280","2019-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869279","2019-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869278","2019-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869277","2019-05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869276","2019-05-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15869275","2019-05-09",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9.70685714285715,NA,NA
"15869274","2019-05-10",NA,0,NA,NA,NA,NA,NA,NA,40.3846153846158,NA,9.70327619047619,NA,NA
"15869273","2019-05-13",NA,0,0,NA,NA,NA,NA,NA,40.3846153846158,NA,9.7001726984127,NA,NA
"15869272","2019-05-14",NA,0,0,NA,NA,NA,NA,NA,40.3846153846158,NA,9.69748300529101,NA,NA
"15869271","2019-05-15",NA,0,0,0,NA,NA,NA,NA,40.3846153846158,NA,9.69515193791887,NA,NA
"15869270","2019-05-16",NA,0,0,0,NA,NA,NA,NA,40.3846153846158,NA,9.69313167952969,NA,NA
"15869269","2019-05-17",NA,0,0,0,9.74278778462943,9.65647888203724,9.69963333333334,0.27252250064972,40.3846153846158,NA,9.69138078892573,NA,NA
"15869268","2019-05-20",NA,0,0,0,9.74262621154485,9.65464045512182,9.69863333333334,0.288223297828475,40.3846153846158,NA,9.6898633504023,NA,NA
"15869267","2019-05-21",NA,0,0,0,9.74235961196235,9.65290705470433,9.69763333333334,0.302875022538746,40.3846153846158,NA,9.68854823701533,NA,NA
"15869266","2019-05-22",NA,0.161290322580639,0.0537634408602129,0.0179211469534043,9.74196605947545,9.65230060719123,9.69713333333334,0.420445019217344,49.2184641398933,NA,9.68874180541328,NA,NA
"15869265","2019-05-23",NA,0.199999999999993,0.120430107526877,0.05806451612903,9.74154999690786,9.65171666975882,9.69663333333334,0.426159549647595,49.2184641398933,NA,9.68890956469151,NA,NA
