"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15874288","2001-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874287","2001-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874286","2001-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874285","2001-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874284","2001-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874283","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874282","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874281","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874280","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874279","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874278","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874277","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874276","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15874275","2001-08-07",NA,0.874551971326165,NA,NA,NA,NA,NA,NA,NA,NA,5.81285714285714,NA,NA
"15874274","2001-08-08",NA,0.584229390681004,NA,NA,NA,NA,NA,NA,60.0739371534196,NA,5.88314285714286,NA,NA
"15874273","2001-08-09",NA,0.74496644295302,0.734582601653396,NA,NA,NA,NA,NA,64.2702633922891,NA,6.02272380952381,NA,NA
"15874272","2001-08-10",NA,0.953020134228188,0.76073865595407,NA,NA,NA,NA,NA,68.0683001075937,NA,6.22636063492064,NA,NA
"15874271","2001-08-13",NA,0.771812080536913,0.823266219239373,0.77286249228228,NA,NA,NA,NA,61.8968832966311,NA,6.33084588359789,NA,NA
"15874270","2001-08-14",NA,0.749077490774907,0.824636568513336,0.802880481235593,NA,NA,NA,NA,61.8968832966311,NA,6.42139976578483,NA,NA
"15874269","2001-08-15",NA,0.656826568265682,0.725905379859167,0.791269389203959,8.24579797969543,4.26620202030457,6.256,0.663500685322402,59.0235821057089,NA,6.46654646368019,NA,NA
"15874268","2001-08-16",NA,0.745387453874539,0.717097170971709,0.755879706448071,8.30231877671213,4.38468122328787,6.3435,0.667575481663989,60.90006381843,NA,6.53767360185617,NA,NA
"15874267","2001-08-17",NA,0.656826568265682,0.686346863468634,0.709783138099837,8.32007937038248,4.51925396295086,6.41966666666667,0.593049963825003,58.0378231744155,NA,6.56731712160868,NA,NA
"15874266","2001-08-20",NA,0.489010989010989,0.630408337050403,0.677950790496915,8.30790176985345,4.69743156347989,6.50266666666667,0.571274188297985,58.0378231744155,NA,6.59300817206085,NA,NA
