"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15920492","2001-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920491","2001-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920490","2001-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920489","2001-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920488","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920487","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920486","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920485","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920484","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920483","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920482","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920481","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920480","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920479","2001-08-08",NA,0.76734693877551,NA,NA,NA,NA,NA,NA,NA,NA,6.015,NA,NA
"15920478","2001-08-09",NA,0.775510204081633,NA,NA,NA,NA,NA,NA,70.9030100334448,NA,6.133,NA,NA
"15920477","2001-08-10",NA,0.775510204081633,0.772789115646258,NA,NA,NA,NA,NA,70.9030100334448,NA,6.23526666666667,NA,NA
"15920476","2001-08-13",NA,0.857142857142857,0.802721088435374,NA,NA,NA,NA,NA,72.9977410883179,NA,6.35056444444444,NA,NA
"15920475","2001-08-14",NA,0.755102040816326,0.795918367346939,0.79047619047619,NA,NA,NA,NA,66.5484382385252,NA,6.41715585185185,NA,NA
"15920474","2001-08-15",NA,0.612244897959184,0.741496598639456,0.780045351473923,NA,NA,NA,NA,58.7259309045293,NA,6.42820173827161,NA,NA
"15920473","2001-08-16",NA,0.414634146341463,0.593993695038991,0.710469553675128,7.94649937689906,4.69216728976761,6.31933333333333,0.509423336600445,53.8562462472739,NA,6.40444150650206,NA,NA
"15920472","2001-08-17",NA,0.405,0.477293014766882,0.60426110281511,7.95280035537783,4.75119964462217,6.352,0.495210729032568,54.0204866397514,NA,6.38518263896845,NA,NA
"15920471","2001-08-20",NA,0.25,0.356544715447154,0.475943808417676,7.96725294841436,4.84174705158564,6.4045,0.567882344065305,58.6202700868862,NA,6.40715828710599,NA,NA
