"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15945603","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945602","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945601","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945600","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945599","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945598","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945597","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945596","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945595","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945594","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945593","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945592","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945591","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945590","2001-08-22",NA,0.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,1.16857142857143,NA,NA
"15945589","2001-08-23",NA,0,NA,NA,NA,NA,NA,NA,50,NA,1.16609523809524,NA,NA
"15945588","2001-08-24",NA,0.4,0.177777777777778,NA,NA,NA,NA,NA,61.3513513513514,NA,1.17194920634921,NA,NA
"15945587","2001-08-27",NA,0,0.133333333333333,NA,NA,NA,NA,NA,44.8889564952845,NA,1.16502264550265,NA,NA
"15945586","2001-08-28",NA,0.166666666666666,0.188888888888889,0.166666666666667,NA,NA,NA,NA,49.7310393408329,NA,1.16301962610229,NA,NA
"15945585","2001-08-29",NA,0.166666666666666,0.11111111111111,0.144444444444444,NA,NA,NA,NA,49.7310393408329,NA,1.16128367595532,NA,NA
"15945584","2001-08-30",NA,0,0.11111111111111,0.137037037037036,1.23872577037513,1.11694089629154,1.17783333333333,-0.166475761275223,39.1051433097027,NA,1.14911251916128,NA,NA
"15945583","2001-08-31",NA,0.15,0.105555555555555,0.109259259259259,1.24414273911264,1.10485726088736,1.1745,-0.0348727013702398,43.9422907404124,NA,1.14256418327311,NA,NA
"15945582","2001-09-04",NA,0,0.05,0.0888888888888886,1.24865485882627,1.08634514117373,1.1675,-0.1007034046398,40.4794832020373,NA,1.13288895883669,NA,NA
"15945581","2001-09-05",NA,0,0.05,0.0685185185185184,1.24508750394782,1.07357916271885,1.15933333333333,-0.0208687384718674,40.4794832020373,NA,1.12450376432513,NA,NA
"15945580","2001-09-06",NA,0,-9.25185853854297e-18,0.0333333333333333,1.25924774187286,1.03475225812714,1.147,-0.258738351842615,29.6428390022616,NA,1.10123659574845,NA,NA
"15945579","2001-09-07",NA,0,-9.25185853854297e-18,0.0166666666666667,1.29600674750008,0.966659919166586,1.13133333333333,-0.303610795360889,21.790198203392,1.128,1.06107171631532,NA,NA
