"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"15981094","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981093","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981092","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981091","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981090","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981089","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981088","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981087","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981086","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981085","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981084","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981083","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981082","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15981081","2020-02-28",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,27.9636428571429,NA,NA
"15981080","2020-03-02",NA,0,NA,NA,NA,NA,NA,NA,23.3008742719928,NA,27.1618238095238,NA,NA
"15981079","2020-03-03",NA,0.140592694693315,0.0468642315644383,NA,NA,NA,NA,NA,33.0564860991484,NA,26.738913968254,NA,NA
"15981078","2020-03-04",NA,0.101477832512315,0.0806901757352101,NA,NA,NA,NA,NA,30.9570640529081,NA,26.2377254391534,NA,NA
"15981077","2020-03-05",NA,0.25748502994012,0.166518519048583,0.0980243087827439,NA,NA,NA,NA,37.5156379351792,NA,26.010028713933,NA,NA
"15981076","2020-03-06",NA,0.0698602794411177,0.142941047297851,0.130049914027215,NA,NA,NA,NA,33.3745333332366,NA,25.5620248854086,NA,NA
"15981075","2020-03-09",NA,0,0.109115103127079,0.139524889824505,33.7219632005824,20.6303401327509,27.1761516666667,0.0124501904567451,28.5847962600357,NA,24.8204215673541,NA,NA
"15981074","2020-03-10",NA,0,0.0232867598137059,0.0917809700795454,33.573130245942,19.823589754058,26.69836,0.0858751301523322,28.5041683514722,NA,24.1712320250402,NA,NA
"15981073","2020-03-11",NA,0,9.25185853854297e-18,0.044133954313595,33.2933987077124,19.0089546256209,26.1511766666667,0.0761372792292239,26.9328697350734,NA,23.4844010883682,NA,NA
"15981072","2020-03-12",NA,0,9.25185853854297e-18,0.00776225327123531,32.7944815476665,17.8941984523335,25.34434,-0.0611351999045,21.9066383201382,NA,22.4091342765858,NA,NA
"15981071","2020-03-13",NA,0.112541933462012,0.0375139778206708,0.0125046592735569,32.4302359435425,17.0657773897908,24.7480066666667,0.0833670299799216,28.2368205654104,NA,21.687916373041,NA,NA
"15981070","2020-03-16",NA,0.0866959140813595,0.0664126158477906,0.0346421978894871,32.2107290992958,16.1868075673708,24.1987683333333,0.10087787162932,27.5963393976576,24.622492,21.0068475233022,NA,NA
"15981069","2020-03-17",NA,0.153424853538525,0.117554233693966,0.0738269424541424,31.8560062644853,15.6147104021814,23.7353583333333,0.199817159008287,30.6995123852556,24.116492,20.5192678535286,-18.4624350481508,NA
"15981068","2020-03-18",NA,0.0866527293105779,0.108924498976821,0.0976304495061924,31.3145954369123,15.0511212297544,23.1828583333333,0.174760452002809,29.228008112406,23.55178,19.9846988063914,-18.633002413064,NA
"15981067","2020-03-19",19.0734895015628,0.1065253853308,0.115534322726635,0.11400435179914,30.4051295266669,14.6909138066664,22.5480216666667,0.171230490146292,30.2988258346154,22.96418,19.5547389655392,-18.5214863123363,NA
"15981066","2020-03-20",19.3073917141955,0.185221103170881,0.126133072604086,0.116863964769181,29.0813755536175,15.0906677797159,22.0860216666667,0.433811664025027,34.5237397707592,22.49978,19.3141071034673,-17.8703751174935,NA
"15981065","2020-03-23",19.5245866259258,0.262327008529344,0.184691165677008,0.14211952033591,28.1032735895605,15.2574364104395,21.680355,0.384240968811002,38.4597673190586,22.13178,19.234892823005,-16.7832921243061,NA
"15981064","2020-03-24",20.2645801873483,0.37361388224259,0.273720664647605,0.194848300976233,27.2022646046507,15.5831087286826,21.3926866666667,0.545380232921272,43.7184979733065,21.823888,19.352907113271,-15.1755071580806,NA
"15981063","2020-03-25",20.951717065812,0.380578180110031,0.338839690293988,0.265750506872867,26.2544328963837,15.921053770283,21.0877433333333,0.499573227697718,44.012910523472,21.503888,19.4658528315016,-13.7070657077322,NA
"15981062","2020-03-26",21.5897727386712,0.40963845829253,0.387943506881717,0.333501287274437,25.7752092422762,16.0407774243904,20.9079933333333,0.539242831406429,45.4158683192622,21.161184,19.6124057873014,-12.2503249635463,NA
"15981061","2020-03-27",22.0956498248186,0.39490927620003,0.395041971534197,0.373941722903301,25.5249595901711,16.0490270764956,20.7869933333333,0.514036261494551,44.8030554240372,20.781184,19.7147516823278,-11.0402879063292,-15.827086305671
"15981060","2020-03-30",22.7132431952453,0.40605568427003,0.403534472920863,0.395506650445592,25.3446099877461,16.0587100122539,20.70166,0.55330734425022,45.4034359213394,20.499584,19.8221181246841,-9.90845205341218,-14.6433594552192
