"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16081639","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081638","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081637","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081636","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081635","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081634","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081633","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081632","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081631","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081630","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081629","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081628","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081627","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16081626","2001-08-22",NA,0.260989010989011,NA,NA,NA,NA,NA,NA,NA,NA,2.9775,NA,NA
"16081625","2001-08-23",NA,0,NA,NA,NA,NA,NA,NA,57.1428571428571,NA,2.95966666666667,NA,NA
"16081624","2001-08-24",NA,0,0.0869963369963369,NA,NA,NA,NA,NA,56.8150778475826,NA,2.94371111111111,NA,NA
"16081623","2001-08-27",NA,0,0,NA,NA,NA,NA,NA,51.7046866933094,NA,2.92188296296296,NA,NA
"16081622","2001-08-28",NA,0,0,0.028998778998779,NA,NA,NA,NA,48.4763568815272,NA,2.8974652345679,NA,NA
"16081621","2001-08-29",NA,0,0,0,NA,NA,NA,NA,47.3193427091301,NA,2.87430320329218,NA,NA
"16081620","2001-08-30",NA,0.0289473684210525,0.00964912280701749,0.00321637426900583,3.20611423310996,2.69026076689004,2.9481875,0.131961052703819,48.5320110133463,NA,2.85606277618656,NA,NA
"16081619","2001-08-31",NA,0.00263157894736883,0.0105263157894738,0.00672514619883042,3.21099485781412,2.67992180885255,2.94545833333333,0.107634014929874,47.4623839374709,NA,2.83858773936168,NA,NA
"16081618","2001-09-04",NA,0.00263157894736883,0.01140350877193,0.0105263157894738,3.21628028498621,2.66026138168046,2.93827083333333,0.165141780444799,47.4623839374709,NA,2.82344270744679,NA,NA
"16081617","2001-09-05",NA,0,0.00175438596491256,0.00789473684210546,3.21616420012253,2.63671079987747,2.9264375,0.184724431813257,46.8634516250754,NA,2.80948367978722,NA,NA
"16081616","2001-09-06",NA,0.101694915254238,0.0347754980672021,0.0159777976013482,3.2043418954118,2.62061643792153,2.91247916666667,0.253772660036739,50.869492530244,NA,2.80238585581559,NA,NA
"16081615","2001-09-07",NA,0,0.0338983050847459,0.0234760630389535,3.18856558651457,2.61089274681876,2.89972916666667,0.320147623024751,45.9005564534418,2.8792,2.78956774170685,NA,NA
"16081614","2001-09-10",NA,0.0118577075098819,0.0378508742547065,0.0355082258022182,3.16162200400871,2.60691966265796,2.88427083333333,0.330051495539435,46.3240353855871,2.87785,2.77895870947927,-3.76996683861468,NA
"16081613","2001-09-17",NA,0,0.00395256916996062,0.0252339161698043,3.1240888354718,2.6056611645282,2.864875,0.265557138480961,45.9367916913415,2.8711,2.76926421488203,-3.66790923053213,NA
"16081612","2001-09-18",12.9449869511894,0,0.00395256916996062,0.0152520041982092,3.07353532050944,2.61633967949056,2.8449375,0.290525489000937,45.9367916913415,2.86385,2.76086231956443,-3.54757724426094,NA
"16081611","2001-09-19",12.7179623448207,0,5.78241158658936e-19,0.00263504611330708,3.04180662382779,2.60211004283888,2.82195833333333,0.0520585288828911,29.9609054315311,2.84365,2.72608067695584,-4.01529802997368,NA
"16081610","2001-09-20",13.1490567844896,0,5.78241158658936e-19,0.00131752305665354,3.03581009794452,2.55427323538881,2.79504166666667,-0.123957077218716,26.6356090457395,2.8201,2.68676992002839,-4.55160323132787,NA
"16081609","2001-09-21",14.1114999196034,0,5.78241158658936e-19,-4.91504984860095e-18,3.03391807627437,2.49354025705896,2.76372916666667,-0.16153560334083,23.7918761589074,2.7911,2.64353393069127,-5.14235526387525,NA
"16081608","2001-09-24",15.5407028843043,0,5.78241158658936e-19,-4.91504984860095e-18,3.03380661047388,2.42177672285945,2.72779166666667,-0.175144043935396,21.1402649890537,2.75835,2.59606273993244,-5.79569341921217,NA
"16081607","2001-09-25",18.3348278709436,0,5.78241158658936e-19,-4.91504984860095e-18,3.06767976951094,2.30765356382239,2.68766666666667,-0.209624654119289,14.1491991218055,2.71235,2.51375437460811,-7.23991604394971,NA
