"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16086750","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086749","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086748","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086747","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086746","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086745","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086744","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086743","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086742","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086741","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086740","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086739","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086738","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16086737","2001-08-22",NA,0.352941176470588,NA,NA,NA,NA,NA,NA,NA,NA,9.65817285714286,NA,NA
"16086736","2001-08-23",NA,0.392162348991079,NA,NA,NA,NA,NA,NA,60.2658070010036,NA,9.66499247619048,NA,NA
"16086735","2001-08-24",NA,0.0235359952598842,0.25621317357385,NA,NA,NA,NA,NA,48.425074737596,NA,9.64104014603175,NA,NA
"16086734","2001-08-27",NA,0,0.138566114750321,NA,NA,NA,NA,NA,39.636933117317,NA,9.58898945989418,NA,NA
"16086733","2001-08-28",NA,0,0.00784533175329472,0.134208206692489,NA,NA,NA,NA,36.8919303738808,NA,9.53196553190829,NA,NA
"16086732","2001-08-29",NA,0.0922033750490548,0.0307344583496849,0.0590486349511002,NA,NA,NA,NA,41.0535125737135,NA,9.49382212765385,NA,NA
"16086731","2001-08-30",NA,0.118181223564295,0.0701281995377833,0.036235996546921,10.0250061300012,9.21877886999876,9.6218925,0.125243176885711,42.2098078844037,NA,9.46394184396667,NA,NA
"16086730","2001-08-31",NA,0.25973487986744,0.15670649282693,0.0858563835714661,10.026428079424,9.20631725390937,9.61637266666667,0.280189057716412,48.1753486460953,NA,9.45535893143778,NA,NA
"16086729","2001-09-04",NA,0.175315048183839,0.184410383871858,0.137081692078857,10.0282800553115,9.19108261135514,9.60968133333333,0.266102964821998,45.1799831835104,NA,9.43759507391274,NA,NA
"16086728","2001-09-05",NA,0.24675140627044,0.227267111440573,0.189461329379787,10.0205559695766,9.17795869709006,9.59925733333334,0.350200480362126,48.1195811115871,NA,9.43093706405771,NA,NA
"16086727","2001-09-06",NA,0.46752496402564,0.29653047282664,0.236069322713024,10.0212333591948,9.17847264080524,9.599853,0.5238624474237,55.9764002148868,NA,9.45216945551668,NA,NA
"16086726","2001-09-07",NA,0.450638262101761,0.388304877465947,0.304034153911053,10.0226573274199,9.18161500591347,9.60213616666667,0.47870162668954,53.6597805216272,9.5429112,9.46342286144779,NA,NA
"16086725","2001-09-10",NA,0.286939242488108,0.401700822871836,0.362178724388141,10.0213809693571,9.17324169730957,9.59731133333334,0.354409131373869,48.1730530110202,9.5386224,9.45490914658809,-0.932890860446611,NA
"16086724","2001-09-17",NA,0.0332703666258714,0.256949290405247,0.348984996914343,10.0259023836993,9.1286916163007,9.57729700000001,0.139032790917469,41.1242462155815,9.5260896,9.41909726037634,-1.0859767642983,NA
"16086723","2001-09-18",12.5305756082152,0.0370272496929923,0.119078952935657,0.259243022070913,10.0129846877845,9.10710031221551,9.56004250000001,0.287784727074844,41.088116023599,9.5077432,9.3879016256595,-1.19557756647994,NA
"16086722","2001-09-19",12.154616986603,0.748549977444094,0.272949197920986,0.216325813753963,10.0073854990963,9.10777483423706,9.55758016666667,0.633794730729985,56.3765182237586,9.5098876,9.4196374089049,-0.894054280898604,NA
"16086721","2001-09-20",11.6628224370748,0.462573306695882,0.416050177944323,0.269359442933655,9.97507470010049,9.10907196656619,9.54207333333334,0.467975466751528,50.6736577150135,9.5075528,9.42347508771758,-0.798035260422791,NA
"16086720","2001-09-21",13.1496091068723,0,0.403707761379992,0.3642357124151,9.93650835284993,9.05658064715007,9.4965445,-0.0105091745115412,37.5703532517175,9.4839168,9.35103174268857,-1.19666235493232,NA
"16086719","2001-09-24",14.5301967288271,0.192872349862503,0.218481885519462,0.346079941614592,9.87766044742583,9.03684155257418,9.457251,0.119694956161649,42.4737190794449,9.4617584,9.31143951033009,-1.34964769576665,NA
"16086718","2001-09-25",14.6019937668181,0.377805375676394,0.190225908512966,0.270805185137473,9.80924571453357,9.05176561879977,9.43050566666667,0.370035308886494,46.7892293498736,9.4430784,9.29936357561941,-1.31201878287088,NA
"16086717","2001-09-26",14.1606932716296,0.589162157367159,0.386613294302019,0.265107029444816,9.76637870562823,9.06838362770512,9.41738116666667,0.616713573743804,51.2869983155527,9.4311648,9.31431243220349,-1.1041915623258,-1.09656168093799
"16086716","2001-09-27",13.3609463538986,0.663144238445843,0.543370590496465,0.37340326443715,9.73395273555496,9.08421026444506,9.40908150000001,0.755504050781445,52.7912319715777,9.4209672,9.33616410790969,-0.871743648770762,-1.05159807450454
"16086715","2001-09-28",12.7693892325165,0.770375367416759,0.67422725440992,0.534737046402802,9.76970401680354,9.06616964986314,9.41793683333334,0.984719035806372,57.0965007013612,9.4122464,9.38194622685507,-0.50844636340539,-0.942967732284713
"16086714","2001-10-01",12.6675793942406,0.733603385107591,0.722374330323398,0.646657391743261,9.8364598757167,9.04666945761664,9.44156466666667,0.999911526254179,58.1899049315744,9.4060516,9.42877206327439,-0.173698980603099,-0.789113981948391
"16086713","2001-10-02",13.1918839794308,0.832748365167917,0.778909039230755,0.725170207988024,9.95546851551823,9.01256248448179,9.48401550000001,1.13482943188096,63.3334585385481,9.4141528,9.50588912150447,0.319450887461326,-0.567401008066447
"16086712","2001-10-03",13.9302297945264,0.854893717722064,0.807081822665857,0.769455064073337,10.0785045434059,8.97959078992747,9.52904766666667,1.09045185722067,65.0448504448519,9.4310696,9.58622523863721,0.782922366186112,-0.297336333215936
"16086711","2001-10-04",14.4979144649064,0.831409716565654,0.839683933151878,0.808558265016163,10.1772637647492,8.96545523525084,9.57135950000001,0.990696744184632,64.2844259481199,9.44608,9.65267254015225,1.11367092060943,-0.0151348824508618
"16086710","2001-10-05",14.3651062246599,0.737661010865213,0.80798814838431,0.818251301400682,10.2310707093467,8.96883195731993,9.59995133333334,0.823226224841805,59.9806769672439,9.4646168,9.69215220146528,1.24605271624705,0.23710263728872
"16086709","2001-10-08",14.3299098627859,0.765624784283407,0.778231837238091,0.808634639591426,10.2846010324352,8.97820430089815,9.63140266666667,0.814978844787212,60.8232066798202,9.4941616,9.73176924126991,1.36766024160413,0.463214158151802
"16086708","2001-10-09",14.6374696302826,0.810852788093824,0.771379527747481,0.785866504456627,10.3452919766825,8.98192435665087,9.66360816666667,0.832660460272246,62.2090053471048,9.5299012,9.77484000910059,1.49962856826629,0.670497040174699
"16086707","2001-10-10",14.9230608429581,0.855259343117087,0.810578971831439,0.786730112272337,10.4039422622369,8.97656640442977,9.69025433333334,0.824113884092215,63.5715062969051,9.5648308,9.82074534122051,1.63678692274316,0.863755016688391
"16086706","2001-10-11",14.1971350518949,0.686911635496422,0.784341255569111,0.788766585049344,10.4370319531847,8.98636471348199,9.71169833333334,0.707769908736455,57.0492832360302,9.5912304,9.83527396239111,1.57112225523701,1.00522846439812
"16086705","2001-10-12",13.2627025343297,0.559136776359731,0.700435918324414,0.765118715241655,10.4533630721337,9.01180926119969,9.73258616666667,0.610297998447232,54.223281956883,9.608862,9.83595210073896,1.429320653151,1.09004690214869
"16086704","2001-10-15",13.2846874822679,0.558435895479271,0.601494769111808,0.695423981001777,10.4681428473008,9.07478315269917,9.771463,0.68624551937695,56.3943290088385,9.6329268,9.8476584873071,1.36942432716483,1.14592238715192
"16086703","2001-10-16",13.305102076782,0.698874925053785,0.605482532297596,0.635804406577939,10.4962731638291,9.12230216950421,9.80928766666667,0.729266606040279,60.0392025605939,9.6603272,9.87766002233282,1.4269302499899,1.20212395971952
"16086702","2001-10-17",12.430802329156,0.321094135041892,0.526134985191649,0.577704095533684,10.5120047024667,9.13631396419997,9.82415933333334,0.609921023037379,54.0105209797708,9.6722404,9.87904001935511,1.30636289717365,1.22297174721034
"16086701","2001-10-18",11.7582957294445,0.149999160609061,0.389989406901579,0.507202308130275,10.516827700993,9.16989096567364,9.84335933333334,0.540819041626052,52.0147987525468,9.6836772,9.87150001677443,1.1441638260723,1.20721016298273
"16086700","2001-10-19",11.5700409850996,0,0.157031098550318,0.357718496881182,10.4475777513708,9.31169291529589,9.87963533333334,0.405992230366422,49.0012540363544,9.6965436,9.85146401453784,0.922204009033112,1.15020893219281
"16086699","2001-10-22",10.9052058564462,0.176470588235294,0.108823249614785,0.218614585022227,10.3724688273601,9.46328483930658,9.91787683333334,0.482881902668213,52.1617044335307,9.7222288,9.84839547926613,0.824578156620248,1.0850827770783
"16086698","2001-10-23",10.4350831382573,0.38235294117647,0.186274509803921,0.150709619323008,10.31832749389,9.58390250611004,9.951115,0.562236898381549,55.6173868512457,9.7529652,9.86241474869731,0.839928879169394,1.03605199749652
"16086697","2001-10-24",9.76429530046208,0.352264489297569,0.303696006236444,0.19959792188505,10.2767422063767,9.67036079362327,9.9735515,0.457164199319057,54.0163565848821,9.7641636,9.86821011553767,0.803711879993041,0.989583973995821
"16086696","2001-10-25",9.75184443474953,0.0363615551909643,0.256992995221668,0.248987837087344,10.2408494330804,9.72900790025296,9.98492866666667,0.143850707086971,48.7640127378545,9.7758384,9.85115410013265,0.632233421860495,0.918113863568756
"16086695","2001-10-26",9.54123950696333,0.250009538708078,0.212878527732204,0.257855843063439,10.2300453953001,9.75291693803328,9.99148116666667,0.287315487500684,52.1525807155854,9.8147236,9.85130422011497,0.581352399100155,0.850761570675036
"16086694","2001-10-29",10.2342498297402,0,0.0954570312996808,0.188442851417851,10.2419422392889,9.73069542737775,9.98631883333334,0.00478810996674969,45.8935893049916,9.8380736,9.82284232409964,0.360950522916292,0.752799361123287
"16086693","2001-10-30",11.0778661950887,0,0.0833365129026927,0.130557357311526,10.2508289327628,9.68110506723725,9.965967,-0.00972705241828174,44.457125708173,9.852608,9.79102734755302,0.140121300898599,0.63026374907835
"16086692","2001-10-31",11.8612242486266,0.0864817447593706,0.0288272482531236,0.0692069308184988,10.2324402209314,9.65128477906864,9.9418625,0.0766207301130525,46.3847138886811,9.8618052,9.77107836787928,0.0117631946976227,0.506563638202204
"16086691","2001-11-01",12.473265360912,0.0990955564294131,0.0618591003962613,0.058007620517359,10.207522974295,9.63033602570499,9.9189295,0.133395210136151,46.6753972117762,9.8686672,9.75490125216205,-0.0823009704919553,0.388790716463372
"16086690","2001-11-02",12.6144257218423,0.231474716699571,0.139017339296118,0.0765678959818342,10.1989813350732,9.61655999826014,9.90777066666667,0.288800091002131,49.6167701976938,9.8708116,9.75199975187378,-0.0868836709607357,0.293655838978551
"16086689","2001-11-05",12.4794775248857,0.431191954040693,0.253920742389892,0.15159906069409,10.1920205662096,9.61796110045711,9.90499083333334,0.643369293444396,53.91862397314,9.8760536,9.76695845162394,0.0177040845994458,0.23846548810273
"16086688","2001-11-06",12.3541684848546,0.671554207032515,0.444740292590927,0.279226124758979,10.1814992286295,9.62264477137052,9.902072,0.780391429225701,58.466488799719,9.8765776,9.80073065807408,0.226482640123638,0.236068918506911
"16086687","2001-11-07",13.0116226640861,0.701605697110827,0.601450619394679,0.433370551458499,10.1869325995719,9.61951440042812,9.9032235,0.98058586608282,60.6683463244694,9.8763392,9.8409599036642,0.453441711184732,0.279543477042476
"16086686","2001-11-08",13.6221158305154,0.701605697110827,0.69158853375139,0.579259815245665,10.2114643931773,9.60927827348934,9.91037133333334,0.907994569509435,60.6683463244694,9.877054,9.87582524984231,0.625113752158657,0.348657532065712
"16086685","2001-11-09",14.036121249419,0.669356367279521,0.690855920500392,0.661298357882153,10.2373191598018,9.60689317353152,9.92210616666667,0.823871748806873,59.6063514715207,9.8822484,9.90286588319667,0.732557601832529,0.425437546019075
"16086684","2001-11-12",14.1087637624216,0.604830630093958,0.658597564828102,0.680347339693295,10.2476239856364,9.60393501436361,9.9257795,0.777552008252365,57.4397945832767,9.883916,9.91994643210378,0.769622884625876,0.494274613740435
"16086683","2001-11-13",14.8026553022268,0.79762687066817,0.69060462268055,0.680019369336348,10.2812607698238,9.58606356350956,9.93366216666667,1.00098662197812,63.355824894473,9.8908256,9.96095890782328,0.947126328277426,0.584844956647833
"16086682","2001-11-14",15.6124079723372,0.887319114726188,0.763258871829439,0.70415368644603,10.3487216309777,9.55771803568902,9.95321983333334,1.02251363853263,66.1220472195044,9.8994508,10.0107990534468,1.15968788716834,0.699813542751934
"16086681","2001-11-15",16.0619658721051,0.804056353365549,0.829667446253302,0.76117698025443,10.4063740851698,9.54529658149689,9.97583533333334,0.935285633485834,64.0959806785284,9.9139852,10.0484351796539,1.27839862787176,0.815530559775899
"16086680","2001-11-16",16.1506065255223,0.752705369904036,0.814693612665258,0.802539976916,10.4472903806716,9.55874495266171,10.0030176666667,0.852803946147622,61.8787433517158,9.9302828,10.0750171557001,1.32010276025989,0.916444999872697
"16086679","2001-11-19",16.2329157036955,0.809243085880641,0.788668269716742,0.811009776211767,10.4896554276791,9.56006157232095,10.0248585,0.838073985954788,63.6937700180704,9.9456748,10.1061548682734,1.38509117175778,1.01017423424971
"16086678","2001-11-20",16.544615341566,0.832120187241136,0.798022881008604,0.800461587796868,10.5311258476818,9.55560181898493,10.0433638333333,0.831684466141651,64.3041653241012,9.9559204,10.1358422191703,1.43543735073945,1.09522685754766
"16086677","2001-11-21",15.6785192497655,0.601621466690325,0.747661579937367,0.778117576887571,10.550772772721,9.5651028939457,10.0579378333333,0.683752022085093,56.4858958688196,9.9673572,10.1409205899476,1.33636225660285,1.1434539373587
"16086676","2001-11-23",14.8742871645221,0.695040058508693,0.709593904146718,0.751759455030896,10.5733769584417,9.59336804155827,10.0833725,0.732607577413603,60.1391260201011,9.9857512,10.1597765112879,1.32854336331649,1.18047182255026
"16086675","2001-11-26",14.4094864744657,0.639038513331539,0.645233346176852,0.700829610086979,10.599710048989,9.61210661767771,10.1059083333333,0.737759063225305,60.8778153847922,10.0091012,10.1791369764495,1.32469499703767,1.20931645744774
"16086674","2001-11-27",14.4225922514953,0.686016123316795,0.673364898385675,0.676064049569748,10.6158017864673,9.66149821353275,10.13865,0.761265569718006,62.0727101253908,10.029592,10.2006813795896,1.33418442790556,1.2342900515393
"16086673","2001-11-28",13.921033092034,0.543541814316086,0.622865483654807,0.647154576072445,10.6036984644494,9.73817153555063,10.170935,0.673684178174098,58.6031742817893,10.042506,10.210775862311,1.27586224702432,1.24260449063631
