"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16206935","2016-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206934","2016-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206933","2016-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206932","2016-03-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206931","2016-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206930","2016-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206929","2016-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206928","2016-03-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206927","2016-03-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206926","2016-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206925","2016-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206924","2016-03-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206923","2016-03-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16206922","2016-03-21",NA,0.0807017543859651,NA,NA,NA,NA,NA,NA,NA,NA,11.6171428571429,NA,NA
"16206921","2016-03-22",NA,0.16140350877193,NA,NA,NA,NA,NA,NA,46.6850828729282,NA,11.6041904761905,NA,NA
"16206920","2016-03-23",NA,0.264912280701754,0.169005847953216,NA,NA,NA,NA,NA,50.9865208048447,NA,11.6716317460317,NA,NA
"16206919","2016-03-24",NA,0.249122807017544,0.225146198830409,NA,NA,NA,NA,NA,50.3195954263003,NA,11.7180808465608,NA,NA
"16206918","2016-03-28",NA,0.385964912280702,0.3,0.231384015594542,NA,NA,NA,NA,55.7248780745695,NA,11.8623367336861,NA,NA
"16206917","2016-03-29",NA,0.319470699432892,0.318186139577046,0.281110779469152,NA,NA,NA,NA,54.9001759717336,NA,11.9740251691946,NA,NA
"16206916","2016-03-30",NA,0.234555984555984,0.313330532089859,0.310505557222302,13.8916985562515,10.6907347770819,12.2912166666667,0.63083038804081,51.0364466187888,NA,12.0074884799686,NA,NA
"16206915","2016-03-31",NA,0.526805082119616,0.360277255369498,0.330597975678801,13.9815331738042,10.7132334928624,12.3473833333333,0.737417028959963,54.5534042048199,NA,12.1011566826395,NA,NA
"16206914","2016-04-01",NA,0.647660365664704,0.469673810780102,0.381093866079819,14.0796109223669,10.7298224109664,12.4047166666667,0.750349138106047,57.214718394302,NA,12.2343357916209,NA,NA
"16206913","2016-04-04",NA,0.644561512240471,0.606342320008264,0.478764462052621,14.2008835611267,10.7572164388733,12.47905,0.782920299420754,57.1223505223576,NA,12.3484243527381,NA,NA
"16206912","2016-04-05",NA,0.641447368421053,0.644556415442076,0.573524182076814,14.4597898621616,10.8336434711717,12.6467166666667,1.00557344785876,62.6146699206451,NA,12.559967772373,NA,NA
"16206911","2016-04-06",NA,0.574074074074074,0.620027651578533,0.623642129009624,15.0327776996301,10.6389889670365,12.8358833333333,1.14047609886002,66.9093009743301,12.1432,12.8493054027233,NA,NA
"16206910","2016-04-07",NA,0.654320987654321,0.623280810049816,0.629288292356808,15.4212604054012,10.4185062612655,12.9198833333333,1.0850344128472,69.3864874578084,12.2732,13.1693980156935,8.54421673025099,NA
"16206909","2016-04-08",NA,0.462052877138414,0.563482646288937,0.602263702639095,15.5911885920278,10.3573114079722,12.97425,0.858513698483976,58.357524747065,12.36444,13.2842782802677,8.29148636990806,NA
"16206908","2016-04-11",44.1719091468604,0.50251256281407,0.539628809202269,0.575464088513674,15.8244349851519,10.3390650148481,13.08175,0.829041919950332,61.0332630881411,12.47124,13.449041176232,8.27926589788697,NA
"16206907","2016-04-12",44.0931775179623,0.487202925045704,0.48392278833273,0.529011414607978,16.0578596608236,10.4131736725097,13.2355166666667,0.822630878629974,61.922335585457,12.62464,13.6138356860678,8.25773943062151,NA
"16206906","2016-04-13",44.2102028594847,0.544789762340037,0.511501750066604,0.511684449200534,16.3183275014573,10.4899724985427,13.40415,0.841866043792847,63.6284803445611,12.80064,13.7986575945921,8.31415111825722,NA
"16206905","2016-04-14",44.3526053346486,0.542260208926876,0.524750965437539,0.506725167945624,16.5132272755013,10.6913393911654,13.6022833333333,0.821267494409448,64.068813361785,12.87984,13.9695032486464,8.29340257332181,NA
"16206904","2016-04-15",44.3709400400597,0.527065527065527,0.538038499444147,0.524763738316096,16.6369691062514,10.9525975604153,13.7947833333333,0.776527197537741,63.2442471874834,12.97784,14.1069028154936,8.12478006984765,NA
"16206903","2016-04-18",44.3879651236557,0.614434947768281,0.561253561253562,0.541347675378416,16.7216888778797,11.3025444554536,14.0121166666667,0.802855310494186,65.9572832930302,13.10104,14.2873157734278,8.1458070734098,NA
"16206902","2016-04-19",43.4951836201352,0.447698744769874,0.529733073201228,0.543008377966312,16.6715680210784,11.7339986455883,14.2027833333333,0.701289998732359,59.6676428437706,13.23424,14.3623403369707,7.72133877336112,8.21913200409612
"16206901","2016-04-20",42.7110847348653,0.449772727272728,0.503968806603628,0.531651813686139,16.6933912035315,12.0317754631351,14.3625833333333,0.714535772364692,61.1017833882318,13.367,14.4565616253746,7.41758734103424,8.05882307148375
"16206900","2016-04-21",42.0225987948561,0.490909090909091,0.462793520983898,0.498831800262918,16.7546103494694,12.2482229838639,14.5014166666667,0.721592875249677,62.2950982951193,13.5334,14.562353408658,7.18896033631247,7.88485052444949
"16206899","2016-04-22",41.3832904219904,0.485232067510549,0.475304628564123,0.480688985383883,16.7681209061081,12.5697124272252,14.6689166666667,0.759880223380185,64.9203479927268,13.7146,14.7087062875036,7.14345282230586,7.73657098402077
"16206898","2016-04-25",39.727598187493,0.280138768430182,0.418759975616608,0.452286041721543,16.7718270251268,12.7803396415399,14.7760833333333,0.631258504992658,57.9282432634631,13.8742,14.7475454491698,6.6642282210283,7.52210243142227
"16206897","2016-04-26",37.4848100736497,0.155865736124958,0.30707885735523,0.40038115384532,16.7202779415196,12.9956553918137,14.8579666666667,0.497861080804741,53.2492607650557,14.0118,14.7145393892805,5.94301389003398,7.20628472314461
"16206896","2016-04-27",34.9437824685191,0.0483936559577063,0.161466053504282,0.29576829549204,16.540740965655,13.3595257010116,14.9501333333333,0.375267793283244,50.1930229938254,14.117,14.6392674707098,5.1214347585151,6.78931473021871
"16206895","2016-04-28",32.8632195711806,0,0.0680864640275551,0.178877124962356,16.4242676348287,13.5597323651713,14.992,0.13996486820821,46.4978436514707,14.1806,14.5140318079485,4.17348480235147,6.26614874464526
"16206894","2016-04-29",30.9797408291302,0,0.016131218652569,0.0818945787281355,16.3353311374069,13.7016688625931,15.0185,0.0272109569346131,46.1724513588464,14.2462,14.400160900222,3.3597039807999,5.68485979187619
"16206893","2016-05-02",29.6105124774961,0.026558891454965,0.00885296381832185,0.0310235488328153,16.2297221318692,13.8795445347975,15.0546333333333,0.126141728851431,46.8632370385537,14.28336,14.3106727801924,2.72106968032164,5.09210176956528
"16206892","2016-05-03",28.5190536338718,0.0346420323325635,0.0204003079291763,0.015128163466689,16.2449694009952,13.8409639323381,15.0429666666667,0.168761152841799,47.085806610936,14.32536,14.2359164095001,2.20079464353335,4.5138403443589
"16206891","2016-05-04",27.5055561362207,0.155737704918032,0.0723128762351871,0.0338553826608951,16.1866099328692,13.7619900671308,14.9743,0.212271047849033,50.1886670848529,14.39796,14.2097942215667,1.93099747866547,3.99727177122021
"16206890","2016-05-05",26.4236688035853,0.121848739495798,0.104076158915465,0.0655964476932761,16.0790800301656,13.7055199698343,14.8923,0.211137145930228,49.2239592528044,14.44756,14.1751549920245,1.64697878116158,3.52721317320849
"16206889","2016-05-06",25.4190591375667,0.145299145299145,0.140961863237659,0.105783632796104,16.0827314266986,13.6398019066347,14.8612666666667,0.241594400705376,49.80125082406,14.48356,14.1518009930879,1.43396566017751,3.10856367060229
"16206888","2016-05-09",24.4862073048351,0.244871794871795,0.17067322655558,0.138570416236234,16.0750043769879,13.5973956230121,14.8362,0.318023460748939,52.5108283244418,14.52928,14.1626275273429,1.38241890290964,2.76333471706376
"16206887","2016-05-10",22.8041344805225,0.0427350427350426,0.144301994301994,0.151979028031744,16.0697707735285,13.4962958931382,14.7830333333333,0.193138640669297,46.9683513125792,14.52228,14.1089438570305,1.05879946791396,2.4224276672338
