"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16263595","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263594","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263593","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263592","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263591","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263590","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263589","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263588","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263587","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263586","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263585","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263584","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263583","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16263582","2021-01-29",NA,0.428571428571431,NA,NA,NA,NA,NA,NA,NA,NA,26.2209785714286,NA,NA
"16263581","2021-02-01",NA,0.571428571428573,NA,NA,NA,NA,NA,NA,51.1700748847926,NA,26.2335147619048,NA,NA
"16263580","2021-02-02",NA,0.627906976744185,0.54263565891473,NA,NA,NA,NA,NA,53.2543453132125,NA,26.2597127936508,NA,NA
"16263579","2021-02-03",NA,0.41860465116279,0.539313399778516,NA,NA,NA,NA,NA,49.6799045097602,NA,26.2584177544974,NA,NA
"16263578","2021-02-04",NA,0.576470588235294,0.540994072047423,0.540981043580223,NA,NA,NA,NA,52.1765096433616,NA,26.2746287205644,NA,NA
"16263577","2021-02-05",NA,0.541176470588238,0.512083903328774,0.530797125051571,NA,NA,NA,NA,51.5409975659827,NA,26.2846782244891,NA,NA
"16263576","2021-02-08",NA,0.522352941176471,0.546666666666668,0.533248214014288,26.6873022438538,26.0669944228129,26.3771483333333,0.519643473105911,51.1829362586628,NA,26.2912544612239,NA,NA
"16263575","2021-02-09",NA,0.505882352941177,0.523137254901962,0.527295941632468,26.6894570108121,26.0685063225212,26.3789816666667,0.549952973590725,50.8500554633807,NA,26.2950871997274,NA,NA
"16263574","2021-02-10",NA,0.447058823529412,0.491764705882353,0.520522875816994,26.63682085815,26.16180914185,26.399315,0.389164137374494,49.6091129671805,NA,26.2917422397637,NA,NA
"16263573","2021-02-11",NA,0.364705882352941,0.43921568627451,0.484705882352942,26.6296723844838,26.1762909488495,26.4029816666667,0.199337049808192,47.8485884563656,NA,26.2795099411286,NA,NA
"16263572","2021-02-12",NA,0.0470588235294109,0.286274509803921,0.405751633986928,26.6497900150321,26.1081733183012,26.3789816666667,-0.132024459486007,41.7013367234722,NA,26.2329086156448,NA,NA
"16263571","2021-02-16",NA,0.0176470588235301,0.14313725490196,0.289542483660131,26.6711527478966,26.04356391877,26.3573583333333,-0.0587920791304254,41.1738706978223,26.231108,26.1891874668921,NA,NA
"16263570","2021-02-17",NA,0.113772455089819,0.0594927791475868,0.162968181284489,26.6705692891142,26.0021707108858,26.33637,0.0838760348595319,44.0689836135264,26.221108,26.1639624713065,-0.28236818412718,NA
"16263569","2021-02-18",NA,0,0.0438065046377831,0.0821455128957769,26.6638822687188,25.9575243979479,26.3107033333333,0.0648523040246733,41.3037785628049,26.226908,26.1261008084656,-0.343367291715579,NA
"16263568","2021-02-19",28.9107533664829,0.220930232558141,0.11156756254932,0.0716222821115634,26.6540938981244,25.9394927685423,26.2967933333333,0.278253918948229,46.9768336901974,26.232908,26.1186207006702,-0.329292759306188,NA
"16263567","2021-02-22",29.8332195204014,0.151162790697677,0.124031007751939,0.093135024979681,26.6234777972366,25.9217755360967,26.2726266666667,0.206485198344074,45.4818804646488,26.217308,26.1041379405809,-0.332860788654621,NA
"16263566","2021-02-23",30.7217372398855,0.160000000000001,0.177364341085273,0.137654303795511,26.6031436973393,25.901109635994,26.2521266666667,0.221580460604072,45.2235699179919,26.20576,26.0902528818367,-0.334946358053656,NA
"16263565","2021-02-24",31.8326996917754,0.0400000000000015,0.117054263565893,0.139483204134369,26.584653182457,25.8736034842096,26.2291283333333,0.1683846423377,42.8640475595474,26.18576,26.0662191642585,-0.36033412292944,NA
"16263564","2021-02-25",33.5877441337922,0,0.0666666666666676,0.120361757105945,26.6189171968497,25.804339469817,26.2116283333333,-0.050340360560822,36.4860254958914,26.15456,26.008056609024,-0.462042007815988,NA
"16263563","2021-02-26",33.6805325439821,0.0208333333333329,0.0202777777777781,0.0679995693367797,26.6322845425084,25.7589721241583,26.1956283333333,0.104232888401698,37.2047726268805,26.12736,25.9603157278208,-0.530624564284699,NA
"16263562","2021-03-01",33.1588017137392,0.291666666666668,0.104166666666667,0.0637037037037042,26.6192037040678,25.7457196292655,26.1824616666667,0.355984781372854,45.7927731040026,26.10256,25.9536069641114,-0.498516280197658,-0.386039150787223
"16263561","2021-03-02",32.6743373713707,0.482758620689657,0.265086206896552,0.129843550446999,26.5873803932926,25.7468762733741,26.1671283333333,0.463757861568114,49.7758389385027,26.09016,25.9664593688965,-0.424643160792715,-0.393759952788322
"16263560","2021-03-03",32.4100904658812,0.480519480519482,0.418314922625269,0.262522598729496,26.5307426570996,25.7578473429004,26.144295,0.412500008615794,48.4077882575739,26.07536,25.9709314530437,-0.377285014287609,-0.390464965088179
"16263559","2021-03-04",30.59582113403,0.482758620689657,0.482012240632932,0.388471123384918,26.5158110468522,25.7597789531478,26.137795,0.582278253156174,49.8909365205726,26.08176,25.9814739259712,-0.320521081188907,-0.376476188308325
"16263558","2021-03-05",28.9111424687396,0.509540229885058,0.490939443698065,0.463755535652089,26.4703344008489,25.7749622658177,26.1226483333333,0.554289875542661,50.6035705857774,26.083492,25.9937174025084,-0.265243061535547,-0.354229562953769
"16263557","2021-03-08",27.1255350406814,0.620689655172416,0.537662835249043,0.503538173193347,26.4396905278421,25.7896061388245,26.1146483333333,0.749226617452199,53.5557163531885,26.083492,26.0172217488406,-0.18925741497553,-0.321235133358121
"16263556","2021-03-09",25.9208940524486,0.798541666666666,0.642923850574713,0.557175376507274,26.4566308244259,25.7798391755741,26.118235,1.00655422130031,59.6424603645534,26.086756,26.0678055156618,-0.0582261289819197,-0.268633332482881
"16263555","2021-03-10",25.4570274243567,0.799178498080184,0.739469939973089,0.640018875265615,26.5065981869861,25.7488684796806,26.1277333333333,1.1232213529183,62.6309683078366,26.090556,26.1287647802403,0.0841144524061255,-0.19808377550508
"16263554","2021-03-11",25.4655038514965,0.830645161290322,0.809455108679058,0.730616299742287,26.5996999553396,25.6941000446604,26.1469,1.1438825723411,65.5218303267016,26.106956,26.1995961428749,0.235488303810705,-0.111369359641923
"16263553","2021-03-12",23.8620523907541,0.57258064516129,0.734134768177265,0.761019938943137,26.6170244672148,25.6901088661185,26.1535666666667,0.765863831660509,54.7165691197633,26.105356,26.2183166571582,0.253796396274075,-0.0383362084587233
"16263552","2021-03-15",22.536697669506,0.564516129032257,0.655913978494623,0.733167951783649,26.6448276346927,25.6993056986406,26.1720666666667,0.748116929977926,54.4145745096663,26.104556,26.2332077695371,0.262178179369266,0.0217666691068745
"16263551","2021-03-16",22.034912972594,0.749999999999999,0.629032258064515,0.673027001578801,26.7078327123489,25.6979672876511,26.2029,0.916326099548532,59.8969664322918,26.113596,26.2767800669322,0.335557173682721,0.0845247700220439
"16263550","2021-03-17",20.7908138491073,0.462704918032788,0.592407015688348,0.625784417415829,26.7241750546174,25.7131016120492,26.2186383333333,0.652671072315569,50.141532941492,26.109376,26.2684760580079,0.284297943007417,0.124479404619118
"16263549","2021-03-18",19.6888191116004,0.302083333333332,0.504929417122039,0.575456230291634,26.7315335802436,25.7370764197563,26.234305,0.582820728674036,49.7751301421728,26.106576,26.2593459169402,0.236494941519694,0.146882511999233
"16263548","2021-03-19",18.8930135121201,0.160919540229886,0.308569263865335,0.468635232225241,26.7348329028092,25.7442770971908,26.239555,0.503814356860972,48.2054006982859,26.104176,26.2434331280148,0.178115584939453,0.153129126587277
"16263547","2021-03-22",17.878690526185,0.252873563218389,0.238625478927202,0.350708053304859,26.7467836574624,25.7629930092043,26.2548883333333,0.620396550027925,50.4492122696635,26.115776,26.2403087109462,0.154654733306825,0.153434247931187
"16263546","2021-03-23",16.9368191821023,0.353658536585365,0.255817213344546,0.267670652045695,26.7565772156068,25.7850327843932,26.270805,0.607246767777615,53.6900142499715,26.133176,26.25360088282,0.170978286439349,0.156943055632819
"16263545","2021-03-24",17.2538977301921,0.485377180871094,0.363969760224949,0.286137484165566,26.7845657768293,25.8147108898373,26.2996383333333,0.778765071241946,56.737215148289,26.151576,26.2811207651107,0.218226830818313,0.169199810669918
"16263544","2021-03-25",17.1852188213329,0.328767123287669,0.389267613581376,0.336351529050291,26.7597606273928,25.9121827059405,26.3359716666667,0.681727637583358,54.1777972187816,26.171576,26.2943046630959,0.22843183344714,0.181046215225363
