"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16278823","2017-10-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278822","2017-11-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278821","2017-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278820","2017-11-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278819","2017-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278818","2017-11-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278817","2017-11-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278816","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278815","2017-11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278814","2017-11-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278813","2017-11-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278812","2017-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278811","2017-11-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16278810","2017-11-28",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12.9907142857143,NA,NA
"16278809","2017-11-29",NA,0,NA,NA,NA,NA,NA,NA,58.1570996978852,NA,12.8719523809524,NA,NA
"16278808","2017-11-30",NA,0.0463320463320467,0.182110682110682,NA,NA,NA,NA,NA,58.9582858445407,NA,12.7850253968254,NA,NA
"16278807","2017-12-01",NA,0,0.0154440154440156,NA,NA,NA,NA,NA,48.7403423833476,NA,12.547022010582,NA,NA
"16278806","2017-12-04",NA,0,0.0154440154440156,0.0709995709995711,NA,NA,NA,NA,47.6469652097043,NA,12.3207524091711,NA,NA
"16278805","2017-12-05",NA,0.0505050505050506,0.0168350168350169,0.0159076825743493,NA,NA,NA,NA,48.8818910827271,NA,12.1446520879483,NA,NA
"16278804","2017-12-06",NA,0.151515151515152,0.0673400673400675,0.0332063665397,14.6042853353869,10.8620146646131,12.73315,0.140196166501517,51.3534217557349,NA,12.0320318095552,NA,NA
"16278803","2017-12-07",NA,0.228956228956229,0.143658810325477,0.0759446315001871,14.5439339406658,10.9823660593342,12.76315,0.19400648731727,53.2208123461403,NA,11.9650942349478,NA,NA
"16278802","2017-12-08",NA,0.242424242424243,0.207631874298541,0.139543583988029,14.46952653073,10.8674401359366,12.6684833333333,0.22372955811431,53.5547313882641,NA,11.9124150036214,NA,NA
"16278801","2017-12-11",NA,0.292929292929293,0.254769921436588,0.202020202020202,14.2828697750578,10.8369968916089,12.5599333333333,0.292718219497476,54.8561093460681,NA,11.8867596698052,NA,NA
"16278800","2017-12-12",NA,0.245791245791246,0.260381593714927,0.240927796483352,14.1169711990327,10.796895467634,12.4569333333333,0.283057157445248,53.3534991373393,NA,11.8458583804979,NA,NA
"16278799","2017-12-13",NA,0.187943262411348,0.242221267043962,0.252457594065159,14.0324157598805,10.7041175734528,12.3682666666667,0.241128963891072,51.1960315760949,12.3248,11.7837439297648,NA,NA
"16278798","2017-12-14",NA,0.0691699604743086,0.167634822892301,0.223412561217063,14.0299341793048,10.5572658206952,12.2936,0.177404649399007,47.5226577369998,12.325,11.6825780724629,-5.46590722820209,NA
