"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16450313","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450312","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450311","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450310","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450309","2020-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450308","2020-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450307","2020-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450306","2020-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450305","2020-03-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450304","2020-03-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450303","2020-03-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450302","2020-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450301","2020-03-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16450300","2020-03-18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9.81142857142857,NA,NA
"16450299","2020-03-19",NA,0,NA,NA,NA,NA,NA,NA,14.1414141414142,NA,9.72990476190476,NA,NA
"16450298","2020-03-20",NA,0.311688311688311,0.103896103896104,NA,NA,NA,NA,NA,31.9162045594578,NA,9.69125079365079,NA,NA
"16450297","2020-03-23",NA,0.259740259740261,0.190476190476191,NA,NA,NA,NA,NA,30.7727459671892,NA,9.65241735449736,NA,NA
"16450296","2020-03-24",NA,0.324675324675324,0.298701298701299,0.197691197691198,NA,NA,NA,NA,33.9578603549978,NA,9.62542837389771,NA,NA
"16450295","2020-03-25",NA,0.324675324675324,0.303030303030303,0.264069264069264,NA,NA,NA,NA,33.9578603549978,NA,9.60203792404468,NA,NA
"16450294","2020-03-26",NA,0.519480519480519,0.389610389610389,0.33044733044733,10.1574317220401,9.26856827795987,9.713,0.372871360890621,43.0710738012018,NA,9.60176620083872,NA,NA
"16450293","2020-03-27",NA,0.571428571428572,0.471861471861472,0.388167388167388,10.1366232750197,9.26604339164695,9.70133333333333,0.471666394850402,45.2410690532036,NA,9.60686404072689,NA,NA
"16450292","2020-03-30",NA,0.592105263157895,0.561004784688996,0.474158882053619,10.1161512657094,9.26484873429062,9.6905,0.49158152783274,45.7973206093373,NA,9.61261550196331,NA,NA
"16450291","2020-03-31",NA,0.830769230769232,0.6647676884519,0.565877981667456,10.0979936822624,9.26700631773756,9.6825,0.569194794595794,50.6555883578039,NA,9.62960010170153,NA,NA
"16450290","2020-04-02",NA,0.752833333333333,0.725235942420153,0.65033613852035,10.0708400213244,9.26893997867565,9.66989,0.497393690124897,46.2733636988768,NA,9.632546754808,NA,NA
"16450289","2020-04-09",NA,0.789473684210528,0.791025416104364,0.727009682325472,10.0486764411125,9.26877022555412,9.65872333333333,0.488814894458704,46.1905136122443,9.689268,9.63487385416693,NA,NA
"16450288","2020-04-13",NA,0.800000000000002,0.780769005847954,0.765676788124157,10.0150592418697,9.28172075813026,9.64839,0.656739808263171,50.1484968994761,9.681668,9.64622400694467,-0.560285329844168,NA
"16450287","2020-04-17",NA,1,0.863157894736843,0.811650772229721,10.0200746200659,9.2797053799341,9.64989,0.810804376420388,57.7908685091347,9.680868,9.67739413935205,-0.317589285793463,NA
"16450286","2020-04-20",29.3915926800288,1,0.933333333333334,0.859086744639377,10.0183008468632,9.28047915313679,9.64939,0.812555190448909,57.7908685091348,9.680068,9.70440825410511,-0.124292167185602,NA
"16450285","2020-04-27",28.0457601241646,0.645833333333334,0.881944444444445,0.892811890838207,9.99704294301657,9.28673705698343,9.64189,0.633430777542851,48.6083986172043,9.671668,9.70515382022443,-0.111326456693894,NA
"16450284","2020-04-28",26.7960584651479,0.812499999999997,0.819444444444444,0.878240740740741,9.98792147842757,9.28985852157243,9.63889,0.716470446563687,52.4382658737472,9.669268,9.71646664419451,-0.0341981177933937,NA
"16450283","2020-05-01",26.2009476094426,0.604651162790699,0.68766149870801,0.796350129198966,9.98006795539218,9.29071204460782,9.63539,0.608231464810547,48.5424539579303,9.658868,9.71560442496857,-0.0390726116497486,NA
"16450282","2020-05-06",25.2635330900039,0.651162790697675,0.689437984496124,0.732181309216193,9.97609623536334,9.29135043130333,9.63372333333333,0.650338027225518,49.5515264848647,9.654068,9.71752383497276,-0.0260305803965077,NA
"16450281","2020-05-07",24.393076750525,0.535714285714285,0.59717607973422,0.658091854312785,9.97361186454422,9.29183480212245,9.63272333333333,0.672016151804936,50.5948763984701,9.650068,9.72185399030973,0.000892508143413018,NA
"16450280","2020-05-13",22.8985245710104,0.249999999999994,0.478959025470652,0.588524363233665,9.96929090922425,9.33915575744242,9.65422333333333,0.667863459715845,47.9262947152865,9.644068,9.7189401249351,-0.0190494777343897,-0.136772390994195
"16450279","2020-05-15",21.5107261186039,0.8695652173913,0.551759834368526,0.542631646524466,9.9586187765059,9.40649455682743,9.68255666666667,0.80327112516608,55.5079243705687,9.644068,9.73641477494375,0.0885326273326381,-0.0917113873288283
"16450278","2020-05-20",20.4252957119592,0.521739130434778,0.547101449275358,0.525940103038179,9.95665338323944,9.43945995009389,9.69805666666667,0.63910333875621,51.2243714663489,9.644068,9.74089280495125,0.106189920238964,-0.0521311258152699
"16450277","2020-05-21",19.1380695140252,0.652173913043479,0.681159420289852,0.593340234644579,9.94447922346602,9.48996744320065,9.71722333333333,0.682122158898361,52.6985153352883,9.645268,9.74877376429109,0.143346699438185,-0.0130355607645789
"16450276","2020-05-27",18.2182183896692,0.521739130434778,0.565217391304345,0.597826086956519,9.92879234552475,9.54098765447525,9.73489,0.676489183635466,51.0373613498682,9.645268,9.75160392905227,0.14626018488848,0.0188235883660329
"16450275","2020-05-28",17.4501071476726,0.388888888888887,0.520933977455715,0.589103596349971,9.89806405042405,9.60738261624262,9.75272333333334,0.685575434101033,51.0373613498682,9.668068,9.75405673851197,0.146870550812972,0.0444329808554207
"16450274","2020-05-29",16.5301415307521,0.277777777777779,0.396135265700482,0.494095544820181,9.8905114165461,9.63426858345391,9.76239,0.620757848951034,49.8230776338161,9.690068,9.75351584004371,0.129319711143583,0.0614103269130532
"16450273","2020-06-02",15.6758877436116,0.388888888888887,0.351851851851852,0.422973698336016,9.88962486090433,9.645488472429,9.76755666666667,0.550968777784591,51.0766033356099,9.703268,9.75571372803788,0.130448319547871,0.0752179254400168
"16450272","2020-06-03",14.8826520841241,0.555555555555559,0.407407407407409,0.385131508319914,9.88982166636845,9.65695833363156,9.77339,0.61427303597885,52.9743572906976,9.719268,9.7616185642995,0.15435748560535,0.0910458374730834
"16450271","2020-06-16",14.0725028636689,0.277777777777779,0.407407407407409,0.38888888888889,9.88982866021881,9.65795133978119,9.77389,0.396971381440351,49.5261652957915,9.731268,9.7600694223929,0.130464622935378,0.0989295945655423
"16450270","2020-06-17",14.3820532350169,0.331753554502371,0.388362295945236,0.401059036920018,9.88783870049603,9.67486129950397,9.78135,0.6673886517252,50.9028259901772,9.744068,9.76139349940718,0.126602352530081,0.10446414615845
"16450269","2020-06-18",14.6694928655543,0.473933649289106,0.361154993856419,0.385641565736355,9.87955831740482,9.70080834926185,9.79018333333334,0.704102600477966,52.9747218711883,9.752068,9.76654103281956,0.14663626535647,0.112898569998054
"16450268","2020-06-19",15.1916728109234,0.900473933649294,0.568720379146923,0.439412556316193,9.89651777591356,9.69718222408644,9.79685,1.00074693526438,58.6168267985004,9.762068,9.78300222844362,0.234054555518681,0.137129767102179
"16450267","2020-06-24",16.006304828309,1,0.7914691943128,0.573781522438714,9.91521020005013,9.68548979994988,9.80035,1.15144410306914,61.8988475456803,9.774068,9.80526859798447,0.348520379963135,0.179407889674371
"16450266","2020-06-29",16.2210500164395,0.800000000000004,0.900157977883099,0.753449183780941,9.92308209263218,9.68128457403449,9.80218333333334,0.973467775836905,58.5642491468207,9.780868,9.81923278491987,0.401457506690872,0.223817813077671
"16450265","2020-06-30",16.6012235560351,0.950000000000001,0.916666666666668,0.869431279620856,9.94410533132539,9.68092800200794,9.81251666666667,0.997066624264092,60.2920145555586,9.7924,9.83533508026389,0.462546891647708,0.271563628791678
"16450264","2020-07-01",18.142936350433,0.555555555555554,0.76851851851852,0.861781054356096,9.97823579398958,9.66813087267709,9.82318333333334,1.08093241228656,60.8776109020699,9.8044,9.85062373622871,0.513055441431809,0.319861991319704
"16450263","2020-07-02",18.9168809329975,0.416666666666668,0.640740740740741,0.77530864197531,9.98560659971005,9.68209340028995,9.83385,0.794825178952028,56.3989688266665,9.8116,9.85720723806488,0.506196779520485,0.357128948959861
"16450262","2020-07-07",20.1579736041179,0.472222222222223,0.481481481481482,0.630246913580248,10.0000398942032,9.69032677246346,9.84518333333333,0.881482060999925,57.7382773287419,9.8132,9.86557960632289,0.511180412465273,0.387939241660943
"16450261","2020-07-10",22.1783159859035,0.787234042553189,0.558707643814027,0.560309955345417,10.0641792930576,9.66652070694242,9.86535,1.22419744823498,68.2434257967032,9.8228,9.89950232547984,0.670459207850627,0.44444323489888
"16450260","2020-07-14",24.1412367064168,1,0.753152088258471,0.597780404517993,10.1405110793451,9.63818892065494,9.88935,1.19805799711158,72.6381915435362,9.844,9.94490201541586,0.883101309378165,0.532174849794737
"16450259","2020-07-15",23.3871312017682,0.489795918367347,0.759009986973512,0.69028990634867,10.1513605124357,9.64200615423094,9.89668333333334,0.69629425315161,55.4283315573051,9.852,9.95091508002708,0.83853695593048,0.593447271021885
"16450258","2020-07-16",22.9915452670934,0.499999999999998,0.663265306122449,0.725142460451477,10.1618436584571,9.65618967487628,9.90901666666667,0.712892617274909,55.6546267393868,9.8634,9.95679306935681,0.798031039245894,0.634364024666687
"16450257","2020-07-17",22.4920938732854,0.446808510638299,0.478868143001882,0.633714478699281,10.1674726503146,9.6685606830187,9.91801666666667,0.624237014536404,54.7564584750109,9.8734,9.9598873267759,0.745162074410066,0.656523634615363
"16450256","2020-07-20",22.4082994520454,0.545454545454543,0.497421018697613,0.546518155940648,10.1788755207805,9.6808244792195,9.92985,0.721162071370767,57.6972846238864,9.885,9.97056901653911,0.743224611240523,0.673863829940395
"16450255","2020-07-21",22.574907963051,0.542857142857142,0.511706732983328,0.495998631560941,10.193997757104,9.69303557622935,9.94351666666667,0.772442388954484,59.5833904709392,9.9002,9.9851598143339,0.765076858280311,0.692106435608378
"16450254","2020-07-23",22.1447443741401,0.352941176470586,0.48041762159409,0.496515124425011,10.198589660052,9.71211033994798,9.95535,0.653449482670782,55.5803065365669,9.907,9.98980517242271,0.725451524034826,0.698775453293668
"16450253","2020-07-29",22.076902757435,0.352941176470586,0.416246498599438,0.469456951058952,10.2010034644743,9.73636320219242,9.96868333333333,0.667835936021468,55.580306536567,9.917,9.99383114943302,0.686112616557644,0.696242885946463
"16450252","2020-08-03",21.7135210287408,0.264705882352941,0.323529411764704,0.406731177319411,10.1975065118053,9.7591934881947,9.97835,0.534184093390396,53.4961451581885,9.9246,9.99332032950862,0.623520639479791,0.681698436653129
"16450251","2020-08-04",20.7059070152923,0.0588235294117635,0.22549019607843,0.321755368814191,10.1818658852575,9.79616744807579,9.98901666666667,0.433410844179199,48.8894737315892,9.9306,9.98354428557414,0.511491547239951,0.647657058770493
"16450250","2020-08-05",19.7702654313759,0.205882352941177,0.176470588235294,0.241830065359476,10.1730500874043,9.82028324592903,9.99666666666667,0.424407105398153,52.064714859559,9.9386,9.98173838083092,0.457842360619365,0.609694119140267
"16450249","2020-08-11",19.312600011274,0.312499999999999,0.192401960784313,0.198120915032679,10.1646564909011,9.84801017576559,10.0063333333333,0.543160668586387,55.0706601978905,9.9494,9.98683993005346,0.450543061961306,0.577863907704475
"16450248","2020-08-12",18.4751524351174,0.187500000000001,0.235294117647059,0.201388888888889,10.1618295412026,9.86150379213075,10.0116666666667,0.472252351458078,52.2479290525343,9.9578,9.98592793937967,0.407720866020145,0.543835299367609
"16450247","2020-08-13",18.4922080005134,0.359375,0.286458333333333,0.238051470588235,10.167480588446,9.86817941155404,10.01783,0.685220343074975,55.6165898427757,9.9672,9.99247088079571,0.41344589040222,0.517757417574531
"16450246","2020-08-14",17.5764935609841,0.0870322019147062,0.211302400638236,0.24435161720621,10.1650218912642,9.87463810873576,10.01983,0.282483261346947,49.1650004778315,9.97479999999999,9.98547476335628,0.337341533923419,0.481674240844309
"16450245","2020-08-17",16.3583210425884,0,0.148802400638235,0.215521044869935,10.1678568710054,9.86813646232794,10.0179966666667,0.128553822906956,46.1318476543009,9.97959999999999,9.97274479490878,0.233877378341885,0.432114868343824
"16450244","2020-08-18",15.9521739288135,0,0.0290107339715687,0.129705178416013,10.1796324580543,9.83936087527899,10.0094966666667,-0.0177139151512362,41.2042276338185,9.97959999999999,9.94971215558761,0.0779526908966544,0.36128243285439
"16450243","2020-08-19",15.9421364246563,0,-4.16333634234434e-17,0.0592710448699348,10.194974068518,9.81068593148196,10.00283,-0.0538292221079355,38.7291624274975,9.97399999999999,9.92308386817593,-0.0855559806853812,0.271914750146436
"16450242","2020-08-20",15.732755266661,0.025012506253126,0.00833750208437528,0.0124494120186481,10.2053320896175,9.7843279103825,9.99483,0.0451430743166555,39.5117457648217,9.96639999999999,9.90133935241914,-0.204986177421373,0.176534564632874
"16450241","2020-08-21",15.5383299056653,0.025012506253126,0.0166750041687506,0.00833750208437538,10.1903925801652,9.76426741983477,9.97733,0.0916770872395016,39.5117457648218,9.96039999999999,9.88249410542992,-0.296476105735055,0.0819324305592881
"16450240","2020-08-25",15.3577920704551,0.250125062531264,0.100050025012505,0.0416875104218772,10.1395403837935,9.77745294953981,9.95849666666667,0.237181342596236,46.6272869281417,9.95679999999999,9.87816155803926,-0.292194685682867,0.00710700731085707
"16450239","2020-08-26",14.9534710054982,0.375187593796899,0.216775054193763,0.11116669445834,10.1355080814762,9.77215191852376,9.95383,0.361027080822427,50.1366667145665,9.95479999999999,9.8810733503007,-0.245117044546694,-0.0433378030606532
"16450238","2020-08-27",14.8697180853048,0.300150075037516,0.308487577121893,0.208437552109387,10.1290717953038,9.76458820469619,9.94683,0.307499335659068,48.0933663998791,9.95359999999999,9.87959690359394,-0.229670687693306,-0.0806043799871838
"16450237","2020-08-28",14.7919475165537,0.325162581290647,0.33350008337502,0.286254238230226,10.1255857269798,9.75840760635352,9.94199666666667,0.340231947281413,48.8418036561162,9.95199999999999,9.87965064978141,-0.206874492430664,-0.10585840247588
"16450236","2020-08-31",14.1885531647124,0.350175087543773,0.325162581290645,0.322383413929186,10.1137584208607,9.75656824580602,9.93516333333334,0.410887806488141,49.6240445459524,9.94279999999999,9.88103056314389,-0.178579248262856,-0.120402571633275
"16450235","2020-09-01",13.2214059207164,0.325162581290647,0.333500083375022,0.330720916013563,10.0926100475387,9.76071661912797,9.92666333333334,0.44979312060161,48.8201317889559,9.92839999999999,9.8808931547247,-0.162449931046815,-0.128812043515983
