"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16476085","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476084","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476083","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476082","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476081","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476080","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476079","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476078","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476077","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476076","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476075","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476074","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476073","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16476072","2001-08-22",NA,0.545454545454545,NA,NA,NA,NA,NA,NA,NA,NA,26.1192857142857,NA,NA
"16476071","2001-08-23",NA,0.734848484848484,NA,NA,NA,NA,NA,NA,58.6538461538461,NA,26.1700476190476,NA,NA
"16476070","2001-08-24",NA,0.527272727272726,0.602525252525252,NA,NA,NA,NA,NA,61.5719523373052,NA,26.2433746031746,NA,NA
"16476069","2001-08-27",NA,0.615384615384615,0.625835275835275,NA,NA,NA,NA,NA,65.504746835443,NA,26.3509246560847,NA,NA
"16476068","2001-08-28",NA,0.758974358974358,0.633877233877233,0.62074592074592,NA,NA,NA,NA,68.4547077575153,NA,26.4814680352734,NA,NA
"16476067","2001-08-29",NA,0.743589743589744,0.705982905982906,0.655231805231805,NA,NA,NA,NA,67.7858345802038,NA,26.5906056305703,NA,NA
"16476066","2001-08-30",NA,0.599999999999999,0.7008547008547,0.68023828023828,27.464343594182,25.658656405818,26.5615,0.870219163268054,61.7238487336096,NA,26.6478582131609,NA,NA
"16476065","2001-08-31",NA,0.512820512820513,0.618803418803418,0.675213675213675,27.5155160795838,25.6981505870828,26.6068333333333,0.753021934900131,58.3140796425444,NA,26.6748104514061,NA,NA
"16476064","2001-09-04",NA,0.620512820512819,0.577777777777777,0.632478632478632,27.546648690106,25.8160179765606,26.6813333333333,0.834367500898671,61.1678465850974,NA,26.7261690578853,NA,NA
"16476063","2001-09-05",NA,0.661538461538461,0.598290598290598,0.598290598290598,27.6216690653017,25.8266642680317,26.7241666666667,0.818940651785841,62.2286787062916,NA,26.7813465168339,NA,NA
