"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16713525","2018-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713524","2018-09-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713523","2018-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713522","2018-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713521","2018-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713520","2018-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713519","2018-10-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713518","2018-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713517","2018-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713516","2018-10-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713515","2018-10-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713514","2018-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713513","2018-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16713512","2018-10-16",NA,0.615384615384615,NA,NA,NA,NA,NA,NA,NA,NA,14.3185714285714,NA,NA
"16713511","2018-10-17",NA,0.666666666666667,NA,NA,NA,NA,NA,NA,48.0716253443526,NA,14.3160952380952,NA,NA
"16713510","2018-10-18",NA,0.725,0.669017094017094,NA,NA,NA,NA,NA,48.225227128671,NA,14.3166158730159,NA,NA
"16713509","2018-10-19",NA,0.806451612903226,0.732706093189964,NA,NA,NA,NA,NA,49.6682097546332,NA,14.3410670899471,NA,NA
"16713508","2018-10-22",NA,0.790322580645161,0.773924731182796,0.725215972796618,NA,NA,NA,NA,49.2575352339306,NA,14.3555914779541,NA,NA
"16713507","2018-10-23",NA,0.684039087947883,0.76027109383209,0.75563397273495,NA,NA,NA,NA,46.3674215788703,NA,14.3215126142269,NA,NA
"16713506","2018-10-24",NA,0,0.491453889531015,0.6752165715153,15.3525365488995,13.6994634511005,14.526,0.333038236259794,45.5451765171264,NA,14.2786442656633,NA,NA
"16713505","2018-10-25",NA,0,0.228013029315961,0.493246004226355,15.2929252839188,13.6690747160812,14.481,0.277688903677438,44.2768218530237,NA,14.2214916969082,NA,NA
"16713504","2018-10-26",NA,0,-3.70074341541719e-17,0.239822306282325,15.3068567495149,13.4894765838185,14.3981666666667,-0.0712435330055764,37.1468891893978,NA,14.0439594706538,NA,NA
"16713503","2018-10-29",NA,0,-3.70074341541719e-17,0.0760043431053204,15.4295235786614,13.1581430880053,14.2938333333333,-0.181156976134693,32.0517418537038,NA,13.7727648745666,NA,NA
