"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"16909430","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909429","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909428","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909427","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909426","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909425","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909424","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909423","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909422","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909421","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909420","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909419","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909418","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16909417","2001-08-22",NA,0.465909090909091,NA,NA,NA,NA,NA,NA,NA,NA,2.165,NA,NA
"16909416","2001-08-23",NA,0.430232558139535,NA,NA,NA,NA,NA,NA,35.2601156069364,NA,2.15366666666667,NA,NA
"16909415","2001-08-24",NA,0.465116279069767,0.453752642706131,NA,NA,NA,NA,NA,36.4469663902226,NA,2.14784444444444,NA,NA
"16909414","2001-08-27",NA,0.5,0.465116279069768,NA,NA,NA,NA,NA,36.8624703959438,NA,2.14413185185185,NA,NA
"16909413","2001-08-28",NA,0.76271186440678,0.575942714492183,0.498270545422694,NA,NA,NA,NA,38.5919246923532,NA,2.14624760493827,NA,NA
"16909412","2001-08-29",NA,0.793103448275863,0.685271770894215,0.575443588152055,NA,NA,NA,NA,42.0130311665057,NA,2.15874792427984,NA,NA
"16909411","2001-08-30",NA,0.346153846153846,0.633989719612163,0.63173473499952,2.54929673213143,1.8230366012019,2.18616666666667,0.477739840068083,38.8112876526622,NA,2.15491486770919,NA,NA
"16909410","2001-08-31",NA,0.230769230769231,0.456675508399647,0.591978999635341,2.47565756513132,1.85000910153535,2.16283333333333,0.43686550467499,37.9615981313263,NA,2.14759288534797,NA,NA
"16909409","2001-09-04",NA,0.200000000000001,0.258974358974359,0.449879862328723,2.40143151759492,1.88190181573841,2.14166666666667,0.458295615074092,37.9615981313263,NA,2.14124716730157,NA,NA
"16909408","2001-09-05",NA,0,0.143589743589744,0.286413203654583,2.3487248375577,1.9002751624423,2.1245,0.415635275410564,36.4203776495743,NA,2.12908087832803,NA,NA
