"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"17028577","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028576","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028575","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028574","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028573","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028572","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028571","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028570","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028569","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028568","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028567","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028566","2001-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028565","2001-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17028564","2001-08-22",NA,0.655172413793104,NA,NA,NA,NA,NA,NA,NA,NA,9.43571428571429,NA,NA
"17028563","2001-08-23",NA,0.675862068965516,NA,NA,NA,NA,NA,NA,62.4,NA,9.45295238095238,NA,NA
"17028562","2001-08-24",NA,0.806896551724138,0.712643678160919,NA,NA,NA,NA,NA,64.3454580820852,NA,9.48055873015873,NA,NA
"17028561","2001-08-27",NA,0.557894736842105,0.68021778584392,NA,NA,NA,NA,NA,61.8077813070411,NA,9.4951508994709,NA,NA
"17028560","2001-08-28",NA,0.528089887640448,0.630960392068897,0.674607285357912,NA,NA,NA,NA,61.8077813070411,NA,9.50779744620811,NA,NA
"17028559","2001-08-29",NA,0.550561797752807,0.545515474078453,0.61889788399709,NA,NA,NA,NA,62.0557153171285,NA,9.52009112004703,NA,NA
"17028558","2001-08-30",NA,0.481481481481481,0.520044388958245,0.565506751701865,9.85041299271759,9.20775367394908,9.52908333333334,0.625909115924313,61.6248891721673,NA,9.52941230404076,NA,NA
"17028557","2001-08-31",NA,0.444444444444442,0.492162574559577,0.519240812532092,9.82358721047658,9.28624612285676,9.55491666666667,0.676951540695518,60.9414358020941,NA,9.53549066350199,NA,NA
"17028556","2001-09-04",NA,0.691358024691359,0.539094650205761,0.517100537907861,9.83005842993553,9.31894157006448,9.5745,0.778149045411121,63.8220808396885,NA,9.5540919083684,NA,NA
"17028555","2001-09-05",NA,0.62962962962963,0.588477366255144,0.53991153034016,9.79373382493539,9.39876617506461,9.59625,0.640306849649066,62.5794842887296,NA,9.56687965391928,NA,NA
"17028554","2001-09-06",NA,0.506172839506172,0.609053497942387,0.578875171467764,9.77830784001665,9.43919215998336,9.60875,0.547918751496246,60.0608487434493,NA,9.57129570006337,NA,NA
"17028553","2001-09-07",NA,0.299999999999997,0.478600823045266,0.558710562414266,9.7742495586152,9.45958377471814,9.61691666666667,0.552171756532744,60.9080285760892,9.5128,9.57845627338826,NA,NA
"17028552","2001-09-10",NA,0.399999999999999,0.402057613168722,0.496570644718792,9.75759989141182,9.49923344192152,9.62841666666667,0.583537678270185,61.7810800906166,9.5348,9.58799543693649,0.878851517315438,NA
